epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,1,5,441,-4,11,-7,0,8589944128,9,9,0,97,35092412,1648796,1629193,2450,65535,10,0,97,0,0
1,1,5,441,-4,11,-7,1,8589944129,2,2,0,26,9529206,896072,767824,16030,65535,10,0,26,0,0
1,1,5,441,-4,11,-7,2,8589944130,8,8,0,24,9515778,1338875,500905,104746,65535,10,0,24,0,0
1,1,5,441,-4,11,-7,3,8589944131,12,12,0,24,8044426,0,633382,-79172,65535,10,0,24,0,0
1,1,5,441,-4,11,-7,4,4294976836,20,20,0,22,40857886,4810372,2993867,227063,65535,10,1,11,0,11
1,1,5,441,-4,11,-7,5,4294976838,31,31,0,33,11538633,0,393355,-49169,65535,-1,0,0,0,33
2,2,10,441,-4,11,-7,0,8589944128,9,9,0,76,28046879,1680333,1128540,69693,65535,10,0,76,0,0
2,2,10,441,-4,11,-7,1,8589944129,2,2,0,14,5124227,396177,403061,2377,65535,10,0,14,0,0
2,2,10,441,-4,11,-7,2,8589944130,8,8,0,24,11005931,1971797,481644,225547,65535,10,0,24,0,0
2,2,10,441,-4,11,-7,3,8589944131,12,12,0,24,7459993,0,584433,-102742,65535,10,0,24,0,0
2,2,10,441,-4,11,-7,4,4294976836,20,20,0,22,41383725,4234134,3708295,150877,65535,10,1,11,0,11
2,2,10,441,-4,11,-7,5,4294976838,31,31,0,66,22708348,770526,1532797,-110748,65535,-1,0,0,0,66
3,3,15,441,-4,11,-7,0,8589944128,9,9,0,74,27735292,1748985,1322497,78757,65535,10,0,74,0,0
3,3,15,441,-4,11,-7,1,8589944129,2,2,0,8,2976357,291388,243161,6537,65535,10,0,8,0,0
3,3,15,441,-4,11,-7,2,8589944130,8,8,0,17,7950462,504504,349910,79234,65535,10,0,17,0,0
3,3,15,441,-4,11,-7,3,8589944131,12,12,0,24,10070757,3146967,536203,287817,65535,10,0,24,0,0
3,3,15,441,-4,11,-7,4,4294976836,20,20,0,22,41897446,4358067,3844346,120793,65535,10,1,11,0,11
3,3,15,441,-4,11,-7,5,4294976838,31,31,0,81,27827281,789116,1368219,-88179,65535,-1,0,0,0,81
4,4,20,441,-4,11,-7,0,8589944128,9,9,0,63,23677139,1676102,1611442,33225,65535,10,0,63,0,0
4,4,20,441,-4,11,-7,1,8589944129,2,2,0,5,1941588,269212,187848,11702,65535,16,0,5,0,0
4,4,20,441,-4,11,-7,2,8589944130,8,8,0,10,4679686,259750,256807,17845,65535,16,0,10,0,0
4,4,20,441,-4,11,-7,3,8589944131,12,12,0,3,1384270,210075,84650,29169,65535,16,0,3,0,0
4,4,20,441,-4,11,-7,4,4294976836,20,20,0,22,44485198,4744471,2156719,368765,65535,10,1,11,0,11
4,4,20,441,-4,11,-7,5,4294976838,31,31,0,123,43612403,3330586,2440484,190178,65535,-1,0,0,0,123
5,5,25,441,-4,11,-7,0,8589944128,9,9,0,55,20882397,2201800,1989922,37361,65535,10,0,55,0,0
5,5,25,441,-4,11,-7,1,8589944129,2,2,0,3,1291155,285990,159788,18408,65535,16,0,3,0,0
5,5,25,441,-4,11,-7,2,8589944130,8,8,0,6,2741371,136593,203034,-4290,65535,16,0,6,0,0
5,5,25,441,-4,11,-7,3,8589944131,12,12,0,3,1455110,182833,111993,19793,65535,16,0,3,0,0
5,5,25,441,-4,11,-7,4,4294976836,20,20,0,22,46919607,5514515,3080106,442586,65535,10,1,11,0,11
5,5,25,441,-4,11,-7,5,4294976838,31,31,0,137,47606849,424422,2043171,-125013,65535,-1,0,0,0,137
6,6,30,441,-4,11,-7,0,8589944128,9,9,0,49,18266354,1690143,2028107,-29763,65535,10,0,49,0,0
6,6,30,441,-4,11,-7,1,8589944129,2,2,0,3,1453533,328251,165873,27199,65535,16,0,3,0,0
6,6,30,441,-4,11,-7,2,8589944130,8,8,0,3,1323928,60186,106944,-6648,65535,16,0,3,0,0
6,6,30,441,-4,11,-7,3,8589944131,12,12,0,3,1494603,159910,120417,12358,65535,16,0,3,0,0
6,6,30,441,-4,11,-7,4,4294976836,20,20,0,22,50032223,5623501,2510885,555045,65535,10,1,11,0,11
6,6,30,441,-4,11,-7,5,4294976838,31,31,0,146,49549977,308492,2024235,-260623,65535,-1,0,0,0,146
7,7,35,441,-4,11,-7,0,8589944128,9,9,0,38,13898125,1518034,1785653,-42106,65535,10,0,38,0,0
7,7,35,441,-4,11,-7,1,8589944129,2,2,0,3,1656398,379798,176933,35557,65535,16,0,3,0,0
7,7,35,441,-4,11,-7,2,8589944130,8,8,0,3,1264366,53443,113005,-9938,65535,16,0,3,0,0
7,7,35,441,-4,11,-7,3,8589944131,12,12,0,3,1506606,140598,128595,6134,65535,16,0,3,0,0
7,7,35,441,-4,11,-7,4,4294976836,20,20,0,22,53132479,5552810,2452554,595672,65535,10,1,11,0,11
7,7,35,441,-4,11,-7,5,4294976838,31,31,0,157,51870648,379419,2235228,-332214,65535,-1,0,0,0,157
8,8,40,441,-4,11,-7,0,8589944128,9,9,0,34,12409867,1651587,1609299,-9570,65535,10,0,34,0,0
8,8,40,441,-4,11,-7,1,8589944129,2,2,0,3,1861399,385643,180642,38958,65535,10,0,3,0,0
8,8,40,441,-4,11,-7,2,8589944130,8,8,0,3,1195549,48441,117258,-12327,65535,10,0,3,0,0
8,8,40,441,-4,11,-7,3,8589944131,12,12,0,3,1497475,124340,133471,1159,65535,10,0,3,0,0
8,8,40,441,-4,11,-7,4,4294976836,20,20,0,22,55767968,5389414,2753925,552812,65535,10,1,11,0,11
8,8,40,441,-4,11,-7,5,4294976838,31,31,0,161,51605693,236749,2074506,-355233,65535,-1,0,0,0,161
9,9,45,441,-4,11,-7,0,8589944128,9,9,0,29,10913528,1674225,1302672,42686,65535,10,0,29,0,0
