epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,producer_support_money_issued,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,population_error,money_error,goods_error
1,1,5,false,trade_planning,65535,1,5,2811,1120,120,259,4681,0,68209,0,10539,637872431,0,48815989,510299587,669798702,0,0,0,18462160,-18462160,0,11863706631,3954569067,795237124,180020093,22455100,17495100,ACTIVE,true,0,0,0
2,2,10,false,trade_planning,65535,6,10,2968,1120,120,259,4681,0,50815,0,27932,381845141,0,37726196,321363815,456802272,0,0,0,6984582,-6984582,0,12046087919,4015362891,457051278,218029480,22455100,10442925,ACTIVE,true,0,0,0
3,3,15,false,trade_planning,65535,11,15,2968,1120,120,259,4681,0,43540,0,34986,586552258,0,58757450,492628761,1188821571,0,0,31989,56999944,-56967955,0,12425121248,4141707352,1264280368,248322085,22083544,9321506,ACTIVE,true,0,0,0
4,4,20,false,trade_planning,65535,16,20,2968,1120,120,259,4681,0,22857,0,55660,301987292,0,25633379,274485665,417635989,0,0,1424279,13836448,-12412169,0,12384814323,4128271726,334141759,199164705,16655962,3815712,ACTIVE,true,0,0,0
5,5,25,false,trade_planning,65535,21,25,2968,1120,120,259,4681,0,17864,0,60424,253542593,0,20387197,234874653,334608901,0,0,6558837,11032242,-4473405,0,13002975044,4334325282,369126393,156369088,12780811,2809338,ACTIVE,true,0,0,0
6,6,30,false,trade_planning,65535,26,30,2968,1120,120,259,4681,0,17268,0,60906,296165360,0,19526575,264383448,351680687,0,0,9981022,9385150,595872,0,13581799748,4527266874,352969097,124212503,9861598,1676292,ACTIVE,true,0,0,0
7,7,35,false,trade_planning,65535,31,35,2968,1120,120,259,4681,0,15788,0,62270,304944357,0,17830015,281572864,336591570,0,0,9931549,8470591,1460958,0,14168753353,4722918049,335946455,90169434,7584409,453296,ACTIVE,true,0,0,0
8,8,40,false,trade_planning,65535,36,40,2968,1120,120,259,4681,0,14371,0,63533,285969797,0,16315579,279747139,296221749,0,0,6584874,8093600,-1508726,40,14753441957,4917814258,297553251,68030027,6056207,108300,ACTIVE,true,0,0,0
9,9,45,false,trade_planning,65535,41,45,2968,1120,120,259,4681,0,13190,0,64593,266628742,0,15018679,257789886,245803078,0,0,3572786,7557765,-3984979,203,15339820124,5113273658,343667762,44240769,4948095,108300,ACTIVE,true,0,0,0
10,10,50,false,trade_planning,65535,46,50,2968,1120,120,259,4681,0,13598,0,64071,273942074,0,16153422,258858657,225375095,0,0,1874864,8294518,-6419654,163,15869991668,5289997494,436160118,37516874,4567991,108300,ACTIVE,true,0,0,0
