epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,filled_owner,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,construction_ready_days
1,1,5,450,5,11,-16,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137090,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,1,65,9,24,24,0,0,0,65536,65536,0,0,0,0,0,471240,471240,0,0,23520,0,659638,0,0,0,1790160,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,2,69,9,24,24,0,0,0,65536,65536,0,0,0,0,0,672000,591700,0,80300,0,0,1035352,0,0,0,3191280,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,3,79,2,24,24,0,0,0,65536,65536,0,0,0,0,0,106680,106680,0,0,0,0,896072,0,0,0,2432160,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,4,90,2,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126310,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,5,106,20,1,1,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,6,203,20,12,12,24,24,0,65536,65536,65536,0,0,0,0,6000,6000,0,0,3000,0,4800000,0,2055002,2055002,4800000,2055002,65536,65536,1200000,1200000,855002,855002,
1,1,5,450,5,11,-16,0,7,238,12,24,24,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6711600,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,8,239,9,24,24,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060880,0,65536,65536,0,0,0,0,
1,1,5,450,5,11,-16,0,9,242,20,1,1,2,1,0,32768,32768,57344,0,0,0,0,6250,6250,0,0,1250,0,93750,0,59062,59062,187500,59062,41320,65536,50000,50000,9062,9062,
2,2,10,450,5,11,-16,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171900,0,65536,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,1,65,9,24,3,0,0,0,8192,8192,0,0,0,0,0,58905,58905,0,0,2940,0,43448,0,0,0,206340,0,65536,8192,0,0,0,0,
2,2,10,450,5,11,-16,0,2,69,9,24,24,0,0,0,65536,65536,0,0,0,0,0,672000,614800,0,57200,0,0,712068,0,0,0,3273240,0,65536,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,3,79,2,24,13,0,0,0,35498,35498,0,0,0,0,0,57783,57783,0,0,0,0,261132,0,0,0,1309137,0,65536,37466,0,0,0,0,
2,2,10,450,5,11,-16,0,4,90,2,1,1,0,0,0,65536,65536,65536,0,0,0,5000,14775,14775,0,0,0,0,157182,18440,0,0,157190,18440,65536,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,5,106,20,1,1,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,6,203,20,12,12,24,24,0,65536,65536,65536,0,0,0,0,6000,6000,0,0,3000,0,4800000,0,2120409,2120409,4800000,2120409,65536,65536,1291800,1291800,828609,828609,
2,2,10,450,5,11,-16,0,7,238,12,24,24,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7859880,0,65536,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,8,239,9,24,24,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060880,0,65536,65536,0,0,0,0,
2,2,10,450,5,11,-16,0,9,242,20,1,1,2,2,0,65536,65536,48611,0,0,0,0,12500,12500,0,0,2500,0,187500,0,123576,123576,187500,123576,41320,65536,107650,107650,15926,15926,
3,3,15,450,5,11,-16,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215550,0,65536,65536,0,0,0,0,
3,3,15,450,5,11,-16,0,1,65,9,24,1,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,9427,0,0,0,44767,0,65536,2048,0,0,0,0,
3,3,15,450,5,11,-16,0,2,69,9,24,18,0,0,0,49152,49152,0,0,0,0,0,504000,455600,0,48400,0,0,422341,0,0,0,2300393,0,65536,50954,0,0,0,0,
3,3,15,450,5,11,-16,0,3,79,2,24,7,0,0,0,19114,19114,0,0,0,0,0,31113,31113,0,0,0,0,122417,0,0,0,613776,0,65536,20176,0,0,0,0,
3,3,15,450,5,11,-16,0,4,90,2,1,1,0,0,0,65536,65536,65536,0,0,0,5000,14775,14775,0,0,0,0,179860,16005,0,0,179870,16005,65536,65536,0,0,0,0,
