epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,producer_support_money_issued,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,population_error,money_error,goods_error
1,2,10,false,trade_planning,65535,6,10,2897,1120,120,260,4994,0,55347,7374,15623,388800514,0,41210314,289870836,415987664,558458599,0,0,11306750,-11306750,0,4503292049,1501097605,633172026,254107200,25167300,14132725,ACTIVE,true,0,0,0
2,3,15,false,trade_planning,65535,11,15,2897,1120,120,260,4994,0,48843,7374,22025,567461966,0,59253725,454270185,1077390921,558458599,0,231861,54725347,-54493486,0,5346245714,1782082129,1192628833,296522774,25005412,12858078,ACTIVE,true,0,0,0
3,4,20,false,trade_planning,65535,16,20,2897,1120,120,260,4994,0,30022,7374,40846,320524963,0,29273471,263420597,403654874,558458599,0,2683556,17379071,-14695515,0,5967939479,1989313397,426239185,262974507,19948389,6690188,ACTIVE,true,0,0,0
4,5,25,false,trade_planning,65535,21,25,2897,1120,120,260,4994,0,25081,7374,45685,280602141,0,23864746,226165598,332365531,658395581,0,11724055,14872544,-3148489,0,7184112002,2394704239,587778794,218823802,15675028,4918226,ACTIVE,true,0,0,0
5,6,30,false,trade_planning,65535,26,30,2897,1120,120,260,4994,0,23901,7374,46814,325021841,0,22300167,261815016,389436150,657614276,0,17749430,13509656,4239774,0,8282164557,2760721746,510675772,187520319,12728398,2940792,ACTIVE,true,0,0,0
6,7,35,false,trade_planning,65535,31,35,2897,1120,120,260,4994,0,21836,7374,48828,336968646,0,19867207,288941698,397949343,659520571,0,17898087,12500892,5397195,33,9461321082,3153773933,400926720,146995886,10117921,1016637,ACTIVE,true,0,0,0
7,8,40,false,trade_planning,65535,36,40,2897,1120,120,260,4994,0,19864,7374,50749,318119497,0,17782571,292947110,351495037,663554575,0,12651477,11923301,728176,115,10727177760,3575726146,321286759,114399849,7893367,383268,ACTIVE,true,0,0,0
8,9,45,false,trade_planning,65535,41,45,2897,1120,120,260,4994,0,18834,7374,51727,304401671,0,17757411,264163093,280203652,671772775,0,8186463,12548893,-4362430,402,12026416276,4008805670,465399073,74752744,6002682,111200,ACTIVE,true,0,0,0
9,10,50,false,trade_planning,65535,46,50,2897,1120,120,260,4994,0,18634,7374,51876,302303976,0,18018722,262012985,253675557,684751204,0,4729027,12896785,-8167758,320,13197816172,4399272295,508559391,59892461,5363568,111200,ACTIVE,true,0,0,0
10,11,55,false,trade_planning,65535,51,55,2897,1120,120,260,4994,0,25876,7374,44583,387811205,0,27826991,338302357,332380671,703244890,0,2348708,23346635,-20997927,115,14337757983,4779252903,673500962,141274269,9449669,5218132,ACTIVE,true,0,0,0
11,12,60,false,trade_planning,65535,56,60,2897,1120,120,260,4994,0,22294,7374,48147,333982529,0,22663660,288603760,259465467,728508456,0,1771051,14855761,-13084710,115,15516744758,5172248495,717842939,97919227,7800085,111200,ACTIVE,true,0,0,0
12,13,65,false,trade_planning,65535,61,65,2897,1120,120,260,4994,0,20479,7374,49911,333425032,0,19854449,291832008,244229827,746809990,0,4083419,13690136,-9606717,115,16601417585,5533806100,681818620,72849547,6871115,522663,ACTIVE,true,0,0,0
13,14,70,false,trade_planning,65535,66,70,2897,1120,120,260,4994,0,19889,7374,50456,327082358,0,18967487,281889885,215745373,743187539,0,3505003,12220806,-8715803,320,17710946221,5903648978,702884514,55737921,5544608,845102,ACTIVE,true,0,0,0
14,15,75,false,trade_planning,65535,71,75,2897,1120,120,260,4994,0,21054,7374,49240,338030840,0,21217627,285451311,215744587,741054393,0,3309425,16199428,-12890003,320,18757706964,6252569238,791177071,69657808,5822474,503919,ACTIVE,true,0,0,0
15,16,80,false,trade_planning,65535,76,80,2897,1120,120,260,4994,0,21135,7374,49109,330386310,14,20497652,268478228,196432522,741450314,0,11982685,13326952,-1344267,320,19731447200,6577149317,875228963,93573327,7246784,677771,ACTIVE,true,0,0,0
16,17,85,false,trade_planning,65535,81,85,2897,1120,120,260,4994,0,23497,7374,46706,375348664,19,25241386,299024015,249533169,741146324,0,11047099,20162237,-9115138,320,20658011265,6886004014,967718176,98012180,7090984,1390551,ACTIVE,true,0,0,0
17,18,90,false,trade_planning,65535,86,90,2897,1120,120,260,4994,0,23830,7374,46355,384550571,22,25741163,303971086,231252803,741146324,0,8219027,19882756,-11663729,320,21542752845,7180917853,929750774,102845684,7241859,779442,ACTIVE,true,0,0,0
18,19,95,false,trade_planning,65535,91,95,2897,1120,120,260,4994,0,23531,7374,46602,374844312,22,24365846,308224335,235845780,741167318,0,12933451,16452667,-3519216,320,22445596965,7481865912,849019263,118107830,7575865,1310298,ACTIVE,true,0,0,0
19,20,100,false,trade_planning,65535,96,100,2897,1120,120,260,4994,0,22949,7374,47139,358600298,23,23050560,297222988,214283063,741197237,0,15069874,14389011,680863,320,23417778037,7805926253,821660778,124153761,8066866,657026,ACTIVE,true,0,0,0
20,21,105,false,trade_planning,65535,101,105,2897,1120,120,260,4994,0,23054,7374,46993,373446916,24,24056932,304442028,218666337,741312503,0,14810390,18252679,-3442289,361,24388544589,8129515094,865941351,94419768,7944806,358827,ACTIVE,true,0,0,0
21,22,110,false,trade_planning,65535,106,110,2897,1120,120,260,4994,0,21015,7374,49015,344763919,28,20400420,278946426,180574880,741471317,0,11771979,13359370,-1587391,361,25299235630,8433078767,824502391,82149412,7229621,131709,ACTIVE,true,0,0,0
22,23,115,false,trade_planning,65535,111,115,2897,1120,120,260,4994,0,21456,7374,48522,362243468,120,21269260,285260196,182451248,741639518,0,9153903,14847265,-5693362,385,26211879850,8737293519,882724491,60729390,6171617,567902,ACTIVE,true,0,0,0
23,24,120,false,trade_planning,65535,116,120,2897,1120,120,260,4994,0,22017,7374,47916,370135104,165,22693147,297384603,189760212,741908213,0,5606068,17119235,-11513167,385,27061349498,9020450069,871151382,60769286,5679575,393044,ACTIVE,true,0,0,0
24,25,125,false,trade_planning,65535,121,125,2897,1120,120,260,4994,0,24506,7374,45418,392790903,186,26275503,307022300,191600225,742246805,0,14327224,20261742,-5934518,332,27904651654,9301550789,971285363,121845158,7526915,2608196,ACTIVE,true,0,0,0
25,26,130,false,trade_planning,65535,126,130,2897,1120,120,260,4994,0,24448,7374,45426,369724469,207,25852527,295251648,175550751,742547672,0,5020154,17518380,-12498226,332,28729318795,9576439839,917222091,134311989,8530186,1282654,ACTIVE,true,0,0,0
26,27,135,false,trade_planning,65535,131,135,2897,1120,120,260,4994,0,23731,7374,46096,368978341,212,23996221,291715570,167467373,742711367,0,13528204,14402079,-873875,332,29549569717,9849856809,954428587,149530298,8657893,1472550,ACTIVE,true,0,0,0
27,28,140,false,trade_planning,65535,136,140,2897,1120,120,260,4994,0,24474,7374,45345,381898936,240,25271552,307954951,185642320,742840315,0,13366383,16217810,-2851427,332,30376392156,10125464293,947366082,168265136,8540365,1599167,ACTIVE,true,0,0,0
28,29,145,false,trade_planning,65535,141,145,2897,1120,120,260,4994,0,24636,7374,45138,375310453,240,24772363,307107385,178639355,742935604,0,17155246,14474134,2681112,332,31222172229,10407390979,916746026,189570183,9295792,2286447,ACTIVE,true,0,0,0
29,30,150,false,trade_planning,65535,146,150,2897,1120,120,260,4994,0,25702,7374,44053,395032218,236,27451867,326691824,201375855,742881594,0,12696426,19999337,-7302911,348,32075828472,10691943060,909690776,159227756,9437142,2267056,ACTIVE,true,0,0,0
30,31,155,false,trade_planning,65535,151,155,2897,1120,120,260,4994,0,26131,7374,43583,406269437,223,27942120,333399208,216678887,742871004,0,14536975,20514171,-5977196,348,32913408507,10971136409,907074238,175042294,9529050,1783125,ACTIVE,true,0,0,0
31,32,160,false,trade_planning,65535,156,160,2897,1120,120,260,4994,0,25649,7374,44020,388716868,250,26250094,322487193,200585452,742871004,0,16565374,16442745,122629,296,33760040503,11253347083,868397910,206892609,10435625,2365455,ACTIVE,true,0,0,0
32,33,165,false,trade_planning,65535,161,165,2897,1120,120,260,4994,0,25242,7374,44419,405757115,241,26974085,336179799,199933560,742871004,0,10626573,19918528,-9291955,343,34666060020,11555353590,815207606,110729857,8714640,1022692,ACTIVE,true,0,0,0
33,34,170,false,trade_planning,65535,166,170,2897,1120,120,260,4994,0,25496,7374,44120,380221358,228,25588917,317635574,174378847,742871004,0,10015315,14881830,-4866515,246,35535822117,11845274277,785904617,128292100,10205989,3488663,ACTIVE,true,0,0,0
34,35,175,false,trade_planning,65535,171,175,2897,1120,120,260,4994,0,26989,7374,42607,407031812,216,29053959,337262162,203582657,742871004,0,11127550,20615583,-9488033,313,36421052846,12140351190,862162669,183132687,10036479,3412211,ACTIVE,true,0,0,0
35,36,180,false,trade_planning,65535,176,180,2897,1120,120,260,4994,0,25513,7374,44036,388299079,190,26734048,322208412,184010203,742871004,0,5713106,17624114,-11911008,340,37286300959,12428767232,806906781,133261028,9147625,1906583,ACTIVE,true,0,0,0
36,37,185,false,trade_planning,65535,181,185,2897,1120,120,260,4994,0,26000,7374,43542,393554783,136,26236538,321703785,179684615,742871004,0,23614781,15512999,8101782,313,38110251746,12703417482,809296786,185626378,10475022,3059757,ACTIVE,true,0,0,0
37,38,190,false,trade_planning,65535,186,190,2897,1120,120,260,4994,0,26308,7374,43189,383561870,126,26497640,312847594,172189908,742871004,0,17864503,14857047,3007456,292,39014745838,13004915499,846212386,226211035,11661841,2518323,ACTIVE,true,0,0,0
38,39,195,false,trade_planning,65535,191,195,2897,1120,120,260,4994,0,27461,7374,42028,417625796,102,29429762,331618105,180300553,742871004,0,14304984,20812770,-6507786,294,39891891586,13297297443,871236366,163937714,11016849,2387348,ACTIVE,true,0,0,0
39,40,200,false,trade_planning,65535,196,200,2897,1120,120,260,4994,0,26936,7374,42540,421419350,123,29071366,325320559,179651645,742871004,0,14213419,21441015,-7227596,303,40693351386,13564450696,921390278,156525341,9820755,1893207,ACTIVE,true,0,0,0
40,41,205,false,trade_planning,65535,201,205,2897,1120,120,260,4994,0,26554,7374,42878,414035387,188,27982739,315383574,176112770,742871004,0,17340759,19322671,-1981912,272,41460186883,13820062532,951103616,214487114,9791734,2099587,ACTIVE,true,0,0,0
41,42,210,false,trade_planning,65535,206,210,2897,1120,120,260,4994,0,25314,7374,44107,394136154,262,25985044,307449084,167224803,742871004,0,15172998,16238417,-1065419,308,42244428654,14081476463,873636185,209211492,9227800,1790547,ACTIVE,true,0,0,0
42,43,215,false,trade_planning,65535,211,215,2897,1120,120,260,4994,0,25754,7374,43634,389988080,276,26199623,300009852,156670402,742871004,0,14086157,15576552,-1490395,259,43064223000,14354741245,894325182,227226648,10001401,2691233,ACTIVE,true,0,0,0
43,44,220,false,trade_planning,65535,216,220,2897,1120,120,260,4994,0,25895,7374,43473,386884480,278,26439245,291977413,158671680,742871004,0,12886172,15913841,-3027669,222,43874475711,14624825484,924802341,250811784,10549644,2615836,ACTIVE,true,0,0,0
44,45,225,false,trade_planning,65535,221,225,2897,1120,120,260,4994,0,24153,7374,45180,406550270,265,25857095,305532944,172344783,742871004,0,3544807,20151407,-16606600,326,44663002374,14887667696,900901358,105190303,7381056,811563,ACTIVE,true,0,0,0
45,46,230,false,trade_planning,65535,226,230,2897,1120,120,260,4994,0,22991,7374,46335,394521789,279,23920223,292839782,158342192,742871004,0,5067328,17664387,-12597059,331,45378019037,15126006594,861580059,90094482,6000555,568249,ACTIVE,true,0,0,0
46,47,235,false,trade_planning,65535,231,235,2897,1120,120,260,4994,0,21934,7374,47379,371476346,279,21586534,275402478,136954948,742871004,0,6926518,13339003,-6412485,337,46113090146,15371030287,848662425,127428465,5811423,760156,ACTIVE,true,0,0,0
47,48,240,false,trade_planning,65535,236,240,2897,1120,120,260,4994,0,24677,7374,44601,395642916,274,25042844,294933878,163114949,742871004,0,18066842,16108253,1958589,253,46863414781,15621138503,896634736,200187875,8174582,2215712,ACTIVE,true,0,0,0
48,49,245,false,trade_planning,65535,241,245,2897,1120,120,260,4994,0,24822,7374,44448,386547885,274,25230973,287904162,144593719,742871004,0,9588018,15990491,-6402473,225,47673663890,15891221522,919838207,192289856,8946898,2202594,ACTIVE,true,0,0,0
49,50,250,false,trade_planning,65535,246,250,2897,1120,120,260,4994,0,24333,7374,44925,388159931,268,24687640,289336856,154418476,742871004,0,14185422,15654249,-1468827,214,48420015791,16140005499,945916066,205075313,9133467,1539157,ACTIVE,true,0,0,0
50,51,255,false,trade_planning,65535,251,255,2897,1120,120,260,4994,0,27121,7374,42101,445545908,268,31022483,336440304,190357914,742871004,0,10295044,26084038,-15788994,240,49158040143,16386013616,998561443,158078676,8462325,836915,ACTIVE,true,0,0,0
51,52,260,false,trade_planning,65535,256,260,2897,1120,120,260,4994,0,22790,7374,46415,382962626,260,23028190,292266219,152469975,742871004,0,6621416,14865822,-8244406,328,49856906573,16618969100,827380744,93934155,6962095,831389,ACTIVE,true,0,0,0
52,53,265,false,trade_planning,65535,261,265,2897,1120,120,260,4994,0,23581,7374,45623,383724069,260,23691833,297116941,145435654,742871004,0,11328762,14577295,-3248533,300,50618041342,16872680682,858191976,141072291,7494672,1637124,ACTIVE,true,0,0,0
53,54,270,false,trade_planning,65535,266,270,2897,1120,120,260,4994,0,25083,7374,44084,393189780,286,25295958,309285240,158842080,742871004,0,17933156,15233386,2699770,225,51394448309,17131483011,855401893,201855944,9082981,2469002,ACTIVE,true,0,0,0
54,55,275,false,trade_planning,65535,271,275,2897,1120,120,260,4994,0,24445,7374,44680,379630665,230,24530888,298414996,143400928,742871004,0,10767987,14141071,-3373084,224,52222561862,17407520861,899980709,192089370,9036616,1240436,ACTIVE,true,0,0,0
55,56,280,false,trade_planning,65535,276,280,2897,1120,120,260,4994,0,27439,7374,41682,447820382,235,30776541,352881745,202505301,742871004,0,16126734,25768951,-9642217,215,52959573992,17653191564,998736569,213654632,8925758,1348455,ACTIVE,true,0,0,0
56,57,285,false,trade_planning,65535,281,285,2897,1120,120,260,4994,0,22821,7374,46256,378513286,226,22847470,305346980,161438389,742871004,0,6913904,14436766,-7522862,317,53686134669,17895378456,790931214,105130981,7316976,995490,ACTIVE,true,0,0,0
57,58,290,false,trade_planning,65535,286,290,2897,1120,120,260,4994,0,22660,7374,46407,378710744,238,22657704,306743732,150605102,742871004,0,6830731,14210605,-7379874,321,54464115369,18154705362,780918085,96539488,6782404,637985,ACTIVE,true,0,0,0
58,59,295,false,trade_planning,65535,291,295,2897,1120,120,260,4994,0,23091,7374,45963,381357833,239,23066508,305415947,147712313,742871004,0,10569412,14362939,-3793527,298,55253628483,18417876387,813771894,138128258,7006708,1167351,ACTIVE,true,0,0,0
59,60,300,false,trade_planning,65535,296,300,2897,1120,120,260,4994,0,25029,7374,44022,395701248,236,25425657,313113954,159925352,742871004,0,17803364,15907038,1896326,224,56035303683,18678434798,856904246,189678499,8788958,2323255,ACTIVE,true,0,0,0
