epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,construction_ready_days
1,2,10,1174,25,19,-44,0,0,30,9,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171900,0,65536,65536,0,0,0,0,
1,2,10,1174,25,19,-44,0,1,65,9,24,24,3,3,0,0,0,0,8192,8192,0,0,0,0,0,58905,58905,0,0,2940,0,43448,0,0,0,206340,0,65536,8192,0,0,0,0,
1,2,10,1174,25,19,-44,0,2,69,9,24,24,17,17,0,0,0,0,46421,46421,0,0,0,0,0,475996,426496,0,49500,0,0,401588,0,0,0,2163673,0,65536,47185,0,0,0,0,
1,2,10,1174,25,19,-44,0,3,79,2,24,24,12,12,0,0,0,0,32768,32768,0,0,0,0,0,53340,53340,0,0,0,0,236488,0,0,0,1132686,0,65536,33043,0,0,0,0,
1,2,10,1174,25,19,-44,0,4,90,2,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,5000,14775,14775,0,0,0,0,154567,18440,0,0,154575,18440,65536,65536,0,0,0,0,
1,2,10,1174,25,19,-44,0,5,106,20,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
1,2,10,1174,25,19,-44,0,6,238,12,24,24,24,24,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810080,0,65536,65536,0,0,0,0,
1,2,10,1174,25,19,-44,0,7,239,9,24,24,24,24,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060880,0,65536,65536,0,0,0,0,
2,3,15,1174,25,19,-44,0,0,30,9,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215550,0,65536,65536,0,0,0,0,
2,3,15,1174,25,19,-44,0,1,65,9,24,24,1,1,0,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,9427,0,0,0,44767,0,65536,2048,0,0,0,0,
2,3,15,1174,25,19,-44,0,2,69,9,24,24,11,11,0,0,0,0,30037,30037,0,0,0,0,0,307996,267296,0,40700,0,0,222604,0,0,0,1287271,0,65536,31742,0,0,0,0,
2,3,15,1174,25,19,-44,0,3,79,2,24,24,6,6,0,0,0,0,16384,16384,0,0,0,0,0,26670,26670,0,0,0,0,102631,0,0,0,495622,0,65536,16658,0,0,0,0,
2,3,15,1174,25,19,-44,0,4,90,2,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,5000,14775,14775,0,0,0,0,175103,16005,0,0,175110,16005,65536,65536,0,0,0,0,
2,3,15,1174,25,19,-44,0,5,106,20,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
2,3,15,1174,25,19,-44,0,6,238,12,24,24,24,24,0,0,0,0,65536,65536,65536,0,0,0,1200,518400,468960,0,49440,85800,0,3105208,14971,0,0,9166680,14971,65536,65536,0,0,0,0,
2,3,15,1174,25,19,-44,0,7,239,9,24,24,24,24,0,0,0,0,37068,65536,65536,0,0,0,13574,122715,122715,0,0,12217,0,429470,169349,0,0,2060880,169349,65536,65536,0,0,0,0,
3,4,20,1174,25,19,-44,0,0,30,9,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,7500,9020,9020,0,0,0,0,270251,55425,0,0,270275,55425,65536,65536,0,0,0,0,
3,4,20,1174,25,19,-44,0,1,65,9,24,24,1,1,0,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,8196,0,0,0,38921,0,65536,2048,0,0,0,0,
3,4,20,1174,25,19,-44,0,2,69,9,24,24,8,8,0,0,0,0,21845,21845,0,0,0,0,0,223996,198696,0,25300,0,0,146399,0,0,0,795121,0,65536,22162,0,0,0,0,
3,4,20,1174,25,19,-44,0,3,79,2,24,24,3,3,0,0,0,0,8192,8192,0,0,0,0,0,13335,13335,0,0,0,0,44570,0,0,0,216424,0,65536,8375,0,0,0,0,
3,4,20,1174,25,19,-44,0,4,90,2,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,5000,14775,14775,0,0,0,0,199776,13915,0,0,199785,13915,65536,65536,0,0,0,0,
3,4,20,1174,25,19,-44,0,5,106,20,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
3,4,20,1174,25,19,-44,0,6,238,12,24,24,3,3,0,0,0,0,8192,8192,65536,0,0,0,150,64800,58620,0,6180,10725,0,207075,2135,0,0,1427192,2135,65536,10922,0,0,0,0,
3,4,20,1174,25,19,-44,0,7,239,9,24,24,13,13,0,0,0,0,35498,35498,11210,0,0,0,12999,117517,117517,0,0,11699,0,216677,185027,0,0,1068795,185027,65536,36864,0,0,0,0,
4,5,25,1174,25,19,-44,0,0,30,9,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,7500,9020,9020,0,0,0,0,328650,48885,0,0,328675,48885,65536,65536,0,0,0,0,
4,5,25,1174,25,19,-44,0,1,65,9,24,24,1,1,0,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,7145,0,0,0,33926,0,65536,2048,0,0,0,0,
4,5,25,1174,25,19,-44,0,2,69,9,24,24,6,6,0,0,0,0,16384,16384,0,0,0,0,0,168000,151500,0,16500,0,0,101171,0,0,0,564048,0,65536,17342,0,0,0,0,
4,5,25,1174,25,19,-44,0,3,79,2,24,24,1,1,0,0,0,0,2730,2730,0,0,0,0,0,4443,4443,0,0,0,0,12908,0,0,0,94323,0,65536,4199,0,0,0,0,
4,5,25,1174,25,19,-44,0,4,90,2,1,1,1,1,0,0,0,0,55194,55194,65536,0,0,0,4210,12443,12443,0,0,0,0,64165,10213,0,0,164387,10213,65536,55194,0,0,0,0,
4,5,25,1174,25,19,-44,0,5,106,20,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
4,5,25,1174,25,19,-44,0,6,238,12,24,24,3,3,0,0,0,0,8192,8192,65536,0,0,0,150,64800,58620,0,6180,10725,0,179907,2086,0,0,1240104,2086,65536,10922,0,0,0,0,
4,5,25,1174,25,19,-44,0,7,239,9,24,24,7,7,0,0,0,0,19114,19114,2809,0,0,0,6999,63277,63277,0,0,6299,0,101508,97335,0,0,504455,97335,65536,20000,0,0,0,0,
5,6,30,1174,25,19,-44,0,0,30,9,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,7500,9020,9020,0,0,0,0,389043,44745,0,0,389075,44745,65536,65536,0,0,0,0,
5,6,30,1174,25,19,-44,0,1,65,9,24,24,1,1,0,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,6252,0,0,0,29685,0,65536,2048,0,0,0,0,
5,6,30,1174,25,19,-44,0,2,69,9,24,24,15,15,0,0,0,0,40960,40960,0,0,0,0,0,420000,398000,0,22000,0,0,409514,0,0,0,1347349,0,65536,41439,0,0,0,0,
5,6,30,1174,25,19,-44,0,3,79,2,24,24,1,1,0,0,0,0,2104,2104,0,0,0,0,0,3424,3424,0,0,0,0,8656,0,0,0,41125,0,65536,2104,0,0,0,0,
5,6,30,1174,25,19,-44,0,4,90,2,1,1,1,1,0,0,0,0,20794,20794,54427,0,0,0,1586,4687,4687,0,0,0,0,11672,3367,0,0,55452,3367,65536,20794,0,0,0,0,
5,6,30,1174,25,19,-44,0,5,106,20,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
