epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error
1,1,5,false,trade_planning,65535,1,5,7626,2400,120,260,16862,0,171570,3415,1572,0,0,0,1375443653,0,255387302,8069,255387302,8432772280,19979,499718750,11203750,422500,10781250,338000000,161718750,0,0,0,246589025,0,0,78307080,-78307080,0,70250859137,10035837548,7933033551,359952600,0,55945900,ACTIVE,true,2,4955738316625299941,7751870094901102735,SCAN,0,288000,0,0,0,1,1,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20505952256,0,0,0,0
2,2,10,false,trade_planning,65535,6,10,7626,2400,120,260,16862,0,173067,3490,0,0,0,29820000,1410031117,3347762,256925346,8926,256925346,9463997868,22568,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,251018750,0,0,78400830,-78400830,0,39903358592,5700480562,8957225300,424753644,29820000,26094072,ACTIVE,true,2,4955738316625299941,7751870094901102735,SCAN,16384,288000,0,0,0,1,1,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
3,3,15,false,trade_planning,65535,11,15,7626,2400,120,260,16862,0,173067,3490,0,0,0,47812535,1837142717,33321903,256921577,12820,256921577,14760010398,35481,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,257547787,0,60270000,149782308,-89512308,0,35602214644,5086031434,14253224917,462912310,47812570,8088930,ACTIVE,true,2,4955738316625299941,7751870094901102735,SCAN,32768,288000,0,6,0,1,1,normalized_topology_changed,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
4,4,20,false,trade_planning,65535,16,20,7626,2400,120,260,16862,0,173067,3490,0,0,0,49105600,1561430051,297924799,256946596,14374,256946596,12550838901,42487,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,294241321,0,60270000,147184054,-86914054,0,28093314678,4013331429,12044046414,476533931,49105628,5854053,ACTIVE,true,3,7236802448123765915,7751870094901102735,SCAN,0,288000,0,0,0,2,2,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
5,5,25,false,trade_planning,65535,21,25,7626,2400,120,260,16862,0,173067,3490,0,0,0,50500032,834566812,890499925,256945666,15833,256945666,7227685662,48747,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,296418048,0,60270000,132959479,-72689479,0,22613086358,3230441680,6720886915,485100718,50499613,4377146,ACTIVE,true,3,7236802448123765915,7751870094901102735,SCAN,16384,288000,0,0,0,2,2,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
6,6,30,false,trade_planning,65535,26,30,7626,2400,120,260,16862,0,173067,3490,0,0,0,52133686,772966691,457436385,256957459,14930033,256957459,6837650515,24036750,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,297675606,0,60270000,88524589,-28254589,0,21820142672,3117164034,6306863765,484121394,52133262,1714616,ACTIVE,true,4,4332263652007897215,7751870094901102735,SCAN,0,288000,0,0,0,3,3,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
7,7,35,false,trade_planning,65535,31,35,7626,2400,120,260,16862,0,173060,3490,0,0,7,53234381,740712794,389736628,256957459,7185461,256957459,6877815822,13564879,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,299687933,0,60270000,98683873,-38413873,0,21456201711,3065172453,6357500943,494512121,53234327,1496084,ACTIVE,true,4,4332263652007897215,7751870094901102735,SCAN,16384,288000,0,0,0,3,3,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
8,8,40,false,trade_planning,65535,36,40,7626,2400,120,260,16862,0,172955,3490,0,0,105,51715452,732036307,253230096,256967265,7975439,256967265,6836627932,15344322,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,302641662,0,60200549,89506216,-29305667,0,21120807036,3017258934,6314533610,492414449,51715345,1057579,ACTIVE,true,5,4211105605464385799,7751870094901102735,SCAN,0,288000,0,0,0,4,4,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
9,9,45,false,trade_planning,65535,41,45,7626,2400,120,260,16862,0,172955,3490,0,0,0,46281287,734735098,238195398,256967265,8582071,256967265,7075217439,16789335,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,306921918,0,60065051,95936321,-35871270,0,20915219722,2987889294,6551678104,478126575,46282814,886820,ACTIVE,true,5,4211105605464385799,7751870094901102735,SCAN,16384,288000,0,0,0,4,4,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
10,10,50,false,trade_planning,65535,46,50,7626,2400,120,260,16862,0,172955,3490,0,0,0,46989043,718641643,178841528,256973190,8334564,256973190,7167573693,16390641,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,312869459,0,59999772,84944329,-24944557,0,20633498513,2947643415,6644433052,484493993,46989058,880850,ACTIVE,true,6,7099302286418355807,7751870094901102735,SCAN,0,288000,0,0,0,5,5,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
11,11,55,false,trade_planning,65535,51,55,7626,2400,120,260,16862,0,172955,3490,0,0,0,42252679,707540848,238329769,256973190,10456725,256973190,7358954500,20841662,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,321913062,0,59893793,80943721,-21049928,0,20463227841,2923319073,6831362838,442392218,42252724,885076,ACTIVE,true,6,7099302286418355807,7751870094901102735,SCAN,16384,288000,0,0,0,5,5,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
12,12,60,false,trade_planning,65535,56,60,8946,2400,120,260,16862,0,171635,3490,1320,0,0,36360058,721887306,364932751,255525786,12358200,255525786,7618619772,25045340,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,334132415,0,59691046,82294935,-22603889,1431,20333618279,2904803380,7086824432,393464153,36360178,878318,ACTIVE,true,7,8179268185929291991,7751870094901102735,SCAN,0,288000,0,0,0,6,6,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
13,13,65,false,trade_planning,65535,61,65,9044,2400,120,260,16862,0,171205,3490,1750,0,0,36367258,733588536,210861168,255525411,11927757,255525411,7605311836,23908794,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342766207,0,58475795,74928248,-16452453,1861,20130891820,2875842463,7074653042,330062239,36367437,874044,ACTIVE,true,7,8179268185929291991,7751870094901102735,SCAN,16384,288000,0,0,0,6,6,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
14,14,70,false,trade_planning,65535,66,70,8813,2400,120,260,16862,0,171767,3490,1187,0,1,36482732,739547913,171950702,256979625,25454049,256979625,7553000875,51279439,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342129402,0,58577435,81242961,-22665526,1282,19859287489,2837041847,6994971436,330754740,36498857,869434,ACTIVE,true,8,5017283274440947895,7751870094901102735,SCAN,0,288000,0,0,0,7,7,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
15,15,75,false,trade_planning,65535,71,75,8905,2400,120,260,16862,0,171648,3490,1279,0,27,40241558,725725661,114985968,256978980,21572849,256978980,7342445765,43285161,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,341588330,0,58149738,73076281,-14926543,1374,19673422662,2810489744,6792410604,319573469,40258339,920925,ACTIVE,true,8,5017283274440947895,7751870094901102735,SCAN,16384,288000,0,0,0,7,7,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
16,16,80,false,trade_planning,65535,76,80,8949,2400,120,260,16862,0,171603,3490,1323,0,1,41484638,877538645,83538033,256981378,33774153,256981378,9361686932,74060545,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,341961508,0,56836174,97061043,-40224869,1418,19506631125,2786662347,8780876387,320169369,41508197,905252,ACTIVE,true,9,3436014539368652943,7751870094901102735,SCAN,0,288000,0,0,0,8,8,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
17,17,85,false,trade_planning,65535,81,85,8949,2400,120,260,16862,0,171603,3490,1323,0,0,32984754,849086717,356632154,256980947,50772807,256980947,8226993124,106673204,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342416440,0,56158945,94033279,-37874334,1418,17785561352,2540795259,7613569920,288130071,33009876,905717,ACTIVE,true,9,3436014539368652943,7751870094901102735,SCAN,16384,288000,0,0,0,8,8,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
18,18,90,false,trade_planning,65535,86,90,8949,2400,120,260,16862,0,171601,3490,1323,0,2,36238236,768604677,239685560,256979072,29204894,256979072,7332123438,56433177,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342420458,0,55594283,78296902,-22702619,1418,17071170096,2438739363,6768940261,292111018,36263264,887398,ACTIVE,true,10,153308062036883853,7751870094901102735,SCAN,0,288000,0,0,0,9,9,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
19,19,95,false,trade_planning,65535,91,95,8949,2400,120,260,16862,0,171596,3490,1323,0,5,36114319,719538470,122380532,256975393,13677504,256975393,6715054808,25605526,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342386990,0,55099645,63873066,-8773421,1418,17060398057,2437200517,6182699282,286512279,36138121,917222,ACTIVE,true,10,153308062036883853,7751870094901102735,SCAN,16384,288000,0,0,0,9,9,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
20,20,100,false,trade_planning,65535,96,100,8949,2400,120,260,16862,0,171595,3490,1323,0,1,31959169,720830008,65569160,256971060,6589884,256971060,6589188228,12413467,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342484709,0,53285219,60853831,-7568612,1418,17512386451,2501770274,6070024761,266827433,31983327,922017,ACTIVE,true,11,4782565079754805025,7751870094901102735,SCAN,0,288000,0,0,0,10,10,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
21,21,105,false,trade_planning,65535,101,105,8949,2400,120,260,16862,0,171587,3490,1323,0,8,31906737,721591255,65360903,256967641,9543245,256967641,6565248042,19823801,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342614955,0,50284625,60116514,-9831889,1418,17992982613,2570426877,6038674241,260234307,31930898,893795,ACTIVE,true,11,4782565079754805025,7751870094901102735,SCAN,16384,288000,0,0,0,10,10,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
22,22,110,false,trade_planning,65535,106,110,8949,2400,120,260,16862,0,171586,3489,1323,0,2,30774191,736493243,223903064,256960295,16097891,256960295,6614570995,32378646,506750000,11672500,422500,11250000,338000000,168750000,0,0,0,342841931,0,48989574,62628185,-13638611,1418,18455488817,2636499169,6075442349,253316669,30799178,928270,ACTIVE,true,12,6372757647908132547,7751870094901102735,SCAN,0,288000,0,0,0,11,11,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
23,23,115,false,trade_planning,65535,111,115,8949,2400,120,260,16862,0,171586,3489,1323,0,0,32896877,737883445,147839455,256954033,8384524,256954033,6518760980,16682875,506656250,11666250,422500,11243750,338000000,168656250,0,0,0,342956949,0,49035304,63512634,-14477330,1418,18859017145,2694146118,5995421855,257430291,32921364,1151621,ACTIVE,true,12,6372757647908132547,7751870094901102735,SCAN,16384,288000,0,0,0,11,11,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
24,24,120,false,trade_planning,65535,116,120,8949,2400,120,260,16862,0,171585,3489,1323,0,1,34537846,759838040,103702490,256948455,4924694,256948455,6679030926,10812425,506656250,11666250,422500,11243750,338000000,168656250,0,0,0,343010388,0,50949479,66462348,-15512869,1418,19281399250,2754486398,6161562251,262705690,34562368,1382999,ACTIVE,true,13,9115162987040895031,7751870094901102735,SCAN,0,288000,0,0,0,12,12,normalized_topology_changed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912506368,0,0,0,0
