epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error
1,1,5,false,trade_planning,65535,1,5,7460,2400,120,260,13491,0,155680,2585,1554,0,0,0,1327783563,0,239752252,0,239752252,8710344852,0,876762500,11625250,394000,11231250,315200000,561562500,0,0,0,587553125,0,0,76378670,-76378670,0,47875548749,6839365100,7833582352,523656884,0,78293400,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,0,288000,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19994247168,0,0,0,0
2,2,10,false,trade_planning,65535,6,10,7869,2400,120,260,13491,0,156796,2586,437,0,0,66690736,1389439263,16800966,240995815,10702,240995815,10708101829,33036,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,76286743,-76286743,0,26153499294,3736214958,9830993793,585044126,63311646,14929754,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,16384,288000,0,69,0,0,0,initial_topology_capture,69,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
3,3,15,false,trade_planning,65535,11,15,7869,2400,120,260,13491,0,156783,2586,437,0,13,71840400,1379482645,16684409,240992521,8313,240992521,12311904813,34323,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,75553159,-75553159,0,22129364445,3161338539,11434795490,754309016,71037000,7098150,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,32768,288000,0,286,0,0,0,initial_topology_capture,286,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
4,4,20,false,trade_planning,65535,16,20,7869,2400,120,260,13491,0,156763,2586,437,0,20,71840400,1365342944,19247253,240992671,80748360,240992671,12008924867,119930545,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,74974480,-74974480,0,17517915387,2502560102,11011919322,819884891,71037000,7071392,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,49152,288000,0,560,0,0,0,initial_topology_capture,560,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
5,5,25,false,trade_planning,65535,21,25,7854,2400,120,260,13491,0,156777,2586,422,0,1,71884708,710504879,676332040,240986024,58139562,240986024,8816876781,103572609,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,76326093,-76326093,0,13613825789,1944833042,7836229172,907012083,71080966,7008776,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,65536,288000,0,845,0,0,0,initial_topology_capture,845,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
6,6,30,false,trade_planning,65535,26,30,7854,2400,120,260,13491,0,156777,2586,422,0,0,72219517,718689838,381698265,240990948,85857844,240990948,9933817640,205474995,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,85559438,-85559438,0,12820882919,1831555471,8851267645,1040732198,71414686,6622556,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,81920,288000,0,1105,0,0,0,initial_topology_capture,1105,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
7,7,35,false,trade_planning,65535,31,35,7854,2400,120,260,13491,0,156777,2586,422,0,0,72492300,408429956,536782312,240990498,60280355,240990498,9358707551,257232026,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,93792966,-93792966,0,11533867159,1647696072,8224400525,1235683332,71687780,6249742,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,98304,288000,0,1308,0,0,0,initial_topology_capture,1308,3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
8,8,40,false,trade_planning,65535,36,40,7854,2400,120,260,13491,0,156777,2586,422,0,0,72644579,403125642,263161749,240998535,64645385,240998535,9291810776,283806866,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,95761818,-95761818,0,11242058531,1606009134,8130928910,1219419490,71842019,5963395,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,114688,288000,0,1646,0,0,0,initial_topology_capture,1646,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
9,9,45,false,trade_planning,65535,41,45,7854,2400,120,260,13491,0,156777,2586,422,0,0,72639593,361843328,197497062,240998679,12633451,240998679,8837791732,37031253,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,86580224,-86580224,0,11464702936,1637815498,7923685479,1242455240,71842029,5700139,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,131072,288000,0,1994,0,0,0,initial_topology_capture,1994,4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
10,10,50,false,trade_planning,65535,46,50,7854,2400,120,260,13491,0,156777,2586,422,0,0,72634914,469216488,394033559,241005824,66524030,241005824,10057607866,175747049,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,66574368,-66574368,0,12641487737,1805927577,9004785817,1345804396,71847312,5294143,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,147456,288000,0,2328,0,0,0,initial_topology_capture,2328,5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
11,11,55,false,trade_planning,65535,51,55,7854,2400,120,260,13491,0,156777,2586,422,0,0,72622934,184420315,506125835,241005996,5811,241005996,9073847231,75720,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,62594561,-62594561,0,14201577908,2028797592,8196696511,1341210482,71849669,5370065,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,163840,288000,0,2894,0,0,0,initial_topology_capture,2894,6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
12,12,60,false,trade_planning,65535,56,60,7854,2400,120,260,13491,0,156777,2586,422,0,0,72612819,336998437,126551340,241011363,197769,241011363,11950473068,714078,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,62394513,-62394513,0,17197248926,2456750624,11072683990,1503361508,71856152,5266747,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,180224,288000,0,3221,0,0,0,initial_topology_capture,3221,6826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
13,13,65,false,trade_planning,65535,61,65,7854,2400,120,260,13491,0,156777,2586,422,0,0,72607835,609814397,234360809,241011435,38132924,241011435,16038304940,110463829,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,62456078,-62456078,0,19304696408,2757814580,15050766111,1542639968,71864572,5248375,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,196608,288000,0,3472,0,0,0,initial_topology_capture,3472,7491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
14,14,70,false,trade_planning,65535,66,70,7854,2400,120,260,13491,0,156777,2586,422,0,0,72619743,345539413,447969598,241016890,5706618,241016890,14688141041,14414990,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,60141301,-60141301,0,19046122332,2720875400,13796651051,1650812880,71880405,5088758,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,212992,288000,0,3722,0,0,0,initial_topology_capture,3722,8089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
15,15,75,false,trade_planning,65535,71,75,7854,2400,120,260,13491,0,156763,2586,422,0,14,72642320,432995522,125766438,241016871,22179705,241016871,17341587433,65939918,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,53453574,-53453574,0,21601040120,3085863648,16398572515,1702004970,71902165,5067984,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,229376,288000,0,3955,0,0,0,initial_topology_capture,3955,8802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
16,16,80,false,trade_planning,65535,76,80,7849,2400,120,260,13491,0,156630,2586,417,0,138,72338267,430069979,130580058,240994025,35553715,240994025,18252956522,136423966,877075000,11631500,394000,11237500,315200000,561875000,0,0,0,587773750,0,0,61005287,-61005287,0,23085869047,3297982044,17239457556,1792811202,71439703,5592893,ACTIVE,true,1,419087692343035861,6002582066723943791,SCAN,245760,288000,0,4306,0,0,0,initial_topology_capture,4306,9587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13535019008,0,0,0,0
