epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,1,1,false,trade_planning,65535,1,1,6104,2400,120,261,10129,0,17923,297,104,0,3,0,157823436,4160665,37701639,0,37701639,1004882189,0,95100000,859500,69500,790000,55600000,39500000,0,0,0,66097500,0,0,6918520,-6918520,0,4517512402,909782189,909782189,0,645359028,909782189,78652634,0,4743400,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,0,3221,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12259950592,0,0,0,0,0,0,0,0,0,148,0,0,0,4621156,67500,4553656,78653000,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,false,trade_planning,65535,2,2,6203,2400,120,261,10129,0,18671,300,100,0,4,0,163893308,4294756,39197571,0,39197571,1040758890,0,94500000,915000,65000,850000,52000000,42500000,0,0,0,66375000,0,0,7263040,-7263040,0,4818068089,946258890,946258890,0,688295558,946258890,81121592,0,4925700,ACTIVE,true,1,1931586511863368049,6878440885882118507,ROUTE,3221,3221,0,4,0,0,0,initial_topology_capture,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12306087936,0,0,0,0,0,0,0,0,0,142,0,0,0,4789428,70800,4718628,81122000,1,0,0,0,0,0,0,0,0,0,0,0
3,3,3,false,trade_planning,65535,3,3,6295,2400,120,261,10129,0,20358,292,93,0,8,0,181110963,4539476,42884436,0,42884436,1133744709,0,91600000,902000,62000,840000,49600000,42000000,0,0,0,64510000,0,0,7792420,-7792420,0,5578718022,1042144709,1042144709,0,796959857,1042144709,86377532,0,5282500,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,0,10151,0,0,1,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12373196800,0,0,0,0,0,0,0,0,0,143,0,0,0,5126188,75600,5050588,86378000,2,0,0,0,0,0,0,0,0,0,0,0
4,4,4,false,trade_planning,65535,4,4,6385,2400,120,261,10129,0,19546,310,90,0,7,0,170051993,4744115,40899692,0,40899692,1088118864,0,98350000,924500,69500,855000,55600000,42750000,0,0,0,68762500,0,0,7861020,-7861020,0,5242134151,989768864,989768864,0,748876426,989768864,86581535,0,5489600,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,4096,10151,0,467,1,0,0,initial_topology_capture,467,2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12352225280,0,0,0,0,0,0,0,0,0,139,0,0,0,5334290,74100,5260190,86582000,3,0,0,0,0,0,0,0,0,0,0,0
5,5,5,false,trade_planning,65535,5,5,6472,2400,120,261,10129,0,18034,312,87,0,5,0,156769410,4320928,37761067,0,37761067,1012454514,0,100350000,889500,74500,815000,59600000,40750000,0,0,0,69547500,0,0,7307860,-7307860,0,4452419700,912104514,912104514,0,636060068,912104514,79814586,0,5006100,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,8192,10151,0,1042,1,0,0,initial_topology_capture,1042,4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12268339200,0,0,0,0,0,0,0,0,0,122,0,0,0,4867824,68100,4799724,79815000,4,0,0,0,0,0,0,0,0,0,0,0
6,6,6,false,trade_planning,65535,6,6,6472,2400,120,261,10129,0,17923,297,104,0,9,3640039,75654209,3543944,38177689,1375,38177689,613196374,7311,2900400,26733,2085,24648,1668000,1232400,0,0,0,59400000,0,0,5707573,-5707573,0,2503050699,610327011,610327011,38348,357578766,610288663,104056400,3373840,1369560,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,0,16933,0,0,2,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11316232192,0,0,0,0,0,0,0,0,0,142,0,0,0,4743400,3780777,962623,104069530,5,0,0,0,0,0,0,0,0,0,0,0
7,7,7,false,trade_planning,65535,7,7,6472,2400,120,261,10129,0,18671,300,100,0,9,3772653,78611599,3667688,39729816,1445,39729816,639019050,7624,2886000,28470,1950,26520,1560000,1326000,0,0,0,60000000,0,0,5990363,-5990363,0,2642217988,636165452,636165452,40026,377459807,636125426,108232560,3494205,1431495,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,4096,16933,0,612,2,0,0,initial_topology_capture,612,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11316232192,0,0,0,0,0,0,0,0,0,148,0,0,0,4925700,3920705,1004995,108246361,6,0,0,0,0,0,0,0,0,0,0,0
8,8,8,false,trade_planning,65535,8,8,6472,2400,120,261,10129,0,20358,292,93,0,14,4050401,86519887,3947977,43561361,1540,43561361,696358642,8104,2798400,28068,1860,26208,1488000,1310400,0,0,0,58400000,0,0,6422845,-6422845,0,2989500345,693594611,693594611,42473,427071574,693552138,116220765,3783196,1499304,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,0,16935,0,0,3,0,0,initial_topology_capture,0,0,0,4578,0,33,20,11,0,0,0,0,16,0,9,0,0,0,11,11,0,0,11316232192,653634958,0,0,0,0,0,0,0,0,165,0,0,0,5282500,4191357,1091143,116235163,7,4,0,0,0,0,0,0,0,0,0,0
9,9,9,false,trade_planning,65535,9,9,6472,2400,120,261,10129,0,19546,310,90,0,19,4164957,81834162,4172268,41533676,1492,41533676,673319841,7914,3001800,28761,2085,26676,1668000,1333800,0,0,0,62000000,0,0,6405182,-6405182,0,2833482347,670351525,670351525,41398,404783280,670310127,116131385,3881511,1608089,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,4096,16935,0,712,3,0,0,initial_topology_capture,712,2018,0,4578,0,33,20,11,0,0,0,0,16,0,9,0,0,0,11,0,0,0,11316232192,0,0,0,0,0,0,0,0,0,165,0,0,0,5489600,4317013,1172587,116145421,8,0,0,0,0,0,0,0,0,0,0,0
10,10,10,false,trade_planning,65535,10,10,6472,2400,120,261,10129,0,18034,312,87,0,13,3575158,75554794,3608280,38276977,1401,38276977,616477901,7435,3059400,27663,2235,25428,1788000,1271400,0,0,0,62400000,0,0,5923343,-5923343,0,2481032681,613449985,613449985,38919,354433327,613411066,106726415,3277346,1728754,ACTIVE,true,1,1931586511863368049,6878440885882118507,SCAN,8192,16935,0,1420,3,0,0,initial_topology_capture,1420,4038,0,4578,0,33,20,11,0,0,0,0,16,0,9,0,0,0,10,0,1,0,11316232192,0,0,0,0,0,0,0,0,0,168,0,0,0,5006100,3733470,1272630,106739687,9,0,0,0,0,0,0,0,0,0,0,0
