epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,construction_ready_days,funded_capacity_q16,owner_working_capital_allocated,investment_score_q16,investment_payback_days,investment_rejection_reason
1,2,2,936,29,15,-44,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12439,62195,62195,16345,,65536,0,0,0,0
1,2,2,936,29,15,-44,0,1,70,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,713505,0,126495,0,0,3567525,0,0,0,4200000,0,22065,65536,0,0,0,0,12439,2985360,2985360,582165,,65536,0,0,0,0
1,2,2,936,29,15,-44,0,2,80,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-54803,65536,0,0,0,0,14647,73235,73235,-73235,,0,3000,0,0,0
1,2,2,936,29,15,-44,0,3,91,2,3,3,3,3,3,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,-484,65536,0,0,0,0,14647,219705,219705,-219705,,0,6000,0,0,0
1,2,2,936,29,15,-44,0,4,107,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18579,92895,92895,-92895,,65536,0,0,0,0
1,2,2,936,29,15,-44,0,5,204,20,1,1,1,1,1,0,1,1,0,65536,65536,65536,0,0,0,0,500,500,0,0,250,0,400000,0,242500,242500,400000,242500,13288,65536,200000,200000,42500,42500,18579,92895,292895,107105,,65536,0,0,0,0
1,2,2,936,29,15,-44,0,6,239,12,12,24,24,24,24,0,0,0,0,32768,65536,0,0,0,0,0,113880,63750,0,50130,21450,0,656400,0,0,0,2334720,0,18754,65536,0,0,0,0,13353,1602360,1602360,-945960,,32768,45000,0,0,0
1,2,2,936,29,15,-44,0,7,243,20,1,1,1,1,1,0,1,1,0,65536,65536,16384,0,0,0,0,5000,5000,0,0,1000,0,250000,0,205000,205000,250000,205000,-16270,65536,200000,200000,5000,5000,18579,92895,292895,-42895,,65536,0,0,0,0
1,2,2,936,29,15,-44,0,8,252,9,3,3,3,3,3,0,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,-25495,65536,0,0,0,0,12439,186585,186585,-186585,,0,150000,0,0,0
2,3,3,936,29,15,-44,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12439,62195,62195,16345,,65536,0,0,0,0
2,3,3,936,29,15,-44,0,1,70,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,713505,0,126495,0,0,3567525,0,0,0,4200000,0,22065,65536,0,0,0,0,12439,2985360,2985360,582165,,65536,0,0,0,0
2,3,3,936,29,15,-44,0,2,80,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-54803,65536,0,0,0,0,14647,73235,73235,-73235,,0,3000,0,0,0
2,3,3,936,29,15,-44,0,3,91,2,3,3,3,3,3,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,-484,65536,0,0,0,0,14647,219705,219705,-219705,,0,6000,0,0,0
2,3,3,936,29,15,-44,0,4,107,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18579,92895,92895,-92895,,65536,0,0,0,0
2,3,3,936,29,15,-44,0,5,204,20,1,1,1,1,1,0,1,1,0,65536,65536,65536,0,0,0,0,500,500,0,0,250,0,400000,0,242500,242500,400000,242500,13288,65536,200000,200000,42500,42500,18579,92895,292895,107105,,65536,0,0,0,0
2,3,3,936,29,15,-44,0,6,239,12,12,24,24,24,24,0,0,0,0,32768,65536,0,0,0,0,0,113880,63750,0,50130,21450,0,656400,0,0,0,2334720,0,18754,65536,0,0,0,0,13353,1602360,1602360,-945960,,32768,45000,0,0,0
2,3,3,936,29,15,-44,0,7,243,20,1,1,1,1,1,0,1,1,0,65536,65536,16384,0,0,0,0,5000,5000,0,0,1000,0,250000,0,205000,205000,250000,205000,-16270,65536,200000,200000,5000,5000,18579,92895,292895,-42895,,65536,0,0,0,0
2,3,3,936,29,15,-44,0,8,252,9,3,3,3,3,3,0,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,-25495,65536,0,0,0,0,12439,186585,186585,-186585,,0,150000,0,0,0
3,4,4,936,29,15,-44,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12466,62330,62330,16210,,65536,0,0,0,0
3,4,4,936,29,15,-44,0,1,70,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,713505,0,126495,0,0,3567525,0,0,0,4200000,0,22065,65536,0,0,0,0,12466,2991840,2991840,575685,,65536,0,0,0,0
