epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,1,1,false,trade_planning,65535,1,1,5460,2400,120,261,9241,0,11865,242,59,0,0,0,122611732,4,25220258,0,25220258,796265931,0,78250000,740000,55000,685000,44000000,34250000,0,0,0,54760000,0,0,4452304,-4452304,0,7244798670,718015931,718015931,0,1034971346,718015931,60203208,1566900,4786050,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,2905,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10611589120,0,0,0,0,0,35,34,35,0,204,0,423,0,22432950,6201922,29778,6172144,60203250,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,false,trade_planning,65535,2,2,5512,2400,120,261,9248,0,12511,240,56,0,0,0,130544123,0,26722664,0,26722664,834418255,0,77250000,757500,52500,705000,42000000,35250000,0,0,0,54367500,0,0,4497137,-4497137,0,7830912788,757168255,757168255,0,1118701936,757168255,56817702,1511665,4262985,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,5941,0,0,1,0,0,initial_topology_capture,0,0,0,6445,0,64,32,4,16,0,16,0,32,0,12,0,0,0,4,4,0,0,10565451776,1148452,0,0,0,0,42,40,42,0,216,0,440,0,25978060,5603618,31824,5571794,56817750,1,1,0,0,0,0,0,0,0,0,0,0
3,3,3,false,trade_planning,65535,3,3,5568,2400,120,261,9253,0,12928,243,59,0,0,0,135228368,2,27608698,0,27608698,861103857,0,78400000,735500,55500,680000,44400000,34000000,0,0,0,54797500,0,0,4557283,-4557283,0,8330906332,782703857,782703857,0,1190129587,782703857,60366407,1741809,4257091,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,9045,0,0,2,0,0,initial_topology_capture,0,0,0,7312,0,96,48,4,32,0,32,0,48,0,12,0,0,0,4,0,0,0,10468982784,0,0,0,0,0,40,36,40,0,228,0,467,0,22883200,5824838,32846,5791992,60366500,2,0,0,0,0,0,0,0,0,0,0,0
4,4,4,false,trade_planning,65535,4,4,5636,2400,120,261,9260,0,12625,250,70,0,0,0,128498283,0,26745507,0,26745507,845118356,0,83650000,765500,60500,705000,48400000,35250000,0,0,0,58247500,0,0,4947975,-4947975,0,7972870595,761468356,761468356,0,1138981621,761468356,68622684,2156523,5118627,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,12136,0,0,3,0,0,initial_topology_capture,0,0,0,7896,0,128,64,4,48,0,48,0,64,0,12,0,0,0,4,0,0,0,10359930880,0,0,0,0,0,41,39,41,0,232,0,467,1,26246820,7120106,32420,7087686,68622750,3,0,0,0,0,0,0,0,0,0,0,0
5,5,5,false,trade_planning,65535,5,5,5711,2400,120,261,9262,0,12320,244,78,0,0,0,125767816,0,26123916,0,26123916,827395805,0,80800000,738500,58500,680000,46800000,34000000,0,0,0,56252500,0,0,4947097,-4947097,0,7736116278,746595805,746595805,0,1105159575,746595805,66630711,1865483,5197167,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,4096,12136,0,500,3,0,0,initial_topology_capture,500,2291,0,7896,0,128,64,4,48,0,48,0,64,0,12,0,0,0,4,0,0,0,10213130240,0,0,0,0,0,37,34,37,0,212,0,428,0,21554520,6915624,30924,6884700,66630750,4,0,0,0,0,0,0,0,0,0,0,0
6,6,6,false,trade_planning,65535,6,6,5681,2400,120,261,9266,0,11912,200,41,0,15,2621975,59482733,0,26282862,1341,26282862,462377965,6671,2349600,22242,1650,20592,1320000,1029600,0,0,0,48400000,0,0,3151960,-3151960,0,4183547516,460057051,460057051,35357,597649739,460021694,82635825,2431867,3933083,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,8192,12136,0,1071,3,0,0,initial_topology_capture,1071,4410,0,7896,0,128,64,4,48,0,48,0,64,0,12,0,0,0,4,0,0,0,9227468800,0,0,0,0,0,24,23,24,0,206,0,428,0,16152810,6352950,3138539,3214411,82506522,5,0,0,0,0,0,0,0,0,0,0,0
7,7,7,false,trade_planning,65535,7,7,5659,2400,120,261,9271,0,12561,194,45,0,10,2478168,62679982,0,27849048,1410,27849048,478721149,7038,2313000,22635,1575,21060,1260000,1053000,0,0,0,48000000,0,0,3237418,-3237418,0,4432614497,476438450,476438450,37339,633230749,476401111,80689254,2127552,3655098,ACTIVE,true,1,2634559519705147703,4515291735879339487,ROUTE,12136,12136,0,8,3,0,0,initial_topology_capture,8,72,0,7896,0,128,64,4,48,0,48,0,64,0,12,0,0,0,4,0,0,0,9294577664,0,0,0,0,0,17,17,17,0,214,0,470,0,12033240,5772646,2942132,2830514,80694215,6,0,0,0,0,0,0,0,0,0,0,0
8,8,8,false,trade_planning,65535,8,8,5629,2400,120,261,9281,0,12985,196,39,0,13,2691071,64740363,0,28806576,1447,28806576,495273168,7293,2361600,22257,1665,20592,1332000,1029600,0,0,0,48600000,0,0,3303526,-3303526,0,4685333526,492942930,492942930,38655,669333469,492904275,84974933,2299007,3709893,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,15140,0,0,4,0,0,initial_topology_capture,0,0,0,11245,0,160,80,16,52,0,52,4,64,0,12,0,0,0,16,12,0,0,9395240960,86658510,0,0,0,0,26,26,26,0,212,0,463,1,18891120,5994892,3151904,2842988,84980001,7,4,0,0,0,0,0,0,0,0,0,0
9,9,9,false,trade_planning,65535,9,9,5595,2400,120,261,9286,0,12672,204,54,0,15,3263758,63348948,0,27879837,1445,27879837,505126793,7183,2458200,21939,1815,20124,1452000,1006200,0,0,0,50000000,0,0,3486904,-3486904,0,4554403182,502699474,502699474,38064,650629132,502661410,92359419,2898484,4384666,ACTIVE,true,1,2634559519705147703,4515291735879339487,ROUTE,15140,15140,0,8,4,0,0,initial_topology_capture,8,72,0,11245,0,160,80,16,52,0,52,4,64,0,12,0,0,0,16,0,0,0,9470738432,0,0,0,0,0,21,18,21,0,204,0,435,0,13262000,7273146,3808820,3464326,92283195,8,0,0,0,0,0,0,0,0,0,0,0
10,10,10,false,trade_planning,65535,10,10,5553,2400,120,261,9300,0,12384,195,49,0,15,3019332,61307381,0,27170504,1410,27170504,486603152,7024,2394600,21567,1755,19812,1404000,990600,0,0,0,48800000,0,0,3438905,-3438905,0,4438548490,484238763,484238763,37235,634078455,484201528,89388499,2618614,4453036,ACTIVE,true,1,2634559519705147703,4515291735879339487,SCAN,0,15140,0,0,5,0,0,initial_topology_capture,0,0,0,16821,0,192,80,16,84,0,84,4,64,0,12,0,0,0,16,0,0,0,9567207424,0,0,0,0,0,33,31,33,0,212,0,451,0,23188130,7060646,3583676,3476970,89393769,9,0,0,0,0,0,0,0,0,0,0,0
