epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,epoch_in_kind_income,cash_expense_coverage_q16,livelihood_coverage_q16,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,2,2,1401,10,23,-33,0,8589975296,9,9,0,52,50785871,3207340,275638,1071200,762580,208190,366462,65535,10,0,52,0,0
1,2,2,1401,10,23,-33,1,8589975297,12,12,0,16,14858805,352720,218274,659200,105902,75577,16805,65535,10,0,16,0,0
1,2,2,1401,10,23,-33,2,8589975298,2,2,0,2,1799929,0,40615,0,0,0,-5076,65535,10,0,2,0,0
1,2,2,1401,10,23,-33,3,4295008003,20,20,0,2,26931944,696444,2592431,0,17605,17605,-236998,65535,10,1,2,0,0
1,2,2,1401,10,23,-33,4,12884942596,22,22,0,1,7302346,295360,660133,0,29322,29322,-45597,65535,-1,0,0,1,0
1,2,2,1401,10,23,-33,5,8589975301,31,31,0,1,7302346,295361,660134,0,29322,29322,-45597,65535,-1,0,0,0,1
2,3,3,1401,10,23,-33,0,8589975296,9,9,0,52,50785871,3207340,275638,1071200,762580,208190,366462,65535,10,0,52,0,0
2,3,3,1401,10,23,-33,1,8589975297,12,12,0,16,14858805,352720,218274,659200,105902,75577,16805,65535,10,0,16,0,0
2,3,3,1401,10,23,-33,2,8589975298,2,2,0,2,1799929,0,40615,0,0,0,-5076,65535,10,0,2,0,0
2,3,3,1401,10,23,-33,3,4295008003,20,20,0,2,26931944,696444,2592431,0,17605,17605,-236998,65535,10,1,2,0,0
2,3,3,1401,10,23,-33,4,12884942596,22,22,0,1,7302346,295360,660133,0,29322,29322,-45597,65535,-1,0,0,1,0
2,3,3,1401,10,23,-33,5,8589975301,31,31,0,1,7302346,295361,660134,0,29322,29322,-45597,65535,-1,0,0,0,1
3,4,4,1401,10,23,-33,0,8589975296,9,9,0,52,50785871,3207340,275638,1071200,762580,208190,366462,65535,10,0,52,0,0
3,4,4,1401,10,23,-33,1,8589975297,12,12,0,16,14858805,352720,218274,659200,105902,75577,16805,65535,10,0,16,0,0
3,4,4,1401,10,23,-33,2,8589975298,2,2,0,2,1799929,0,40615,0,0,0,-5076,65535,10,0,2,0,0
3,4,4,1401,10,23,-33,3,4295008003,20,20,0,2,26931944,696444,2592431,0,17605,17605,-236998,65535,10,1,2,0,0
3,4,4,1401,10,23,-33,4,12884942596,22,22,0,1,7302346,295360,660133,0,29322,29322,-45597,65535,-1,0,0,1,0
3,4,4,1401,10,23,-33,5,8589975301,31,31,0,1,7302346,295361,660134,0,29322,29322,-45597,65535,-1,0,0,0,1
4,5,5,1401,10,23,-33,0,8589975296,9,9,0,52,50785871,3207340,275638,1071200,762580,208190,366462,65535,10,0,52,0,0
4,5,5,1401,10,23,-33,1,8589975297,12,12,0,16,14858805,352720,218274,659200,105902,75577,16805,65535,10,0,16,0,0
4,5,5,1401,10,23,-33,2,8589975298,2,2,0,2,1799929,0,40615,0,0,0,-5076,65535,10,0,2,0,0
4,5,5,1401,10,23,-33,3,4295008003,20,20,0,2,26931944,696444,2592431,0,17605,17605,-236998,65535,10,1,2,0,0
4,5,5,1401,10,23,-33,4,12884942596,22,22,0,1,7302346,295360,660133,0,29322,29322,-45597,65535,-1,0,0,1,0
4,5,5,1401,10,23,-33,5,8589975301,31,31,0,1,7302346,295361,660134,0,29322,29322,-45597,65535,-1,0,0,0,1
5,6,6,1401,10,23,-33,0,8589975296,9,9,0,52,51453890,992777,324758,1008641,200341,98368,220924,65535,10,0,52,0,0
5,6,6,1401,10,23,-33,1,8589975297,12,12,0,16,15005945,392605,245465,743708,104820,75284,24693,65535,10,0,16,0,0
5,6,6,1401,10,23,-33,2,8589975298,2,2,0,2,1862317,108860,46472,5812,153517,143736,5895,65535,10,0,2,0,0
5,6,6,1401,10,23,-33,3,4295008003,20,20,0,2,25909315,730301,1752930,0,27303,27303,-216702,65535,10,1,2,0,0
