epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,3,3,false,trade_planning,65535,3,3,6522,2400,120,261,11119,0,14522,0,554,0,2,0,132052082,0,55801245,0,55801245,804915168,0,87200000,784000,64000,720000,51200000,36000000,0,0,0,60560000,0,0,4594327,-4594327,0,10108261768,717715168,717715168,0,1444037550,717715168,63798000,135000,4521600,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,0,11464,0,0,1,0,0,initial_topology_capture,0,0,0,10134,0,64,16,4,32,32,0,0,0,0,12,0,0,0,4,4,0,0,14533263360,439744,0,0,0,0,30,30,176,176,13,30,0,179,0,586,0,22915560,4538000,39554,4498446,63723969,2,2,0,0,0,0,0,0,0,0,0,0
2,4,4,false,trade_planning,65535,4,4,6525,2400,120,261,11119,0,14216,0,534,0,1,0,130061463,0,54706305,0,54706305,790558542,0,85950000,721500,66500,655000,53200000,32750000,0,0,0,59107500,0,0,4354293,-4354293,0,9752408584,704608542,704608542,0,1393201374,704608542,63128250,127500,4386350,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,4096,11464,0,478,1,0,0,initial_topology_capture,478,2248,0,10134,0,64,16,4,32,32,0,0,0,0,12,0,0,0,4,0,0,0,15527313408,0,0,0,0,0,34,34,165,165,7,34,0,178,0,583,0,25968600,4407850,38336,4369514,62978033,3,0,0,0,0,0,0,0,0,0,0,0
3,5,5,false,trade_planning,65535,5,5,6527,2400,120,261,11119,0,14648,0,534,0,0,0,136003263,0,56484115,0,56484115,818380632,0,84200000,724000,64000,660000,51200000,33000000,0,0,0,58100000,0,0,4396878,-4396878,0,10189846907,734180632,734180632,0,1455692566,734180632,60904000,130000,4078700,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,0,18947,0,0,2,0,0,initial_topology_capture,0,0,0,21798,0,108,20,8,72,64,8,0,0,0,12,0,0,0,7,4,1,0,16525557760,1415183,0,0,0,0,31,31,172,172,8,31,0,186,0,614,0,23739780,4097500,37956,4059544,60827814,4,2,0,0,0,0,0,0,0,0,0,0
4,6,6,false,trade_planning,65535,6,6,6575,2400,120,261,11120,0,15064,0,388,0,13,962553,51690065,4230,58083960,1692,58083960,339811922,8442,2305800,19116,1800,17316,1440000,865800,0,0,0,46200000,0,0,3550871,-3550871,0,5747485872,337542829,337542829,45149,821069553,337497680,74544240,318106,4197594,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,4096,18947,0,550,2,0,0,initial_topology_capture,550,2143,0,21798,0,108,20,8,72,64,8,0,0,0,12,0,0,0,5,0,2,0,15367929856,0,0,0,0,0,71,69,2,0,0,71,0,263,0,659,0,46684190,4478700,1363052,3115648,74551177,5,0,0,0,0,0,0,0,0,0,0,0
5,7,7,false,trade_planning,65535,7,7,6620,2400,120,261,11122,0,14762,0,364,0,16,897814,50733217,4004,56993732,1625,56993732,331144785,8181,2228400,20043,1635,18408,1308000,920400,0,0,0,45400000,0,0,3451712,-3451712,0,5789353968,328951991,328951991,43787,827050708,328908204,72175030,309493,4109557,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,8192,18947,0,1094,2,0,0,initial_topology_capture,1094,4435,0,21798,0,108,20,8,72,64,8,0,0,0,12,0,0,0,5,0,0,0,14185136128,0,0,0,0,0,62,61,8,1,1,62,0,240,0,611,0,40722620,4381050,1268597,3112453,72181418,6,0,0,0,0,0,0,0,0,0,0,0
6,8,8,false,trade_planning,65535,8,8,6683,2400,120,261,11124,0,14673,0,406,17,14,982979,50417609,4555,56432908,1700,56432908,335511227,8588,2331600,20757,1725,19032,1380000,951600,0,0,0,47400000,0,0,3552572,-3552572,0,5849178538,333216918,333216918,45879,835597078,333171039,74635700,335755,4356845,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,12288,18947,0,1653,2,0,0,initial_topology_capture,1653,6579,0,21798,0,108,20,8,72,64,8,0,0,0,12,0,0,0,5,0,0,0,12968787968,0,0,0,0,0,74,73,8,1,0,74,0,273,0,699,0,50083950,4653000,1387104,3265896,74642630,7,0,0,0,0,0,0,0,0,0,0,0
7,9,9,false,trade_planning,65535,9,9,6741,2400,120,261,11126,0,14365,0,378,13,20,923346,49530627,4668,55320322,1616,55320322,326250087,8157,2174400,18513,1665,16848,1332000,842400,0,0,0,43800000,0,0,3381958,-3381958,0,5657893843,324111134,324111134,43604,808270680,324067530,73394220,315347,4229503,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,16384,18947,0,2240,2,0,0,initial_topology_capture,2240,8706,0,21798,0,108,20,8,72,64,8,0,0,0,12,0,0,0,5,0,0,0,11781799936,0,0,0,0,0,65,63,5,1,1,65,0,248,0,633,0,43623040,4512650,1305036,3207614,73400949,8,0,0,0,0,0,0,0,0,0,0,0
8,10,10,false,trade_planning,65535,10,10,6810,2400,120,261,11127,0,14796,0,389,21,18,750727,50986641,3946,57019128,1658,57019128,328914927,8353,2221200,19449,1665,17784,1332000,889200,0,0,0,45000000,0,0,3387689,-3387689,0,5868600044,326730071,326730071,44697,838371580,326685374,71240425,326331,3915369,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,0,18947,0,0,3,0,0,initial_topology_capture,0,0,0,30951,0,172,52,16,94,64,30,0,0,0,16,0,0,0,12,8,1,0,10586423296,9407492,0,0,0,0,61,61,7,0,3,61,0,249,0,635,0,40695470,4205700,1043299,3162401,71247227,9,4,0,0,0,0,0,0,0,0,0,0
9,11,11,false,trade_planning,65535,11,11,6790,2400,120,261,11127,0,15117,0,334,5,6,1066503,32189403,149268,60741413,1507,60741413,410107963,9362,2118000,15810,1770,14040,1416000,702000,0,0,0,41600000,0,0,6003315,-6003315,0,5582220919,408029884,408029884,49283,797460267,407980601,81681696,866587,3575267,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,4096,18947,0,535,3,0,0,initial_topology_capture,535,2186,0,30951,0,172,52,16,94,64,30,0,0,0,16,0,0,0,12,0,0,0,10468982784,0,0,0,0,0,62,56,31,22,2,62,0,225,0,603,0,36853850,4407328,1385002,3022326,81565062,10,0,0,0,0,0,0,0,0,0,0,0
10,12,12,false,trade_planning,65535,12,12,6804,2400,120,261,11127,0,14816,0,351,47,6,955221,31610213,143722,59577205,1450,59577205,399524345,8980,2056200,17049,1605,15444,1284000,772200,0,0,0,41200000,0,0,5867350,-5867350,0,5629680305,397506530,397506530,47365,804240183,397459165,78132886,1063766,3167935,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,8192,18947,0,1090,3,0,0,initial_topology_capture,1090,4347,0,30951,0,172,52,16,94,64,30,0,0,0,16,0,0,0,12,0,0,0,10343153664,0,0,0,0,0,56,44,26,19,3,56,0,228,0,607,2,27970220,4204189,1227913,2976276,77902065,11,0,0,0,0,0,0,0,0,0,0,0
11,13,13,false,trade_planning,65535,13,13,6788,2400,120,261,11127,0,14747,0,342,18,8,1056566,32978501,156937,59229899,1530,59229899,415856385,9502,2136000,17295,1695,15600,1356000,780000,0,0,0,42600000,0,0,6021490,-6021490,0,5688232262,413760937,413760937,50054,812604741,413710883,80601187,757666,3742773,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,12288,18947,0,1640,3,0,0,initial_topology_capture,1640,6514,0,30951,0,172,52,16,94,64,30,0,0,0,16,0,0,0,12,0,0,0,10263461888,0,0,0,0,0,56,42,25,13,4,56,0,211,0,589,2,27254740,4476144,1365655,3110489,80368944,12,0,0,0,0,0,0,0,0,0,0,0
12,14,14,false,trade_planning,65535,14,14,6758,2400,120,261,11127,0,14428,0,312,0,3,951235,31646631,148549,57967935,1450,57967935,399843700,9015,2002200,15519,1635,13884,1308000,694200,0,0,0,39600000,0,0,5817706,-5817706,0,5497381887,397879947,397879947,47462,785340396,397832485,79002133,918657,3440619,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,16384,18947,0,2206,3,0,0,initial_topology_capture,2206,8739,0,30951,0,172,52,16,94,64,30,0,0,0,16,0,0,0,12,0,0,0,10196353024,0,0,0,0,0,62,50,30,21,4,62,0,215,0,585,1,32853310,4331264,1218511,3112753,78780742,13,0,0,0,0,0,0,0,0,0,0,0
13,15,15,false,trade_planning,65535,15,15,6749,2400,120,261,11127,0,14851,0,342,16,8,886248,31085387,151356,59869941,1465,59869941,395191919,9178,2077200,16344,1680,14664,1344000,733200,0,0,0,41200000,0,0,5811519,-5811519,0,5701671545,393153876,393153876,48335,814524639,393105541,77836246,711635,3450754,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,0,18947,0,0,4,0,0,initial_topology_capture,0,0,0,37756,0,236,72,36,122,64,58,0,0,0,16,0,0,0,31,20,1,0,10112466944,86741540,0,0,0,3000,51,44,24,18,6,51,0,229,1,616,5,27689899,4129703,1107362,3022341,77719019,14,3,0,0,0,0,0,0,0,0,0,0
14,16,16,false,trade_planning,65535,16,16,6702,2400,120,261,11127,0,15170,0,266,1,16,1106634,27606304,157321,60955407,1509,60955407,374714032,10542,1756200,13749,1425,12324,1140000,616200,0,0,0,34800000,0,0,5722259,-5722259,0,5489062247,373003670,373003670,56380,784151895,372947290,88922990,1142744,3408147,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,4096,18947,0,567,4,0,0,initial_topology_capture,567,2223,0,37756,0,236,72,36,122,64,58,0,0,0,16,0,0,0,31,0,0,0,10183770112,0,0,0,0,3000,62,44,29,17,4,62,0,230,0,658,2,29919970,4517039,1283377,3233662,88693144,15,0,0,0,0,0,0,0,0,0,0,0
15,17,17,false,trade_planning,65535,17,17,6665,2400,120,261,11127,0,14865,0,291,9,20,1268806,25451650,158764,59892238,1471,59892238,350342541,10300,1777800,15531,1335,14196,1068000,709800,0,0,0,36000000,0,0,5375784,-5375784,0,5516915787,348609549,348609549,55108,788130964,348554441,86004611,1195567,3255756,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,8192,18947,0,1129,4,0,0,initial_topology_capture,1129,4337,0,37756,0,236,72,36,122,64,58,0,0,0,16,0,0,0,27,0,4,0,10280239104,0,0,0,0,1500,51,31,25,13,3,51,0,202,3,612,3,21889420,4415879,1441891,2973988,85571264,16,0,1987,1987,0,0,0,0,1987,0,0,0
16,18,18,false,trade_planning,65535,18,18,6655,2400,120,261,11127,0,14811,0,320,58,16,1046192,28468700,170559,59333607,1570,59333607,378538531,10924,1790400,15108,1380,13728,1104000,686400,0,0,0,36000000,0,0,5762511,-5762511,0,5578908203,376795680,376795680,58473,796987025,376737207,86986959,1139426,3468459,ACTIVE,true,1,2121578414326718179,4833797801162567959,SCAN,16384,18947,0,2276,4,0,0,initial_topology_capture,2276,8519,0,37756,0,236,72,36,122,64,58,0,0,0,16,0,0,0,22,0,5,0,10422845440,0,0,0,0,4500,51,23,30,21,6,51,0,224,0,701,2,16193540,4576760,1200505,3376255,86618592,17,0,3900,3900,0,0,0,0,3900,0,0,0
17,19,19,false,trade_planning,65535,19,19,6664,2400,120,261,11127,0,14475,0,298,54,21,1132857,26601799,156354,58245069,1497,58245069,360493290,10483,1676400,13503,1335,12168,1068000,608400,0,0,0,33400000,0,0,5465910,-5465910,0,5378699791,358862490,358862490,56083,768385819,358806407,87219395,1370948,3208163,ACTIVE,true,1,2121578414326718179,4833797801162567959,ROUTE,18947,18947,0,8,4,0,0,initial_topology_capture,8,96,0,37756,0,236,72,36,122,64,58,0,0,0,16,0,0,0,15,0,7,0,10552868864,0,0,0,0,0,47,28,35,23,7,47,0,212,1,637,2,20047820,4545543,1334778,3210765,86900216,18,0,5900,5900,0,0,0,0,5900,0,0,0
