epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,epoch_in_kind_income,cash_expense_coverage_q16,livelihood_coverage_q16,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,3,3,1323,-8,22,-14,0,8589961472,12,12,0,24,7844644,9137,1039649,213420,575,11639,-128813,65535,5,0,24,0,0
1,3,3,1323,-8,22,-14,1,8589961473,9,9,0,36,21342656,9814526,1784604,741600,360418,273852,1003740,65535,11,0,36,0,0
1,3,3,1323,-8,22,-14,2,8589961474,2,2,0,3,1150239,217766,176921,0,80666,80666,5105,65535,11,0,3,0,0
1,3,3,1323,-8,22,-14,3,4294994179,20,20,0,12,38169262,5916676,11314805,0,34269,34269,-674765,65535,11,1,11,0,1
1,3,3,1323,-8,22,-14,4,8589961476,22,22,0,1,649735,342500,62563,0,358775,358775,34991,65535,11,0,0,0,1
1,3,3,1323,-8,22,-14,5,4294994181,31,31,0,94,33638983,0,1122050,0,0,0,-140256,65535,-1,0,0,0,94
2,4,4,1323,-8,22,-14,0,8589961472,12,12,0,24,7844644,9137,1039649,213420,575,11639,-128813,65535,5,0,24,0,0
2,4,4,1323,-8,22,-14,1,8589961473,9,9,0,36,21342656,9814526,1784604,741600,360418,273852,1003740,65535,11,0,36,0,0
2,4,4,1323,-8,22,-14,2,8589961474,2,2,0,3,1150239,217766,176921,0,80666,80666,5105,65535,11,0,3,0,0
2,4,4,1323,-8,22,-14,3,4294994179,20,20,0,12,38169262,5916676,11314805,0,34269,34269,-674765,65535,11,1,11,0,1
2,4,4,1323,-8,22,-14,4,8589961476,22,22,0,1,649735,342500,62563,0,358775,358775,34991,65535,11,0,0,0,1
2,4,4,1323,-8,22,-14,5,4294994181,31,31,0,94,33638983,0,1122050,0,0,0,-140256,65535,-1,0,0,0,94
3,5,5,1323,-8,22,-14,0,8589961472,12,12,0,24,7844644,9137,1039649,213420,575,11639,-128813,65535,5,0,24,0,0
3,5,5,1323,-8,22,-14,1,8589961473,9,9,0,36,21342656,9814526,1784604,741600,360418,273852,1003740,65535,11,0,36,0,0
3,5,5,1323,-8,22,-14,2,8589961474,2,2,0,3,1150239,217766,176921,0,80666,80666,5105,65535,11,0,3,0,0
3,5,5,1323,-8,22,-14,3,4294994179,20,20,0,12,38169262,5916676,11314805,0,34269,34269,-674765,65535,11,1,11,0,1
3,5,5,1323,-8,22,-14,4,8589961476,22,22,0,1,649735,342500,62563,0,358775,358775,34991,65535,11,0,0,0,1
3,5,5,1323,-8,22,-14,5,4294994181,31,31,0,94,33638983,0,1122050,0,0,0,-140256,65535,-1,0,0,0,94
4,6,6,1323,-8,22,-14,0,8589961472,12,12,0,24,7844644,9137,1039649,213420,575,11639,-128813,65535,5,0,24,0,0
4,6,6,1323,-8,22,-14,1,8589961473,9,9,0,36,21342656,9814526,1784604,741600,360418,273852,1003740,65535,11,0,36,0,0
4,6,6,1323,-8,22,-14,2,8589961474,2,2,0,3,1150239,217766,176921,0,80666,80666,5105,65535,11,0,3,0,0
4,6,6,1323,-8,22,-14,3,4294994179,20,20,0,12,38169262,5916676,11314805,0,34269,34269,-674765,65535,11,1,11,0,1
4,6,6,1323,-8,22,-14,4,8589961476,22,22,0,1,649735,342500,62563,0,358775,358775,34991,65535,11,0,0,0,1
4,6,6,1323,-8,22,-14,5,4294994181,31,31,0,94,33638983,0,1122050,0,0,0,-140256,65535,-1,0,0,0,94
5,7,7,1323,-8,22,-14,0,8589961472,12,12,0,24,7844644,9137,1039649,213420,575,11639,-128813,65535,5,0,24,0,0
5,7,7,1323,-8,22,-14,1,8589961473,9,9,0,36,21342656,9814526,1784604,741600,360418,273852,1003740,65535,11,0,36,0,0
5,7,7,1323,-8,22,-14,2,8589961474,2,2,0,3,1150239,217766,176921,0,80666,80666,5105,65535,11,0,3,0,0
5,7,7,1323,-8,22,-14,3,4294994179,20,20,0,12,38169262,5916676,11314805,0,34269,34269,-674765,65535,11,1,11,0,1
5,7,7,1323,-8,22,-14,4,8589961476,22,22,0,1,649735,342500,62563,0,358775,358775,34991,65535,11,0,0,0,1
5,7,7,1323,-8,22,-14,5,4294994181,31,31,0,94,33638983,0,1122050,0,0,0,-140256,65535,-1,0,0,0,94
6,8,8,1323,-8,22,-14,0,8589961472,12,12,0,24,10638038,3960861,1167467,1239856,222343,141582,300869,65535,5,0,24,0,0
6,8,8,1323,-8,22,-14,1,8589961473,9,9,0,36,23447494,3738687,1633849,718312,149964,124181,639506,65535,5,0,36,0,0
6,8,8,1323,-8,22,-14,2,8589961474,2,2,0,3,1009808,47114,187545,0,16463,16463,-15639,65535,5,0,3,0,0
6,8,8,1323,-8,22,-14,3,4294994179,20,20,0,11,31237377,5209147,8960261,0,38100,38100,-700838,65535,5,1,11,0,0
6,8,8,1323,-8,22,-14,4,12884928772,22,22,0,1,523771,208703,77009,0,177609,177609,15831,65535,5,0,0,0,1
6,8,8,1323,-8,22,-14,5,4294994181,31,31,0,95,35963864,826853,2110308,0,25678,25678,-220360,65535,-1,0,0,0,95
7,9,9,1323,-8,22,-14,0,8589961472,12,12,0,24,10638038,3960861,1167467,1239856,222343,141582,300869,65535,5,0,24,0,0
7,9,9,1323,-8,22,-14,1,8589961473,9,9,0,36,23447494,3738687,1633849,718312,149964,124181,639506,65535,5,0,36,0,0
7,9,9,1323,-8,22,-14,2,8589961474,2,2,0,3,1009808,47114,187545,0,16463,16463,-15639,65535,5,0,3,0,0
7,9,9,1323,-8,22,-14,3,4294994179,20,20,0,11,31237377,5209147,8960261,0,38100,38100,-700838,65535,5,1,11,0,0
7,9,9,1323,-8,22,-14,4,12884928772,22,22,0,1,523771,208703,77009,0,177609,177609,15831,65535,5,0,0,0,1
7,9,9,1323,-8,22,-14,5,4294994181,31,31,0,95,35963864,826853,2110308,0,25678,25678,-220360,65535,-1,0,0,0,95
8,10,10,1323,-8,22,-14,0,8589961472,12,12,0,24,10638038,3960861,1167467,1239856,222343,141582,300869,65535,5,0,24,0,0
8,10,10,1323,-8,22,-14,1,8589961473,9,9,0,36,23447494,3738687,1633849,718312,149964,124181,639506,65535,5,0,36,0,0
8,10,10,1323,-8,22,-14,2,8589961474,2,2,0,3,1009808,47114,187545,0,16463,16463,-15639,65535,5,0,3,0,0
8,10,10,1323,-8,22,-14,3,4294994179,20,20,0,11,31237377,5209147,8960261,0,38100,38100,-700838,65535,5,1,11,0,0
8,10,10,1323,-8,22,-14,4,12884928772,22,22,0,1,523771,208703,77009,0,177609,177609,15831,65535,5,0,0,0,1
8,10,10,1323,-8,22,-14,5,4294994181,31,31,0,95,35963864,826853,2110308,0,25678,25678,-220360,65535,-1,0,0,0,95
9,11,11,1323,-8,22,-14,0,8589961472,12,12,0,24,10638038,3960861,1167467,1239856,222343,141582,300869,65535,5,0,24,0,0
9,11,11,1323,-8,22,-14,1,8589961473,9,9,0,36,23447494,3738687,1633849,718312,149964,124181,639506,65535,5,0,36,0,0
9,11,11,1323,-8,22,-14,2,8589961474,2,2,0,3,1009808,47114,187545,0,16463,16463,-15639,65535,5,0,3,0,0
9,11,11,1323,-8,22,-14,3,4294994179,20,20,0,11,31237377,5209147,8960261,0,38100,38100,-700838,65535,5,1,11,0,0
9,11,11,1323,-8,22,-14,4,12884928772,22,22,0,1,523771,208703,77009,0,177609,177609,15831,65535,5,0,0,0,1
9,11,11,1323,-8,22,-14,5,4294994181,31,31,0,95,35963864,826853,2110308,0,25678,25678,-220360,65535,-1,0,0,0,95
10,12,12,1323,-8,22,-14,0,8589961472,12,12,0,24,10638038,3960861,1167467,1239856,222343,141582,300869,65535,5,0,24,0,0
10,12,12,1323,-8,22,-14,1,8589961473,9,9,0,36,23447494,3738687,1633849,718312,149964,124181,639506,65535,5,0,36,0,0
10,12,12,1323,-8,22,-14,2,8589961474,2,2,0,3,1009808,47114,187545,0,16463,16463,-15639,65535,5,0,3,0,0
10,12,12,1323,-8,22,-14,3,4294994179,20,20,0,11,31237377,5209147,8960261,0,38100,38100,-700838,65535,5,1,11,0,0
10,12,12,1323,-8,22,-14,4,12884928772,22,22,0,1,523771,208703,77009,0,177609,177609,15831,65535,5,0,0,0,1
10,12,12,1323,-8,22,-14,5,4294994181,31,31,0,95,35963864,826853,2110308,0,25678,25678,-220360,65535,-1,0,0,0,95
11,13,13,1323,-8,22,-14,0,8589961472,12,12,0,24,9554942,41857,1124953,1167277,2438,34569,-22561,65535,5,0,24,0,0
