epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures
1,3,3,false,trade_planning,65535,3,3,4200,2400,120,261,7820,0,197539,0,480836,267,123,350486324,4777820708,615855,632106393,757,632106393,37168525422,1924,25600000,332000,12000,320000,9600000,16000000,0,0,0,12670000,0,199500,28451615,-28252115,0,97404580954,37142933913,37142933913,10415,13914940217,37142923498,4610340125,53639674,634231876,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,7078,0,0,1,0,0,initial_topology_capture,0,0,0,3535,0,48,32,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,327378010112,6433795,0,0,0,46750,34,34,13,10,19,34,0,234,0,287,0,30071296,687044672,434524408,252520264,4610340125,2,2,0,0,0,0,0,0,0,0,0,0,25412891660,0,0,0,0,0,0,0,0,0,0,0,631,1351,5,0,22,0
2,4,4,false,trade_planning,65535,4,4,4197,2400,120,261,7820,0,221988,0,548326,290,134,397434113,5368563941,616879,703771528,822,703771528,41621335451,2086,14600000,112000,12000,100000,9600000,5000000,0,0,0,6785000,0,223125,23999146,-23776021,0,109093106123,41606744680,41606744680,11315,15584729525,41606733365,5234104250,52797453,727576897,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,7078,0,676,1,0,0,initial_topology_capture,676,2372,0,3535,0,48,32,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,453618171904,0,0,0,0,52250,33,33,15,9,19,33,0,242,0,287,0,26291771,779925250,492944445,286980805,5234104250,3,0,0,0,0,0,0,0,0,0,0,0,28400946858,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0
3,5,5,false,trade_planning,65535,5,5,4192,2400,120,261,7821,0,203296,0,502480,259,129,364099814,4928222056,592159,646344275,781,646344275,38243207331,1950,32200000,434000,14000,420000,11200000,21000000,0,0,0,16030000,0,194250,25183694,-24989444,0,99939182962,38211015976,38211015976,10595,14277026217,38211005381,4793848500,49732315,665286735,ACTIVE,true,1,6240996509031603467,9029272644701376523,ROUTE,7078,7078,0,21,1,0,0,initial_topology_capture,21,72,0,3535,0,48,32,10,0,0,0,0,0,0,0,0,0,0,7,0,3,0,569951387648,0,0,0,0,46500,32,32,11,6,15,32,0,242,0,266,0,25372573,714524098,451607359,262916739,4793848500,4,0,0,0,0,0,0,0,0,0,0,0,26001402659,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0
4,6,6,false,trade_planning,65535,6,6,4195,2400,120,261,7821,0,185500,0,442138,229,188,73572689,1913665875,0,597087863,1184,597087863,13065889788,4820,847200,10434,434,10000,347200,500000,0,0,0,6000000,0,202817,18068803,-17865986,0,73098752933,13065063831,13065063831,26063,10442679078,13065037768,842954515,70164487,3918967,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11842,0,0,2,0,0,initial_topology_capture,0,0,0,8583,0,120,68,20,0,0,0,0,0,0,0,0,0,0,13,10,4,0,569351602176,6487533,0,0,0,4500,18,18,31,22,6,18,0,352,0,280,0,10118541,108944224,108568372,375852,408575503,5,5,0,0,0,0,0,0,0,0,0,0,20989723772,0,0,0,0,0,0,0,0,0,0,0,1180,18,9,0,26,0
5,7,7,false,trade_planning,65535,7,7,4199,2400,120,261,7822,0,194108,0,471711,238,194,78033274,2015064576,0,625116055,1119,625116055,13688786380,4600,1004450,15904,279,15625,223200,781250,0,0,0,6800000,0,200616,18074375,-17873759,0,76187249571,13687802175,13687802175,24845,10883892875,13687777330,890358944,74364272,4159470,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,11842,0,674,2,0,0,initial_topology_capture,674,2373,0,8583,0,120,68,20,0,0,0,0,0,0,0,0,0,0,9,0,4,0,568793759744,0,0,0,0,8000,25,25,25,16,11,25,0,324,0,269,0,14393897,115509301,115140943,368358,429528261,6,0,0,0,0,0,0,0,0,0,0,0,21867328987,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0
6,8,8,false,trade_planning,65535,8,8,4200,2400,120,261,7823,0,197547,0,480865,238,201,79476685,2051317082,0,635639860,1187,635639860,13925798970,4745,797600,10372,372,10000,297600,500000,0,0,0,5600000,0,213652,19417577,-19203925,0,77675737266,13925022287,13925022287,25662,11096533990,13924996625,909382155,75780782,4242485,ACTIVE,true,1,6240996509031603467,9029272644701376523,ROUTE,11842,11842,0,22,2,0,0,initial_topology_capture,22,72,0,8583,0,120,68,20,0,0,0,0,0,0,0,0,0,0,8,0,1,0,568177197056,0,0,0,0,10750,36,36,33,21,2,36,0,367,0,289,0,20503459,117692623,117293619,399004,439675884,7,0,0,0,0,0,0,0,0,0,0,0,22302210715,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0
7,9,9,false,trade_planning,65535,9,9,4206,2400,120,261,7824,0,221996,0,548355,263,226,90139873,2301114348,0,706714078,1286,706714078,15510567576,5236,453850,3497,372,3125,297600,156250,0,0,0,3400000,0,247260,16991674,-16744414,0,86982909958,15510136749,15510136749,28259,12426130081,15510108490,1032811216,85968652,4800325,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11307,0,0,3,0,0,initial_topology_capture,0,0,0,12590,0,188,108,31,0,0,0,0,0,0,0,0,0,0,19,11,0,0,567510302720,7944399,0,0,0,12250,42,41,29,21,4,42,0,420,1,315,1,23076573,133530927,133044813,486114,499239918,8,8,0,0,0,0,0,0,0,0,0,0,24966873170,0,0,0,0,0,0,0,0,0,0,0,1715,11,17,0,29,0
8,10,10,false,trade_planning,65535,10,10,4208,2400,120,261,7824,0,203305,0,502511,244,204,82642798,2117378550,0,650274174,1221,650274174,14317763740,5037,1003450,13559,434,13125,347200,656250,0,0,0,7000000,0,207199,17911568,-17704369,0,79613293102,14316782473,14316782473,27220,11373327671,14316755253,944593386,78763589,4415204,ACTIVE,true,1,6240996509031603467,9029272644701376523,ROUTE,11307,11307,0,21,3,0,0,initial_topology_capture,21,72,0,12590,0,188,108,31,0,0,0,0,0,0,0,0,0,0,13,0,6,0,566881157120,0,0,0,0,7750,31,31,26,18,5,31,0,401,0,317,0,17491991,122359188,121952182,407006,455813668,9,0,0,0,0,0,0,0,0,0,0,0,22854426974,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0
9,11,11,false,trade_planning,65535,11,11,4208,2400,120,261,7824,0,185502,0,442184,238,190,139989295,1338752639,223007,597255710,1056,597255710,11649399208,5339,847200,10434,434,10000,347200,500000,0,0,0,6000000,0,273362,12739937,-12466575,0,72443906687,11648575529,11648575529,28860,10349129620,11648546669,1924226091,137577326,2943209,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11422,0,0,4,0,0,initial_topology_capture,0,0,0,18209,0,247,144,39,0,0,0,0,0,0,0,0,0,0,15,8,6,0,566881157120,7239234,0,0,0,8000,32,32,8,6,17,32,0,381,0,313,0,18811449,209067290,208686826,380464,702723759,10,9,0,0,0,0,0,0,0,0,0,0,20698141434,0,0,0,0,0,0,0,0,0,0,0,1041,1,29,0,28,0
10,12,12,false,trade_planning,65535,12,12,4210,2400,120,261,7824,0,194121,0,471804,317,211,147167765,1408177017,217137,625281087,982,625281087,12170161460,4906,1004450,15904,279,15625,223200,781250,0,0,0,6800000,0,280678,12687353,-12406675,0,75507646675,12169178645,12169178645,26541,10786806750,12169152104,2018198878,144566182,3121640,ACTIVE,true,1,6240996509031603467,9029272644701376523,ROUTE,11422,11422,0,26,4,0,0,initial_topology_capture,26,69,0,18209,0,247,144,39,0,0,0,0,0,0,0,0,0,0,12,0,3,0,566818242560,0,0,0,0,8250,33,33,8,5,11,33,0,348,0,283,0,19322294,219756480,219374200,382280,736313504,11,0,0,0,0,0,0,0,0,0,0,0,21573621368,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0
