epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures
1,7,7,false,trade_planning,65535,7,7,4772,2400,120,261,8922,0,192304,0,474934,245,203,78203676,1990740975,0,608530835,1396,608530835,13457340854,5718,37000000,515000,15000,500000,12000000,25000000,0,0,0,18512500,0,262768,15142834,-14880066,0,75471898644,13420366025,13420366025,30889,10781699905,13420335136,902658681,74634143,4209160,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,8192,12182,0,1522,2,0,0,initial_topology_capture,1522,5068,0,8632,0,120,60,22,0,0,0,0,0,0,0,0,0,0,7,0,9,0,610212511744,0,0,0,0,13500,38,35,40,31,19,38,0,414,1,495,5,20263694,115920766,115431202,489564,439104775,6,0,0,0,0,0,0,0,0,0,0,0,21679685258,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0
2,8,8,false,trade_planning,65535,8,8,4772,2400,120,261,8923,0,259585,0,634558,311,269,104732457,2699711459,0,836338581,1477,836338581,18321901116,5927,27200000,334000,14000,320000,11200000,16000000,0,0,0,13355000,0,282980,22667678,-22384698,0,101854414678,18294727165,18294727165,31976,14550630766,18294695189,1196816934,99916942,5541453,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,0,12776,0,0,3,0,0,initial_topology_capture,0,0,0,13325,0,184,92,28,0,0,0,0,0,0,0,0,0,0,10,6,3,0,609541423104,3727160,0,0,0,16750,46,40,44,30,24,46,0,416,0,545,3,23380278,155159965,154580823,579142,577204011,7,7,0,0,0,0,0,0,0,0,0,0,29228071041,0,0,0,0,0,0,0,0,0,0,0,1225,10,18,0,26,0
3,9,9,false,trade_planning,65535,9,9,4777,2400,120,261,8924,0,235627,0,566755,284,238,94098378,2440036070,0,760801789,1504,760801789,16628373337,6084,14200000,224000,4000,220000,3200000,11000000,0,0,0,7255000,0,282410,21756585,-21474175,0,92733405228,16614200272,16614200272,33019,13247629419,16614167253,1078117612,89739553,5044593,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,4096,12776,0,792,3,0,0,initial_topology_capture,792,2438,0,13325,0,184,92,28,0,0,0,0,0,0,0,0,0,0,5,0,5,0,608849362944,0,0,0,0,16250,39,38,55,32,25,39,0,391,3,525,3,23724872,139394855,138861313,533542,522243278,8,0,0,0,0,0,0,0,0,0,0,0,26626681335,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0
4,10,10,false,trade_planning,65535,10,10,4777,2400,120,261,8924,0,205777,0,516980,261,220,84773962,2155502680,0,656636378,1310,656636378,14542853385,5289,22400000,253000,13000,240000,10400000,12000000,0,0,0,10872500,0,259876,15381144,-15121268,0,80303491812,14520476675,14520476675,28579,11471927488,14520448096,970256127,80807717,4542717,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,8192,12776,0,1622,3,0,0,initial_topology_capture,1622,4856,0,13325,0,184,92,28,0,0,0,0,0,0,0,0,0,0,3,0,2,0,608241188864,0,0,0,0,9750,29,27,43,29,20,29,0,346,1,421,2,16568242,125535332,125089552,445780,468408355,9,0,0,0,0,0,0,0,0,0,0,0,23059420684,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0
5,11,11,false,trade_planning,65535,11,11,4777,2400,120,261,8924,0,185735,0,458074,248,195,141082360,1350062872,228787,591734927,1183,591734927,11610796832,5839,19600000,287000,7000,280000,5600000,14000000,0,0,0,9887500,0,371837,10516227,-10144390,0,72154402720,11591222513,11591222513,31520,10307771896,11591190993,2014927479,138707575,2996432,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,12288,12776,0,2407,3,0,0,initial_topology_capture,2407,7273,0,13325,0,184,92,28,0,0,0,0,0,0,0,0,0,0,2,0,1,0,608228605952,0,0,0,0,12750,34,29,32,22,13,34,0,333,0,436,4,16931444,210774847,210330737,444110,712665814,10,0,0,0,0,0,0,0,0,0,0,0,20617456033,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0
6,12,12,false,trade_planning,65535,12,12,4783,2400,120,261,8925,0,192331,0,475035,327,199,145989143,1395146631,248159,608796210,1219,608796210,11998763007,6239,37000000,515000,15000,500000,12000000,25000000,0,0,0,18512500,0,372387,10626045,-10253658,0,74826937093,11961790321,11961790321,33553,10689562535,11961756768,2120101121,143546230,3072590,ACTIVE,true,1,989102974135111599,7597527914474777647,ROUTE,12776,12776,0,22,3,0,0,initial_topology_capture,22,72,0,13325,0,184,92,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,608174080000,0,0,0,0,9000,25,23,24,14,19,25,0,384,1,463,3,13650481,218162232,217665232,497000,739579208,11,0,0,0,0,0,0,0,0,0,0,0,21380294892,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0
7,13,13,false,trade_planning,65535,13,13,4786,2400,120,261,8925,0,259620,0,634669,424,278,196691772,1882699329,266454,836637526,1285,836637526,16220629614,6375,27200000,334000,14000,320000,11200000,16000000,0,0,0,13355000,0,408318,15950497,-15542179,0,101013505701,16193457723,16193457723,34484,14430500914,16193423239,2718349677,193474468,3964578,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,0,12420,0,0,4,0,0,initial_topology_capture,0,0,0,20134,0,260,123,36,21,18,3,0,0,0,0,0,0,0,9,8,1,0,608148914176,7176844,0,0,0,10000,30,25,27,19,27,30,0,360,0,486,8,14935141,293898205,293313193,585012,985924420,12,12,0,0,0,0,0,0,0,0,0,0,28859405296,0,0,0,0,0,0,0,0,0,0,0,1581,0,26,0,23,0
8,14,14,false,trade_planning,65535,14,14,4783,2400,120,261,8925,0,235654,0,566755,275,248,177957350,1701744249,275108,761047602,1337,761047602,14738125195,6489,14200000,224000,4000,220000,3200000,11000000,0,0,0,7255000,0,388543,15123548,-14735005,0,91935353804,14723953889,14723953889,35183,13133622071,14723918706,2450500169,175045981,3646135,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,4096,12420,0,927,4,0,0,initial_topology_capture,927,2455,0,20134,0,260,123,36,21,18,3,0,0,0,0,0,0,0,8,0,1,0,608123748352,0,0,0,0,14750,36,30,34,19,24,36,0,395,1,533,9,18378158,265899487,265351600,547887,894542855,13,0,0,0,0,0,0,0,0,0,0,0,26265714268,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0
9,15,15,false,trade_planning,65535,15,15,4784,2400,120,261,8927,0,205797,0,516995,259,224,157110571,1504258664,231986,656810452,1167,656810452,12856506871,5743,22400000,253000,13000,240000,10400000,12000000,0,0,0,10872500,0,345796,10712572,-10366776,0,79544921568,12834132158,12834132158,31030,11363560313,12834101128,2214132013,154436227,3330613,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,8192,12420,0,1864,4,0,0,initial_topology_capture,1864,4918,0,20134,0,260,123,36,21,18,3,0,0,0,0,0,0,0,6,0,2,0,608090193920,0,0,0,0,13250,36,31,26,18,20,36,0,373,1,482,7,18626411,234659660,234201477,458183,787240595,14,0,0,0,0,0,0,0,0,0,0,0,22726940424,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0
10,16,16,false,trade_planning,65535,16,16,4716,2400,120,261,8928,0,165046,0,478767,274,270,81638470,909571120,924333,575614786,913,575614786,7114254512,4937,19600000,287000,7000,280000,5600000,14000000,0,0,0,9887500,0,462092,7893647,-7431555,275,73028460829,7094675624,7094675624,26049,10432637352,7094649575,1459021371,81792365,314486,ACTIVE,true,1,989102974135111599,7597527914474777647,SCAN,0,11865,0,0,5,0,0,initial_topology_capture,0,0,0,28195,0,368,179,50,31,21,10,0,0,0,0,0,0,0,20,14,0,0,608081805312,20245638,0,0,0,15750,37,34,23,15,17,37,0,287,0,435,6,22375566,122893819,122411123,482696,406552533,15,15,0,0,0,0,0,0,0,0,0,0,20865620932,0,0,0,0,0,0,0,0,0,0,0,1057,9,38,0,42,0
