epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16
1,3,3,false,trade_planning,65535,3,3,4971,2400,120,261,9229,0,242041,0,572962,320,143,422080713,5816930976,777207,780843636,1444,780843636,43177198514,6079,29600000,337000,17000,320000,13600000,16000000,0,0,0,14382500,0,270375,36532019,-36261644,0,119597833705,43147623295,43147623295,30860,17085404908,43147592435,5545772875,76944882,750164568,ACTIVE,true,1,7176039402626345605,7576084805226121795,ROUTE,5214,5214,0,19,1,0,0,initial_topology_capture,19,72,0,7700,0,48,32,10,0,0,0,0,16,0,0,0,0,0,9,0,1,0,382667325440,0,0,0,0,66750,49,48,35,24,26,49,0,226,0,463,0,40308658,826133922,522933947,303199975,5545772875,2,0,0,0,0,0,0,0,0,0,0,0,31283394883,0,0,0,0,0,0,0,0,0,0,0,0,1578,0,0,0,0,547181227146,86793254684,82453322081,629634549227,2277049520,0,7488,43147592435,831102,62259
2,4,4,false,trade_planning,65535,4,4,4961,2400,120,261,9229,0,234584,0,594300,318,152,427192606,5728739234,790932,743920860,1418,743920860,42104540917,6086,25400000,238000,18000,220000,14400000,11000000,0,0,0,12050000,0,249375,23040494,-22791119,0,115218068034,42079165692,42079165692,30861,16459724093,42079134831,5638244125,48781984,791934216,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,10506,0,0,2,0,0,initial_topology_capture,0,0,0,12837,0,112,64,23,0,0,0,0,16,0,0,0,0,0,22,13,0,0,515341549568,15409341,0,0,0,68000,44,42,40,28,29,44,0,230,0,467,1,33626620,840117868,530241679,309876189,5638244125,3,3,0,0,0,0,0,0,0,0,0,0,30007570712,0,0,0,0,0,0,0,0,0,0,0,671,1623,9,0,19,0,534547863652,109817370453,104326162130,638874025782,2220722168,70551,0,42079205382,832528,62259
3,5,5,false,trade_planning,65535,5,5,4954,2400,120,261,9229,0,218612,0,542866,293,135,393073010,5299249749,694769,693616372,1349,693616372,39038386382,5727,30600000,432000,12000,420000,9600000,21000000,0,0,0,15345000,0,267750,23041058,-22773308,0,107559110469,39007809689,39007809689,29034,15365587296,39007780655,5183345750,50598468,721989382,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,4096,10506,0,747,2,0,0,initial_topology_capture,747,2434,0,12837,0,112,64,23,0,0,0,0,16,0,0,0,0,0,19,0,3,0,637404184576,0,0,0,0,58500,43,41,32,21,19,43,0,191,0,419,4,32388007,771841150,487607257,284233893,5183345750,4,0,0,0,0,0,0,0,0,0,0,0,28052726203,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,0,522794302102,131163517377,124604936927,647399239029,2058619600,0,17450,39007780655,878333,62259
4,6,6,false,trade_planning,65535,6,6,4951,2400,120,261,9229,0,210372,0,518020,275,218,85341238,2183348033,4,669753753,1519,669753753,14115975011,5951,36000000,420000,20000,400000,16000000,20000000,0,0,0,17550000,0,285173,17324455,-17039282,0,84277251675,14079999763,14079999763,30703,12039607479,14079969060,982785756,81430230,4539879,ACTIVE,true,1,7176039402626345605,7576084805226121795,ROUTE,10506,10506,0,20,2,0,0,initial_topology_capture,20,72,0,12837,0,112,64,23,0,0,0,0,16,0,0,0,0,0,15,0,4,0,636741484544,0,0,0,0,10250,37,35,47,29,8,37,0,415,2,479,3,19825112,126451369,125966255,485114,477663133,5,0,0,0,0,0,0,0,0,0,0,0,24201588453,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,522135898638,128180703105,121771272492,643907171130,742368199,0,32324,14079969060,2430310,62259
5,7,7,false,trade_planning,65535,7,7,4953,2400,120,261,9229,0,230815,0,562161,295,240,92991721,2397193370,0,741015825,1554,741015825,15572695998,5913,34600000,437000,17000,420000,13600000,21000000,0,0,0,17057500,0,286280,21155772,-20869492,0,92491780578,15538120662,15538120662,30577,13213111614,15538090085,1065007110,88673625,4943795,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,13349,0,0,3,0,0,initial_topology_capture,0,0,0,16333,0,176,96,34,0,0,0,0,32,0,0,0,0,0,23,11,3,0,636087173120,14364962,0,0,0,12500,35,31,43,30,3,35,0,418,1,488,5,18054742,137691938,137226126,465812,515465925,6,6,0,0,0,0,0,0,0,0,0,0,26552111587,0,0,0,0,0,0,0,0,0,0,0,1304,17,12,0,21,0,521414506272,124900992575,118655557495,640070063767,819231880,63549,18048,15538153634,2199194,62259
6,8,8,false,trade_planning,65535,8,8,4956,2400,120,261,9232,0,242065,0,572988,292,242,95626243,2501783687,4,785481794,1606,785481794,16378748407,6135,29600000,337000,17000,320000,13600000,16000000,0,0,0,14382500,0,314310,25201797,-24887487,0,97467162955,16349174040,16349174040,31768,13923880520,16349142272,1094608739,91168623,5102319,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,4096,13349,0,766,3,0,0,initial_topology_capture,766,2397,0,16333,0,176,96,34,0,0,0,0,32,0,0,0,0,0,19,0,4,0,635420278784,0,0,0,0,19000,43,38,45,27,3,43,0,456,0,551,3,22970110,141574098,141099960,474138,530507395,7,0,0,0,0,0,0,0,0,0,0,0,27981290975,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,520686283320,121467745392,115393983137,636080266457,861886172,0,28664,16349142272,2087185,62259
7,9,9,false,trade_planning,65535,9,9,4961,2400,120,261,9234,0,234608,0,594320,300,256,97182974,2462749023,2,748433358,1607,748433358,15829018869,6291,25400000,238000,18000,220000,14400000,11000000,0,0,0,12050000,0,299670,17386156,-17086486,0,93517588532,15803645084,15803645084,32506,13359655607,15803612578,1112963161,92622649,5184205,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,12288,13349,0,2316,3,0,0,initial_topology_capture,2316,7223,0,16333,0,176,96,34,0,0,0,0,32,0,0,0,0,0,16,0,3,0,634736607232,0,0,0,0,15000,42,40,53,30,3,42,0,502,1,578,8,22901741,143890250,143403026,487224,537441480,8,0,0,0,0,0,0,0,0,0,0,0,26849247479,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,519943057726,118120896064,112214486490,632157544216,833334338,0,21111,15803612578,2156151,62259
8,10,10,false,trade_planning,65535,10,10,4965,2400,120,261,9234,0,218625,0,542880,259,232,89281692,2277346352,0,697730396,1501,697730396,14699766022,5606,30600000,432000,12000,420000,9600000,21000000,0,0,0,15345000,0,313249,17081971,-16768722,0,87460532050,14669189523,14669189523,29107,12494361821,14669160416,1025583465,85122841,4788017,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,12985,0,0,4,0,0,initial_topology_capture,0,0,0,26578,0,272,144,43,0,0,0,0,32,0,0,0,0,0,20,9,5,0,634073907200,12032996,0,0,0,12750,47,46,44,31,10,47,0,488,1,543,4,25930715,132241771,131759423,482348,497224645,9,8,0,0,0,0,0,0,0,0,0,0,25114331448,0,0,0,0,0,0,0,0,0,0,0,1668,9,17,0,39,0,519258473280,115008462414,109257683982,628516157262,773426658,61390,26971,14669221806,2319831,62259
9,11,11,false,trade_planning,65535,11,11,4969,2400,120,261,9234,0,210397,0,518058,280,217,159039246,1525696923,264149,669897500,1265,669897500,12530989292,6313,36000000,420000,20000,400000,16000000,20000000,0,0,0,17550000,0,387183,12299208,-11912025,0,84132496732,12495015565,12495015565,32586,12018928198,12494982979,2311732912,156299091,3374177,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,4096,12985,0,872,4,0,0,initial_topology_capture,872,2468,0,26578,0,272,144,43,0,0,0,0,32,0,0,0,0,0,19,0,1,0,634031964160,0,0,0,0,8750,31,31,18,16,9,31,0,404,0,507,3,18316712,237600795,237102379,498416,804955262,10,0,0,0,0,0,0,0,0,0,0,0,24036981532,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,521007639734,110800891258,105260504275,626268144009,658508018,0,2306,12494982979,2732677,62259
10,12,12,false,trade_planning,65535,12,12,4968,2400,120,261,9234,0,230826,0,562310,396,236,174308114,1670619238,267571,741148775,1322,741148775,13775746793,6687,34600000,437000,17000,420000,13600000,21000000,0,0,0,17057500,0,392860,14685830,-14292970,0,92300615979,13741174585,13741174585,34479,13185802375,13741140106,2452066670,171390584,3576952,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,8192,12985,0,1731,4,0,0,initial_topology_capture,1731,4940,0,26578,0,272,144,43,0,0,0,0,32,0,0,0,0,0,16,0,3,0,633985826816,0,0,0,0,11500,40,37,19,12,8,40,0,430,0,525,6,21677791,260378547,259896381,482166,875868524,11,0,0,0,0,0,0,0,0,0,0,0,26371783097,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,522910997485,106148395051,100840647128,623751644613,724193265,0,7487,13741140106,2493933,62259
