epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16,building_investment_buildings_started,building_investment_portfolios_started,building_investment_types_started,building_investment_owner_population_moved,building_investment_max_type_owner_share_q16,building_investment_demand_limited,building_investment_material_limited,building_investment_capital_limited,building_investment_owner_population_limited,recovery_partially_liquidated_buildings,recovery_fully_liquidated_groups
1,6,6,false,trade_planning,65535,6,6,4553,2400,120,261,9350,0,632677,0,49759,214,196,269342661,6516694739,1090,2168270183,1338,2168270183,58870699787,3280,9440000000,131800000,3800000,128000000,3040000000,6400000000,0,0,0,4726305058,0,60901916,75657646,-14755730,0,252679257998,49430714014,49430714014,17507,36097036962,49430696507,5125395535,264535700,22302478,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,8192,9663,0,1563,2,0,0,initial_topology_capture,1563,4996,0,22617,0,140,102,19,0,0,0,0,43,0,0,0,0,0,13,0,3,0,121253134336,0,0,0,0,1491500,202,188,88,67,17,196,0,507,1,0,0,284123840,400946881,387874525,13072356,3293615578,5,0,0,0,0,0,0,0,0,0,0,0,94946062863,0,0,0,0,0,0,0,0,0,0,0,0,6,375,0,0,0,1446746761206,419609652748,398627885642,1845374646848,2605258919,0,17605,49430696507,1918119,62259,529,81,196,596,65536,32,6,14,3,0,0
2,7,7,false,trade_planning,65535,7,7,4577,2400,120,261,9454,0,506052,0,38484,165,150,214460069,5247995736,486,1739816218,1201,1739816218,46217904493,2983,6528299900,104000998,1771000,102229998,1416800000,5111499900,0,0,0,3341623631,0,49132187,61473635,-12341448,0,205211980071,39689617486,39689617486,15876,29315997253,39689601610,4085916934,210455796,17864949,ACTIVE,true,1,9019343983884584987,7579129114435938123,ROUTE,9663,9663,0,18,2,0,0,initial_topology_capture,18,87,0,22617,0,140,102,19,0,0,0,0,43,0,0,0,0,0,8,0,5,0,121915834368,0,0,0,0,1262500,173,153,81,62,6,163,0,551,0,0,0,219732234,319419849,308903509,10516340,2597147448,6,0,0,0,0,0,0,0,0,0,0,0,75404683002,0,0,0,0,0,0,0,0,0,0,0,0,1,367,0,0,0,1369582312112,511775986227,486185621049,1855767933161,2091869207,0,33364,39689601610,2261472,62259,412,75,163,464,65536,33,0,32,2,0,0
3,8,8,false,trade_planning,65535,8,8,4601,2400,120,261,9562,0,459034,0,29624,154,127,195900387,4788429377,247,1594781419,1092,1594781419,39436720925,2736,3267499650,46824993,1235000,45589993,988000000,2279499650,0,0,0,1642721676,0,39659704,49225991,-9566287,0,168419975251,36169232989,36169232989,14450,24059996552,36169218539,3612592871,190700427,16375896,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,0,13931,0,0,3,0,0,initial_topology_capture,0,0,0,31015,4,228,158,23,0,0,0,0,44,0,0,0,0,0,11,4,1,0,122226212864,2715025,0,0,0,983750,159,148,80,56,27,153,0,536,0,0,0,195092539,290023586,281181874,8841712,2280426585,7,7,0,0,0,0,0,0,0,0,0,0,67133593610,0,0,0,0,0,0,0,0,0,0,0,630,5,328,0,52,0,1282400975973,583756246165,554566648237,1836967624210,1906355258,29254,63,36169247793,2323615,62259,364,73,153,411,65536,31,3,16,3,0,0
4,9,9,false,trade_planning,65535,9,9,4648,2400,120,261,9687,0,452813,0,30503,147,127,191670114,4696352486,434,1560854869,1122,1560854869,39877855645,2827,4200000000,39000000,3000000,36000000,2400000000,1800000000,0,0,0,1991302008,0,45106781,48549834,-3443053,0,175365775730,35677867717,35677867717,14899,25052253777,35677852818,3652433881,187149284,15971625,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,4096,13931,0,683,3,0,0,initial_topology_capture,683,2146,0,31015,4,228,158,23,0,0,0,0,44,0,0,0,0,0,10,0,1,0,122196852736,0,0,0,0,1574500,210,187,104,73,25,201,0,426,0,0,0,279551302,285284462,276161392,9123070,2255783273,8,0,0,0,0,0,0,0,0,0,0,0,67345548776,0,0,0,0,0,0,0,0,0,0,0,0,12,347,0,0,0,1203336067051,660115217591,627107437941,1830443504992,1880465076,0,63,35677852818,2210386,62259,548,79,201,594,65536,59,3,22,2,0,0
5,10,10,false,trade_planning,65535,10,10,4673,2400,120,261,9786,0,556028,0,33477,186,174,237026270,5745371463,663,1928678304,1221,1928678304,46642817223,3009,2769000000,37305000,1205000,36100000,964000000,1805000000,0,0,0,1378788966,0,53921854,57789665,-3867811,0,222887208817,43873830233,43873830233,16019,31841029937,43873814214,4430863887,230435713,19577632,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,8192,13931,0,1493,3,0,0,initial_topology_capture,1493,4231,0,31015,4,228,158,23,0,0,0,0,44,0,0,0,0,0,8,0,2,0,123664859136,0,0,0,0,1345000,160,144,79,55,18,152,0,590,0,0,0,248540053,351446486,341203860,10242626,2729304578,9,0,0,0,0,0,0,0,0,0,0,0,82528206713,0,0,0,0,0,0,0,0,0,0,0,0,4,330,0,0,0,1114158530565,720219983667,684206782168,1798365312733,2312404149,0,7082,43873814214,1664261,62259,478,72,152,526,65536,26,9,19,0,0,0
6,11,11,false,trade_planning,65535,11,11,4706,2400,120,261,9857,0,633140,0,49274,220,242,438684415,3565251743,379138624,2169323943,47964116,2169323943,132086280748,1187247770,9440000000,131800000,3800000,128000000,3040000000,6400000000,0,0,0,4732905058,0,51616768,67013330,-15396562,0,223870013587,186732580762,121459473776,440798,31981430613,121459032978,5951533324,426798210,12217321,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,0,12470,0,0,4,0,0,initial_topology_capture,0,0,0,44285,4,288,197,29,13,9,4,0,44,0,0,0,0,0,11,6,3,0,124281421824,17747343,0,0,0,1005250,207,150,88,82,32,186,0,533,0,0,1,139939814,652471786,652455850,15936,2609501286,10,6,0,0,0,0,0,0,0,0,0,0,69274657823,0,0,0,0,0,0,0,0,0,0,0,2142,9,28,0,33,0,1106481197407,733756788190,697066705261,1803547902668,6394571899,72950,12816,121459105928,597026,62259,354,78,186,291,65536,18,5,27,43,0,0
7,12,12,false,trade_planning,65535,12,12,4742,2400,120,261,9923,0,506298,0,38330,290,198,349284080,2776356363,391237811,1740575676,46609849,1740575676,109257758157,1401694942,6527499100,103999997,1769999,102229998,1415999200,5111499900,0,0,0,3344680930,0,40696960,54498468,-13801508,0,188217058486,206308721712,101329096101,531986,26888151305,101328564115,4734147428,339861434,9754430,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,12288,12470,0,2971,4,0,0,initial_topology_capture,2971,6774,0,44285,4,288,197,29,13,9,4,0,44,0,0,0,0,0,9,0,2,0,124189147136,0,0,0,0,467750,179,130,83,68,11,157,0,461,0,0,2,129875946,519506517,519492523,13994,2077514757,11,0,0,0,0,0,0,0,0,0,0,0,56113565247,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,1117885142536,738864493188,701919009501,1819804152037,5334626873,0,7198,101328564115,723011,62259,271,67,157,274,65536,10,3,36,33,0,0
8,13,13,false,trade_planning,65535,13,13,4784,2400,120,261,9990,0,459247,0,29495,266,182,311153223,2489383635,314784665,1595669504,23986989,1595669504,81498243665,949337590,3260898050,46722976,1232999,45489977,986399200,2274498850,0,0,0,1643361274,0,31839982,42493470,-10653488,0,148898206415,147307624628,77288546837,538812,21271172435,77288008025,4161075829,302536888,8910196,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,0,12967,0,0,5,0,0,initial_topology_capture,0,0,0,58456,4,370,264,53,13,9,4,0,71,0,0,0,0,0,32,24,1,0,124080095232,1052401128,0,0,0,430500,181,132,69,56,22,160,0,445,0,0,0,112208836,462214474,462195674,18800,1847747356,12,12,0,0,0,0,0,0,0,0,0,0,45338265223,0,0,0,0,0,0,0,0,0,0,0,576,9,33,0,43,0,1121711921391,742150220813,705040440764,1826752362155,4069165460,3014784,63,77291022809,951113,62259,244,69,160,238,65536,23,22,31,15,0,0
9,14,14,false,trade_planning,65535,14,14,4809,2400,120,261,10058,0,453283,0,29988,132,177,308320667,2447078027,338874035,1562157265,12363342,1562157265,81023727298,960581146,4221600000,39027000,3027000,36000000,2421600000,1800000000,0,0,0,2005749518,0,35067349,42921900,-7854551,0,155473069873,127103239270,75841906004,359852,22210438647,75841546152,4188271884,300014138,8671344,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,8192,12967,0,1728,5,0,0,initial_topology_capture,1728,4519,0,58456,4,370,264,53,13,9,4,0,71,0,0,0,0,0,29,0,3,0,124424028160,0,0,0,0,476500,168,116,95,74,36,145,0,444,0,0,0,100557014,458717273,458693929,23344,1835729096,13,0,0,0,0,0,0,0,0,0,0,0,47579320686,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,1124382555877,747528910973,710150180053,1834532735930,3993018198,0,63899,75841546152,971598,62259,244,62,145,203,65536,13,5,32,33,0,0
10,15,15,false,trade_planning,65535,15,15,4827,2400,120,261,10133,0,556326,0,33146,184,217,374970466,3078680473,283981857,1929768906,32194778,1929768906,97255231934,948309247,2767399200,37302999,1202999,36100000,962399200,1805000000,0,0,0,1381503766,0,42270635,49505322,-7234687,0,200751051981,114518412153,93539953410,429923,28678721820,93539523487,5068606407,364625323,10684197,ACTIVE,true,1,9019343983884584987,7579129114435938123,SCAN,12288,12967,0,2815,5,0,0,initial_topology_capture,2815,6490,0,58456,4,370,264,53,13,9,4,0,71,0,0,0,0,0,26,0,3,0,124398862336,0,0,0,0,539500,202,141,72,60,19,177,0,494,0,0,2,125140105,557806299,557789337,16962,2213339789,14,0,0,0,0,0,0,0,0,0,0,0,60233738050,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,1121279423179,758905382619,720957793474,1842237216653,4924865022,0,43099,93539523487,785594,62259,303,75,177,253,65536,7,0,32,31,0,0
