
=== SUMMER_N (tick=3269) — water cells only ===
lat_bin,lat_range,n_water,ice_mean,ice_max,n_ice_gt05
0,0.00-0.05,9,0.222,1.000,2
1,0.05-0.10,42,0.595,1.000,25
2,0.10-0.15,69,0.373,1.000,25
3,0.15-0.20,73,0.432,1.000,32
4,0.20-0.25,58,0.052,1.000,3
5,0.25-0.30,52,0.000,0.000,0
6,0.30-0.35,62,0.000,0.000,0
7,0.35-0.40,57,0.000,0.000,0
8,0.40-0.45,68,0.000,0.000,0
9,0.45-0.50,49,0.000,0.000,0
10,0.50-0.55,48,0.000,0.000,0
11,0.55-0.60,47,0.000,0.000,0
12,0.60-0.65,32,0.000,0.000,0
13,0.65-0.70,42,0.000,0.000,0
14,0.70-0.75,69,0.000,0.000,0
15,0.75-0.80,67,0.000,0.000,0
16,0.80-0.85,74,0.000,0.000,0
17,0.85-0.90,82,0.075,1.000,4
18,0.90-0.95,81,0.704,1.000,57
19,0.95-1.00,34,0.882,1.000,30
20,1.00-1.05,1,0.000,0.000,0

=== WINTER_N (tick=3289) — water cells only ===
lat_bin,lat_range,n_water,ice_mean,ice_max,n_ice_gt05
0,0.00-0.05,9,0.222,1.000,2
1,0.05-0.10,42,0.595,1.000,25
2,0.10-0.15,69,0.366,1.000,25
3,0.15-0.20,73,0.362,1.000,27
4,0.20-0.25,58,0.002,0.100,0
5,0.25-0.30,52,0.000,0.000,0
6,0.30-0.35,62,0.000,0.000,0
7,0.35-0.40,57,0.000,0.000,0
8,0.40-0.45,68,0.000,0.000,0
9,0.45-0.50,49,0.000,0.000,0
10,0.50-0.55,48,0.000,0.000,0
11,0.55-0.60,47,0.000,0.000,0
12,0.60-0.65,32,0.000,0.000,0
13,0.65-0.70,42,0.000,0.000,0
14,0.70-0.75,69,0.000,0.000,0
15,0.75-0.80,67,0.000,0.000,0
16,0.80-0.85,74,0.000,0.000,0
17,0.85-0.90,82,0.000,0.000,0
18,0.90-0.95,81,0.014,0.461,0
19,0.95-1.00,34,0.882,1.000,30
20,1.00-1.05,1,0.000,0.000,0
