lat_range | N_SUMMER ice/temp | N_WINTER ice/temp
0.00-0.05 | n_w=  9 ice=0.22 t=0.49 | ice=0.22 t=0.00
0.05-0.10 | n_w= 42 ice=0.60 t=0.53 | ice=0.60 t=0.00
0.10-0.15 | n_w= 69 ice=0.37 t=0.48 | ice=0.40 t=0.00
0.15-0.20 | n_w= 73 ice=0.43 t=0.50 | ice=0.53 t=0.05
0.20-0.25 | n_w= 58 ice=0.05 t=0.55 | ice=0.15 t=0.19
0.25-0.30 | n_w= 52 ice=0.00 t=0.60 | ice=0.00 t=0.32
0.30-0.35 | n_w= 62 ice=0.00 t=0.65 | ice=0.00 t=0.41
0.35-0.40 | n_w= 57 ice=0.00 t=0.63 | ice=0.00 t=0.41
0.40-0.45 | n_w= 68 ice=0.00 t=0.52 | ice=0.00 t=0.34
0.45-0.50 | n_w= 49 ice=0.00 t=0.48 | ice=0.00 t=0.33
0.50-0.55 | n_w= 48 ice=0.00 t=0.49 | ice=0.00 t=0.60
0.55-0.60 | n_w= 47 ice=0.00 t=0.64 | ice=0.00 t=0.80
0.60-0.65 | n_w= 32 ice=0.00 t=0.62 | ice=0.00 t=0.82
0.65-0.70 | n_w= 42 ice=0.00 t=0.35 | ice=0.00 t=0.58
0.70-0.75 | n_w= 69 ice=0.00 t=0.29 | ice=0.00 t=0.56
0.75-0.80 | n_w= 67 ice=0.00 t=0.13 | ice=0.00 t=0.44
0.80-0.85 | n_w= 74 ice=0.00 t=0.02 | ice=0.00 t=0.35
0.85-0.90 | n_w= 82 ice=0.08 t=0.00 | ice=0.00 t=0.37
0.90-0.95 | n_w= 81 ice=0.70 t=0.00 | ice=0.00 t=0.50
0.95-1.00 | n_w= 34 ice=0.88 t=0.00 | ice=0.00 t=0.51
1.00-1.05 | n_w=  1 ice=0.00 t=0.00 | ice=0.00 t=0.43
