frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,28499,4.005,29,false,3,34,27,7,0,0,27,50,3.882,0.0017,0,0
1,28509,10.466,30,true,4,34,28,6,0,0,28,28,2.7864,0.002,0,0
2,28513,3.325,30,false,4,34,28,6,0,0,28,28,2.7864,0.002,0,0
3,28519,6.865,30,false,4,34,28,6,0,0,28,28,2.7864,0.002,0,0
4,28526,6.899,30,false,4,35,28,7,0,0,29,28,2.7864,0.002,0,0
5,28534,8.271,31,true,2,35,29,6,0,0,29,20,4.487,0.0024,0,0
6,28540,5.537,31,false,2,35,29,6,0,0,29,20,4.487,0.0024,0,0
7,28547,6.938,31,false,2,35,29,6,0,0,29,20,4.487,0.0024,0,0
8,28554,6.857,31,false,2,36,29,7,0,0,30,20,2.2448,0.0013,0,0
9,28561,7.598,32,true,2,36,30,6,0,0,30,23,2.2448,0.0013,0,0
10,28568,6.205,32,false,2,36,30,6,0,0,30,23,2.2448,0.0013,0,0
11,28575,6.899,32,false,2,36,30,6,0,0,31,23,2.2448,0.0013,0,0
12,28587,12.253,33,true,3,37,31,6,0,0,31,23,2.1054,0.0017,0,0
13,28589,2.464,33,false,3,37,31,6,0,0,31,23,2.1054,0.0017,0,0
14,28595,6.015,33,false,3,37,31,6,0,0,31,23,2.1054,0.0017,0,0
15,28611,15.983,34,true,3,38,32,6,0,0,32,23,1.9478,0.0016,0,0
16,28612,1.344,34,false,3,38,32,6,0,0,32,23,1.9478,0.0016,0,0
17,28618,5.6,34,false,3,39,32,7,0,0,32,23,1.9478,0.0016,0,0
18,28625,6.864,34,false,3,39,32,7,0,0,33,21,1.9478,0.0016,0,0
19,28633,8.311,35,true,2,39,33,6,0,0,33,20,2.8535,0.0016,0,0
20,28639,5.491,35,false,2,39,33,6,0,0,33,20,2.8535,0.0016,0,0
21,28646,6.946,35,false,2,39,33,6,0,0,34,20,2.8535,0.0016,0,0
22,28660,13.834,36,true,4,40,34,6,0,0,34,20,3.3727,0.0017,0,0
23,28663,2.818,36,false,4,40,34,6,0,0,34,20,3.3727,0.0017,0,0
24,28667,4.062,36,false,4,40,34,6,0,0,34,20,3.3727,0.0017,0,0
25,28674,6.917,36,false,4,41,34,7,0,0,34,20,3.3727,0.0017,0,0
26,28681,7.858,37,true,4,41,35,6,0,0,35,36,3.3727,0.0017,0,0
27,28687,5.929,37,false,4,41,35,6,0,0,35,31,6.0784,0.0028,0,0
28,28694,6.913,37,false,4,41,35,6,0,0,35,31,6.0784,0.0028,0,0
29,28701,6.884,37,false,4,41,35,6,0,0,35,31,6.0784,0.0028,0,0
30,28712,11.185,38,true,4,42,36,6,0,0,36,31,3.7206,0.0024,0,0
31,28715,2.614,38,false,4,42,36,6,0,0,36,31,3.7206,0.0024,0,0
32,28722,6.901,38,false,4,43,36,7,0,0,36,31,3.7206,0.0024,0,0
33,28728,6.92,38,false,4,43,36,7,0,0,36,26,3.7206,0.0024,0,0
34,28739,10.713,39,true,3,43,37,6,0,0,37,13,3.368,0.0021,0,0
35,28742,3.081,39,false,3,43,37,6,0,0,37,13,3.368,0.0021,0,0
36,28749,6.888,39,false,3,43,37,6,0,0,37,13,3.368,0.0021,0,0
37,28756,6.946,39,false,3,44,37,7,0,0,38,13,1.9698,0.0012,0,0
38,28763,7.141,40,true,2,44,38,6,0,0,38,24,1.9698,0.0012,0,0
39,28770,6.615,40,false,2,44,38,6,0,0,38,24,1.9698,0.0012,0,0
40,28777,6.935,40,false,2,44,38,6,0,0,39,24,1.9846,0.0011,0,0
41,28786,8.841,41,true,2,45,39,6,0,0,39,24,1.9846,0.0011,0,0
42,28791,4.934,41,false,2,45,39,6,0,0,39,24,1.9846,0.0011,0,0
43,28798,6.894,41,false,2,45,39,6,0,0,40,24,2.6814,0.0028,0,0
44,28809,11.352,42,true,2,46,40,6,0,0,40,24,2.6814,0.0028,0,0
45,28811,2.434,42,false,2,46,40,6,0,0,40,24,2.6814,0.0028,0,0
46,28818,6.92,42,false,2,46,40,6,0,0,40,24,2.6814,0.0028,0,0
47,28829,10.23,43,true,2,47,41,6,0,0,41,24,4.629,0.0021,0,0
48,28832,3.557,43,false,2,47,41,6,0,0,41,24,4.629,0.0021,0,0
49,28839,6.904,43,false,2,47,41,6,0,0,41,24,4.629,0.0021,0,0
50,28846,6.937,43,false,2,48,41,7,0,0,42,24,4.629,0.0021,0,0
51,28856,10.351,44,true,4,48,42,6,0,0,42,25,3.2986,0.002,0,0
52,28860,3.437,44,false,4,48,42,6,0,0,42,25,3.2986,0.002,0,0
53,28866,6.872,44,false,4,48,42,6,0,0,42,25,3.2986,0.002,0,0
54,28874,6.903,44,false,4,49,42,7,0,0,43,25,3.2986,0.002,0,0
55,28885,11.99,45,true,3,49,43,6,0,0,43,26,3.3039,0.0019,0,0
56,28888,2.519,45,false,3,49,43,6,0,0,43,26,3.3039,0.0019,0,0
57,28894,6.181,45,false,3,49,43,6,0,0,43,26,3.3039,0.0019,0,0
58,28901,6.962,45,false,3,50,43,7,0,0,44,26,3.3039,0.0019,0,0
59,28914,13.07,46,true,4,50,44,6,0,0,44,28,3.3909,0.0017,0,0
60,28916,2.144,46,false,4,50,44,6,0,0,44,28,3.3909,0.0017,0,0
61,28922,5.441,46,false,4,50,44,6,0,0,44,28,3.3909,0.0017,0,0
62,28929,6.885,46,false,4,51,44,7,0,0,44,28,3.3909,0.0017,0,0
63,28941,12.336,47,true,4,51,45,6,0,0,45,25,2.6843,0.0014,0,0
64,28943,2.358,47,false,4,51,45,6,0,0,45,25,2.6843,0.0014,0,0
65,28950,6.19,47,false,4,51,45,6,0,0,45,25,2.6843,0.0014,0,0
66,28956,6.716,47,false,4,52,45,7,0,0,45,25,2.6843,0.0014,0,0
67,28967,10.437,48,true,2,52,46,6,0,0,46,19,3.4327,0.0016,0,0
68,28970,3.394,48,false,2,52,46,6,0,0,46,19,3.4327,0.0016,0,0
69,28977,6.873,48,false,2,52,46,6,0,0,46,19,3.4327,0.0016,0,0
70,28984,6.94,48,false,2,53,46,7,0,0,47,19,3.4327,0.0016,0,0
71,28996,11.71,49,true,3,53,47,6,0,0,47,21,5.2848,0.0018,0,0
72,28998,2.49,49,false,3,53,47,6,0,0,47,21,5.2848,0.0018,0,0
73,29005,6.503,49,false,3,53,47,6,0,0,47,21,5.2848,0.0018,0,0
74,29012,6.852,49,false,3,54,47,7,0,0,47,21,5.2848,0.0018,0,0
75,29019,6.984,49,false,3,54,47,7,0,0,48,25,3.449,0.0019,0,0
76,29027,8.445,50,true,3,54,48,6,0,0,48,26,3.449,0.0019,0,0
77,29032,5.28,50,false,3,54,48,6,0,0,48,26,3.449,0.0019,0,0
78,29039,6.969,50,false,3,54,48,6,0,0,48,26,3.449,0.0019,0,0
79,29046,6.83,50,false,3,55,48,7,0,0,49,26,2.4268,0.0018,0,0
80,29055,9.642,51,true,3,55,49,6,0,0,49,25,2.4268,0.0018,0,0
81,29060,4.155,51,false,3,55,49,6,0,0,49,25,2.4268,0.0018,0,0
82,29067,6.904,51,false,3,55,49,6,0,0,49,25,2.4268,0.0018,0,0
83,29074,6.932,51,false,3,56,49,7,0,0,50,25,3.3736,0.002,0,0
84,29085,11.865,52,true,3,56,50,6,0,0,50,27,3.3736,0.002,0,0
85,29087,1.947,52,false,3,56,50,6,0,0,50,27,3.3736,0.002,0,0
86,29094,6.872,52,false,3,56,50,6,0,0,50,27,3.3736,0.002,0,0
87,29106,11.884,53,true,3,57,51,6,0,0,51,27,4.6457,0.0031,0,0
88,29108,1.89,53,false,3,57,51,6,0,0,51,27,4.6457,0.0031,0,0
89,29115,6.919,53,false,3,57,51,6,0,0,51,27,4.6457,0.0031,0,0
90,29122,6.964,53,false,3,58,51,7,0,0,51,27,4.6457,0.0031,0,0
91,29129,6.821,53,false,3,58,51,7,0,0,52,29,4.6457,0.0031,0,0
92,29142,13.134,54,true,4,58,52,6,0,0,52,22,3.475,0.0028,0,0
93,29144,2.201,54,false,4,58,52,6,0,0,52,22,3.475,0.0028,0,0
94,29150,5.382,54,false,4,58,52,6,0,0,52,22,3.475,0.0028,0,0
95,29156,6.937,54,false,4,59,52,7,0,0,53,22,3.475,0.0028,0,0
96,29169,12.684,55,true,3,59,53,6,0,0,53,27,4.7232,0.0023,0,0
97,29171,2.356,55,false,3,59,53,6,0,0,53,27,4.7232,0.0023,0,0
98,29177,5.61,55,false,3,59,53,6,0,0,53,27,4.7232,0.0023,0,0
99,29184,6.962,55,false,3,60,53,7,0,0,53,27,4.7232,0.0023,0,0
100,29191,6.836,55,false,3,60,53,7,0,0,54,35,2.5249,0.0022,0,0
101,29199,8.411,56,true,2,60,54,6,0,0,54,17,2.5249,0.0022,0,0
102,29205,5.434,56,false,2,60,54,6,0,0,54,17,2.5249,0.0022,0,0
103,29211,6.859,56,false,2,60,54,6,0,0,55,17,2.4279,0.0017,0,0
104,29224,12.165,57,true,3,61,55,6,0,0,55,17,2.4279,0.0017,0,0
105,29226,2.35,57,false,3,61,55,6,0,0,55,17,2.4279,0.0017,0,0
106,29232,6.197,57,false,3,62,55,7,0,0,55,17,2.4279,0.0017,0,0
107,29239,6.979,57,false,3,62,55,7,0,0,56,30,3.4296,0.0021,0,0
108,29252,13.233,58,true,4,62,56,6,0,0,56,26,3.4296,0.0021,0,0
109,29255,2.073,58,false,4,62,56,6,0,0,56,26,3.4296,0.0021,0,0
110,29260,5.295,58,false,4,62,56,6,0,0,56,26,3.4296,0.0021,0,0
111,29267,6.934,59,true,2,63,57,6,0,0,57,26,3.4732,0.0021,0,0
112,29274,6.872,59,false,2,63,57,6,0,0,57,19,3.4732,0.0021,0,0
113,29281,6.891,59,false,2,63,57,6,0,0,57,19,3.4732,0.0021,0,0
114,29288,6.949,59,false,2,63,57,6,0,0,58,19,3.4732,0.0021,0,0
115,29297,9.723,60,true,2,64,58,6,0,0,58,19,3.7451,0.0021,0,0
116,29301,4.072,60,false,2,64,58,6,0,0,58,19,3.7451,0.0021,0,0
117,29308,6.865,60,false,2,64,58,6,0,0,58,19,3.7451,0.0021,0,0
118,29315,6.908,60,false,2,65,58,7,0,0,59,19,3.7451,0.0021,0,0
119,29326,10.85,61,true,2,65,59,6,0,0,59,28,5.4314,0.0018,0,0
120,29329,2.939,61,false,2,65,59,6,0,0,59,28,5.4314,0.0018,0,0
121,29336,6.945,61,false,2,65,59,6,0,0,59,28,5.4314,0.0018,0,0
122,29343,6.859,61,false,2,66,59,7,0,0,59,28,5.4314,0.0018,0,0
123,29357,14.401,62,true,7,66,60,6,0,0,60,27,3.3683,0.0019,0,0
124,29358,1.251,62,false,7,66,60,6,0,0,60,27,3.3683,0.0019,0,0
125,29364,5.627,62,false,7,66,60,6,0,0,60,27,3.3683,0.0019,0,0
126,29371,6.963,62,false,7,67,60,7,0,0,61,27,2.1916,0.0022,0,0
127,29379,7.681,63,true,2,67,61,6,0,0,61,21,2.1916,0.0022,0,0
128,29385,6.104,63,false,2,67,61,6,0,0,61,21,2.1916,0.0022,0,0
129,29391,6.855,63,false,2,67,61,6,0,0,62,21,2.1916,0.0022,0,0
130,29400,8.432,64,true,2,68,62,6,0,0,62,21,1.8795,0.0012,0,0
131,29405,5.396,64,false,2,68,62,6,0,0,62,21,1.8795,0.0012,0,0
132,29412,6.883,64,false,2,68,62,6,0,0,62,21,1.8795,0.0012,0,0
133,29422,9.621,65,true,2,69,63,6,0,0,63,21,2.4003,0.0016,0,0
134,29426,4.168,65,false,2,69,63,6,0,0,63,21,2.4003,0.0016,0,0
135,29433,6.952,65,false,2,70,63,7,0,0,63,21,2.4003,0.0016,0,0
136,29440,6.854,65,false,2,70,63,7,0,0,64,22,2.4003,0.0016,0,0
137,29448,8.446,66,true,3,70,64,6,0,0,64,19,3.2337,0.0019,0,0
138,29454,5.45,66,false,3,70,64,6,0,0,64,19,3.2337,0.0019,0,0
139,29461,6.806,66,false,3,70,64,6,0,0,65,19,3.2337,0.0019,0,0
140,29471,10.233,67,true,4,71,65,6,0,0,65,19,3.6292,0.0017,0,0
141,29474,3.562,67,false,4,71,65,6,0,0,65,19,3.6292,0.0017,0,0
