frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22383,642.052,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22395,12.715,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,22406,10.219,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
3,22408,2.031,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
4,22413,4.869,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
5,22419,6.91,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
6,22453,33.597,2,true,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
7,22454,1.092,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
8,22460,5.836,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
9,22467,6.869,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
10,22474,6.964,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
11,22481,6.835,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
12,22488,6.94,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
13,22494,6.861,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
14,22501,6.9,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
15,22508,6.928,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
16,22515,6.873,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
17,22522,6.933,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
18,22529,6.868,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
19,22536,6.935,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
20,22543,6.861,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
21,22550,6.901,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
22,22557,6.937,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
23,22563,6.874,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
24,22570,6.932,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
25,22577,6.861,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
26,22584,6.901,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
27,22591,6.941,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
28,22598,6.868,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
29,22605,6.917,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
30,22612,6.861,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
31,22619,6.913,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
32,22626,6.943,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
33,22632,6.861,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
34,22639,6.925,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
35,22646,6.865,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
36,22653,6.907,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
37,22660,6.959,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
38,22667,6.836,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
39,22674,6.943,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
40,22681,6.855,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
41,22688,6.898,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
42,22695,6.939,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
43,22701,6.865,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
44,22708,6.94,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
45,22715,6.859,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
46,22722,6.904,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
47,22729,6.929,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
48,22736,6.87,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
49,22743,6.921,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
50,22750,6.931,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
51,22757,6.843,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
52,22764,6.933,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
53,22770,6.87,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
54,22777,6.931,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
55,22784,6.868,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
56,22791,6.902,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
57,22798,6.966,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
58,22805,6.838,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
59,22812,6.985,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
60,22819,6.802,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
61,22826,6.906,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
62,22833,6.938,2,false,31,2,-1,-1,0,1,0,14730,2.1852,0.0014,0,0
