frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22986,552.382,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22998,12.23,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,23026,27.777,2,true,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
3,23027,1.067,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
4,23033,5.821,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
5,23040,6.897,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
6,23047,6.896,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
7,23054,6.935,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
8,23060,6.866,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
9,23067,6.91,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
10,23074,6.912,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
11,23081,6.887,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
12,23088,6.894,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
13,23095,6.922,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
14,23102,6.876,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
15,23109,6.914,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
16,23116,6.889,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
17,23122,6.893,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
18,23129,6.94,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
19,23136,6.868,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
20,23143,6.925,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
21,23150,6.879,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
22,23157,6.898,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
23,23164,6.919,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
24,23171,6.897,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
25,23178,6.929,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
26,23185,6.852,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
27,23192,6.938,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
28,23198,6.866,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
29,23205,6.904,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
30,23212,6.933,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
31,23219,6.863,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
32,23226,6.935,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
33,23233,6.864,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
34,23240,6.909,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
35,23247,6.922,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
36,23254,6.873,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
37,23261,6.93,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
38,23267,6.872,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
39,23274,6.929,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
40,23281,6.864,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
41,23288,6.902,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
42,23295,6.94,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
43,23302,6.86,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
44,23309,6.936,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
45,23316,6.867,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
46,23323,6.897,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
47,23330,6.938,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
48,23336,6.863,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
49,23343,6.935,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
50,23350,6.861,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
51,23357,6.947,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
52,23364,6.852,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
53,23371,6.905,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
54,23378,6.918,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
55,23385,6.885,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
56,23392,6.913,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
57,23399,6.873,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
58,23405,6.902,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
59,23412,6.934,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
60,23419,6.877,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
61,23426,6.92,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
62,23433,6.873,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
63,23440,6.93,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
64,23447,6.871,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
65,23454,6.897,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
66,23461,6.933,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
67,23468,6.88,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
68,23475,6.936,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
69,23481,6.858,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
70,23488,6.895,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
71,23495,6.938,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
72,23502,6.871,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
73,23509,6.945,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
74,23516,6.85,2,false,21,2,-1,-1,0,1,0,9481,1.8727,0.0011,0,0
