frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,29731,1.154,89,false,1,88,87,1,0,0,87,19,0.3705,0.001,0,0
1,29830,98.564,90,true,1,90,89,1,0,0,89,19,0.3216,0.0012,0,0
2,29981,150.995,91,true,1,92,91,1,0,0,91,19,0.3233,0.0009,0,0
3,30089,107.933,92,true,2,93,92,1,0,0,92,19,0.5141,0.0012,0,0
4,30214,125.151,93,true,3,94,93,1,0,0,93,19,0.5228,0.0022,0,0
5,30342,127.751,94,true,1,95,94,1,0,0,94,19,0.6128,0.0022,0,0
6,30482,140.375,95,true,2,96,95,1,0,0,95,19,0.3575,0.0011,0,0
7,30756,274.06,96,true,2,98,97,1,0,0,97,19,0.4815,0.0019,0,0
8,30764,7.593,96,false,2,98,97,1,0,0,97,19,0.4815,0.0019,0,0
9,30892,128.103,97,true,2,99,98,1,0,0,98,19,0.6203,0.0028,0,0
10,30894,1.914,97,false,2,99,98,1,0,0,98,19,0.6203,0.0028,0,0
11,30984,90.38,98,true,1,100,99,1,0,0,99,19,0.3339,0.0012,0,0
12,30986,1.802,98,false,1,100,99,1,0,0,99,19,0.3339,0.0012,0,0
13,30991,5.078,98,false,1,100,99,1,0,0,99,19,0.3339,0.0012,0,0
14,31096,104.855,99,true,2,101,100,1,0,0,100,19,0.4617,0.0011,0,0
15,31098,2.381,99,false,2,101,100,1,0,0,100,19,0.4617,0.0011,0,0
16,31199,101.079,100,true,1,102,101,1,0,0,101,19,0.6195,0.0021,0,0
17,31284,84.035,101,true,1,103,102,1,0,0,102,19,0.5678,0.0017,0,0
18,31374,90.932,102,true,1,104,103,1,0,0,103,19,0.6301,0.0018,0,0
19,31458,83.965,103,true,1,105,104,1,0,0,104,19,0.3965,0.0013,0,0
20,31535,77.247,104,true,1,106,105,1,0,0,105,19,0.5553,0.0016,0,0
21,31739,203.673,105,true,1,108,107,1,0,0,107,19,0.3127,0.0007,0,0
