frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,32779,1.121,87,false,1,86,85,1,0,0,85,21,0.5215,0.0013,0,0
1,32992,213.174,88,true,2,89,87,2,0,0,87,21,0.3329,0.0008,0,0
2,32996,4.072,88,false,2,90,87,3,0,0,87,21,0.3329,0.0008,0,0
3,33001,4.712,88,false,2,91,87,4,0,0,87,21,0.3329,0.0008,0,0
4,33006,5.067,88,false,2,91,87,4,0,0,87,21,0.3329,0.0008,0,0
5,33013,6.842,88,false,2,91,87,4,0,0,87,21,0.3329,0.0008,0,0
6,33024,11.19,88,false,2,92,87,5,0,0,87,21,0.3329,0.0008,0,0
7,33026,2.583,88,false,2,92,87,5,0,0,87,21,0.3329,0.0008,0,0
8,33034,7.451,88,false,2,93,87,6,0,0,87,21,0.3329,0.0008,0,0
9,33040,6.395,88,false,2,93,87,6,0,0,87,21,0.3329,0.0008,0,0
10,33048,6.862,88,false,2,93,87,6,0,0,87,21,0.3329,0.0008,0,0
11,33054,6.944,88,false,2,94,87,7,0,0,87,21,0.3329,0.0008,0,0
12,33061,6.875,88,false,2,94,87,7,0,0,87,33,0.3329,0.0008,0,0
13,33068,6.877,88,false,2,94,87,7,0,0,87,36,0.3329,0.0008,0,0
14,33075,6.973,88,false,2,94,87,7,0,0,87,74,0.3329,0.0008,0,0
15,33082,6.836,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
16,33089,6.937,88,false,2,94,87,7,0,0,87,31,0.3329,0.0008,0,0
17,33096,7.234,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
18,33102,6.574,88,false,2,94,87,7,0,0,87,33,0.3329,0.0008,0,0
19,33110,6.956,88,false,2,94,87,7,0,0,87,31,0.3329,0.0008,0,0
20,33117,6.796,88,false,2,94,87,7,0,0,87,34,0.3329,0.0008,0,0
21,33124,6.975,88,false,2,94,87,7,0,0,87,35,0.3329,0.0008,0,0
22,33131,6.875,88,false,2,94,87,7,0,0,87,53,0.3329,0.0008,0,0
23,33138,6.921,88,false,2,94,87,7,0,0,87,36,0.3329,0.0008,0,0
24,33144,6.821,88,false,2,94,87,7,0,0,87,238,0.3329,0.0008,0,0
25,33151,6.902,88,false,2,94,87,7,0,0,87,52,0.3329,0.0008,0,0
26,33157,6.945,88,false,2,94,87,7,0,0,87,42,0.3329,0.0008,0,0
27,33165,6.861,88,false,2,94,87,7,0,0,87,36,0.3329,0.0008,0,0
28,33171,6.941,88,false,2,94,87,7,0,0,87,37,0.3329,0.0008,0,0
29,33178,6.854,88,false,2,94,87,7,0,0,87,36,0.3329,0.0008,0,0
30,33185,6.891,88,false,2,94,87,7,0,0,87,36,0.3329,0.0008,0,0
31,33192,6.947,88,false,2,94,87,7,0,0,87,23,0.3329,0.0008,0,0
32,33199,6.864,88,false,2,94,87,7,0,0,87,23,0.3329,0.0008,0,0
33,33206,6.945,88,false,2,94,87,7,0,0,87,31,0.3329,0.0008,0,0
34,33213,6.854,88,false,2,94,87,7,0,0,87,32,0.3329,0.0008,0,0
35,33220,6.898,88,false,2,94,87,7,0,0,87,32,0.3329,0.0008,0,0
36,33226,6.917,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
37,33234,6.885,88,false,2,94,87,7,0,0,87,18,0.3329,0.0008,0,0
38,33240,6.932,88,false,2,94,87,7,0,0,87,43,0.3329,0.0008,0,0
39,33247,6.864,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
40,33254,6.902,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
41,33261,6.948,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
42,33268,6.849,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
43,33275,6.917,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
44,33282,6.887,88,false,2,94,87,7,0,0,87,19,0.3329,0.0008,0,0
45,33289,6.898,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
46,33296,6.954,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
47,33303,6.845,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
48,33309,6.923,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
49,33316,6.871,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
50,33323,6.911,88,false,2,94,87,7,0,0,87,20,0.3329,0.0008,0,0
51,33330,6.94,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
52,33337,6.846,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
53,33344,6.946,88,false,2,94,87,7,0,0,87,32,0.3329,0.0008,0,0
54,33351,6.855,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
55,33358,6.907,88,false,2,94,87,7,0,0,87,24,0.3329,0.0008,0,0
56,33365,6.937,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
57,33371,6.859,88,false,2,94,87,7,0,0,87,26,0.3329,0.0008,0,0
58,33378,6.946,88,false,2,94,87,7,0,0,87,38,0.3329,0.0008,0,0
59,33385,6.859,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
60,33392,6.898,88,false,2,94,87,7,0,0,87,22,0.3329,0.0008,0,0
61,33399,6.951,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
62,33406,6.852,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
63,33413,6.947,88,false,2,94,87,7,0,0,87,29,0.3329,0.0008,0,0
64,33420,6.855,88,false,2,94,87,7,0,0,87,28,0.3329,0.0008,0,0
65,33427,6.893,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
66,33434,6.962,88,false,2,94,87,7,0,0,87,27,0.3329,0.0008,0,0
67,33441,6.844,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
68,33448,6.953,88,false,2,94,87,7,0,0,87,24,0.3329,0.0008,0,0
69,33454,6.85,88,false,2,94,87,7,0,0,87,43,0.3329,0.0008,0,0
70,33461,6.953,88,false,2,94,87,7,0,0,87,30,0.3329,0.0008,0,0
