frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25338,5.277,234,false,2,237,232,5,0,0,233,23,2.5292,0.0017,0,0
1,25345,7.186,235,true,2,238,233,5,0,0,233,23,2.5292,0.0017,0,0
2,25352,6.65,235,false,2,238,233,5,0,0,233,23,2.5292,0.0017,0,0
3,25359,6.836,236,true,3,238,234,4,0,0,234,23,2.9012,0.0025,0,0
4,25365,6.896,236,false,3,239,234,5,0,0,234,23,2.9012,0.0025,0,0
5,25373,6.954,236,false,3,239,234,5,0,0,234,23,2.9012,0.0025,0,0
6,25379,6.848,237,true,2,239,235,4,0,0,235,23,2.737,0.0116,0,0
7,25386,6.941,237,false,2,240,235,5,0,0,235,23,2.737,0.0116,0,0
8,25393,6.862,237,false,2,240,235,5,0,0,236,23,2.737,0.0116,0,0
9,25400,6.896,238,true,2,240,236,4,0,0,236,23,1.9425,0.0011,0,0
10,25407,6.939,238,false,2,241,236,5,0,0,236,23,1.9425,0.0011,0,0
11,25414,6.873,238,false,2,241,236,5,0,0,237,23,1.9926,0.0014,0,0
12,25421,6.947,239,true,2,241,237,4,0,0,237,23,1.9926,0.0014,0,0
13,25428,6.844,239,false,2,242,237,5,0,0,237,23,1.9926,0.0014,0,0
14,25435,6.94,239,false,2,242,237,5,0,0,238,23,1.9301,0.0011,0,0
15,25441,6.863,240,true,2,242,238,4,0,0,238,23,1.9301,0.0011,0,0
16,25448,6.9,240,false,2,243,238,5,0,0,238,23,1.9301,0.0011,0,0
17,25455,6.934,240,false,2,243,238,5,0,0,239,23,2.8957,0.0014,0,0
18,25462,6.864,241,true,2,243,239,4,0,0,239,23,2.8957,0.0014,0,0
19,25469,6.928,241,false,2,244,239,5,0,0,239,23,2.8957,0.0014,0,0
20,25476,6.871,241,false,2,244,239,5,0,0,240,23,1.9716,0.0013,0,0
21,25483,6.907,242,true,2,244,240,4,0,0,240,23,1.9716,0.0013,0,0
