frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25722,5.193,238,false,2,238,236,2,0,0,236,20,2.318,0.0014,0,0
1,25728,6.912,239,true,2,239,237,2,0,0,237,20,1.79,0.001,0,0
2,25735,6.877,239,false,2,239,237,2,0,0,237,20,1.79,0.001,0,0
3,25742,6.935,239,false,2,239,237,2,0,0,237,20,1.79,0.001,0,0
4,25749,6.863,240,true,2,240,238,2,0,0,238,20,1.9837,0.0012,0,0
5,25756,6.912,240,false,2,240,238,2,0,0,238,20,1.9837,0.0012,0,0
6,25763,6.91,240,false,2,240,238,2,0,0,238,20,1.9837,0.0012,0,0
7,25770,6.879,241,true,2,241,239,2,0,0,239,20,2.6798,0.0012,0,0
8,25777,6.941,241,false,2,241,239,2,0,0,239,20,2.6798,0.0012,0,0
9,25784,6.864,241,false,2,242,239,3,0,0,239,20,2.6798,0.0012,0,0
10,25791,6.896,241,false,2,242,239,3,0,0,240,20,1.8649,0.001,0,0
11,25798,6.923,242,true,2,242,240,2,0,0,240,20,1.8649,0.001,0,0
12,25804,6.887,242,false,2,243,240,3,0,0,240,20,1.8649,0.001,0,0
13,25811,6.927,243,true,2,243,241,2,0,0,241,20,2.0877,0.0014,0,0
14,25818,6.88,243,false,2,243,241,2,0,0,241,20,2.0877,0.0014,0,0
15,25825,6.927,243,false,2,244,241,3,0,0,242,20,2.0877,0.0014,0,0
16,25832,6.869,244,true,2,244,242,2,0,0,242,20,1.797,0.001,0,0
17,25839,6.904,244,false,2,244,242,2,0,0,242,20,1.797,0.001,0,0
18,25847,8.149,245,true,2,245,243,2,0,0,243,20,3.0114,0.0016,0,0
19,25853,5.647,245,false,2,245,243,2,0,0,243,20,3.0114,0.0016,0,0
20,25860,6.935,245,false,2,245,243,2,0,0,243,20,3.0114,0.0016,0,0
21,25867,7.615,246,true,2,246,244,2,0,0,244,20,2.112,0.0015,0,0
22,25873,6.146,246,false,2,246,244,2,0,0,244,20,2.112,0.0015,0,0
23,25880,6.932,246,false,2,246,244,2,0,0,244,20,2.112,0.0015,0,0
24,25887,6.857,247,true,2,247,245,2,0,0,245,20,2.3374,0.0009,0,0
25,25894,6.943,247,false,2,247,245,2,0,0,245,20,2.3374,0.0009,0,0
26,25901,6.873,247,false,2,247,245,2,0,0,245,20,2.3374,0.0009,0,0
27,25909,7.772,248,true,2,248,246,2,0,0,246,20,1.9909,0.0014,0,0
28,25915,6.057,248,false,2,248,246,2,0,0,246,20,1.9909,0.0014,0,0
29,25922,6.864,248,false,2,248,246,2,0,0,246,20,1.9909,0.0014,0,0
30,25930,7.919,249,true,2,249,247,2,0,0,247,20,1.9523,0.0013,0,0
31,25936,5.883,249,false,2,249,247,2,0,0,247,20,1.9523,0.0013,0,0
32,25942,6.931,249,false,2,249,247,2,0,0,247,20,1.9523,0.0013,0,0
33,25949,6.857,250,true,2,250,248,2,0,0,248,20,1.844,0.0009,0,0
34,25956,6.951,250,false,2,250,248,2,0,0,248,20,1.844,0.0009,0,0
35,25963,6.893,250,false,2,250,248,2,0,0,248,20,1.844,0.0009,0,0
36,25970,6.859,251,true,2,251,249,2,0,0,249,20,1.8441,0.0011,0,0
37,25977,6.941,251,false,2,251,249,2,0,0,249,20,1.8441,0.0011,0,0
38,25984,6.86,251,false,2,252,249,3,0,0,249,20,1.8441,0.0011,0,0
39,25991,6.926,251,false,2,252,249,3,0,0,250,20,1.9404,0.0016,0,0
40,25998,6.904,252,true,2,252,250,2,0,0,250,20,1.9404,0.0016,0,0
41,26004,6.869,252,false,2,253,250,3,0,0,250,20,1.9404,0.0016,0,0
42,26011,6.943,252,false,2,253,250,3,0,0,251,20,3.2166,0.0009,0,0
