frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24798,2.87,89,false,0,88,87,1,0,0,87,15,0.4124,0.0013,0,0
1,24805,7.015,89,false,0,89,87,2,0,0,88,15,0.389,0.0012,0,0
2,24812,6.835,90,true,1,89,88,1,0,0,88,15,0.389,0.0012,0,0
3,24819,6.86,90,false,1,89,88,1,0,0,88,15,0.389,0.0012,0,0
4,24825,6.928,90,false,1,90,88,2,0,0,89,15,0.3463,0.0012,0,0
5,24832,6.866,91,true,2,90,89,1,0,0,89,15,0.3463,0.0012,0,0
6,24839,6.944,91,false,2,90,89,1,0,0,89,15,0.3463,0.0012,0,0
7,24846,6.856,91,false,2,91,89,2,0,0,90,15,0.4507,0.0012,0,0
8,24853,7.101,92,true,1,91,90,1,0,0,90,15,0.4507,0.0012,0,0
9,24860,6.742,92,false,1,91,90,1,0,0,90,15,0.4507,0.0012,0,0
10,24869,8.972,93,true,1,92,91,1,0,0,91,15,0.3364,0.0011,0,0
11,24874,4.83,93,false,1,92,91,1,0,0,91,15,0.3364,0.0011,0,0
12,24881,6.855,93,false,1,92,91,1,0,0,91,15,0.3364,0.0011,0,0
13,24888,6.906,93,false,1,93,91,2,0,0,92,15,0.4867,0.0011,0,0
14,24895,6.973,94,true,1,93,92,1,0,0,92,15,0.4867,0.0011,0,0
15,24902,6.83,94,false,1,93,92,1,0,0,92,15,0.4867,0.0011,0,0
16,24908,6.936,94,false,1,94,92,2,0,0,93,15,0.3685,0.0012,0,0
17,24915,6.858,95,true,1,94,93,1,0,0,93,15,0.3685,0.0012,0,0
18,24922,6.907,95,false,1,95,93,2,0,0,94,15,0.3706,0.0012,0,0
19,24929,6.961,96,true,1,95,94,1,0,0,94,15,0.3706,0.0012,0,0
20,24936,6.832,96,false,1,95,94,1,0,0,94,15,0.3706,0.0012,0,0
21,24943,6.938,96,false,1,96,94,2,0,0,95,15,0.365,0.0012,0,0
22,24950,6.863,97,true,1,96,95,1,0,0,95,15,0.365,0.0012,0,0
23,24957,6.935,97,false,1,96,95,1,0,0,95,15,0.365,0.0012,0,0
