frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23905,1.224,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
1,23982,75.978,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
2,24064,80.054,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
3,24144,79.51,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
4,24225,81.422,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
5,24303,79.942,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
6,24381,79.867,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
7,24457,75.306,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
8,24534,76.816,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
9,24611,76.392,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
10,24685,74.734,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
11,24759,73.252,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
12,24833,74.27,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
13,24910,76.551,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
14,25000,89.916,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
15,25079,79.033,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
16,25160,80.839,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
17,25237,76.697,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
18,25320,82.542,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
19,25399,79.356,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
20,25478,79.022,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
21,25555,74.493,4,false,65,9,2,7,0,0,2,5647,1.3555,0.0011,0,0
