frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25326,1.378,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
1,25402,76.307,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
2,25487,82.188,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
3,25576,89.509,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
4,25662,83.859,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
5,25741,83.305,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
6,25826,83.266,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
7,25920,89.655,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
8,26000,85.206,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
9,26082,80.515,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
10,26163,83.21,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
11,26242,79.838,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
12,26317,74.234,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
13,26398,81.949,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
14,26476,76.551,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
15,26562,86.037,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
16,26642,79.845,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
17,26721,79.432,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
18,26802,81.227,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
19,26882,77.925,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
20,26965,84.409,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
21,27047,79.345,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
22,27124,80.686,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
23,27203,77.66,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
24,27280,76.798,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
25,27356,76.539,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
26,27435,78.798,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
27,27517,79.03,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
28,27599,83.946,4,false,69,9,2,7,0,0,2,5331,1.5931,0.0025,0,0
