frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25840,4.511,2,false,24,28,21,7,0,0,22,36,2.11,0.0018,0,0
1,25847,6.892,2,false,24,28,22,6,0,0,22,405,2.11,0.0018,0,0
2,25854,6.949,2,false,24,28,22,6,0,0,22,405,2.11,0.0018,0,0
3,25861,6.87,2,false,24,28,22,6,0,0,22,405,2.11,0.0018,0,0
4,25868,6.929,2,false,24,29,22,7,0,0,22,405,2.11,0.0018,0,0
5,25874,6.858,2,false,24,29,22,7,0,0,22,29,2.11,0.0018,0,0
6,25881,6.898,2,false,24,29,22,7,0,0,22,22,2.11,0.0018,0,0
7,25888,6.976,2,false,24,29,22,7,0,0,22,21,2.11,0.0018,0,0
8,25895,6.833,2,false,24,29,22,7,0,0,22,25,2.11,0.0018,0,0
9,25902,6.935,2,false,24,29,22,7,0,0,22,34,2.11,0.0018,0,0
10,25909,6.862,2,false,24,29,22,7,0,0,22,31,2.11,0.0018,0,0
11,25916,6.934,2,false,24,29,23,6,0,0,23,31,1.8192,0.0014,0,0
12,25923,6.857,2,false,24,29,23,6,0,0,23,359,1.8192,0.0014,0,0
13,25930,6.907,2,false,24,29,23,6,0,0,23,359,1.8192,0.0014,0,0
14,25937,6.941,2,false,24,30,23,7,0,0,23,359,1.8192,0.0014,0,0
15,25943,6.917,2,false,24,30,23,7,0,0,23,21,1.8192,0.0014,0,0
16,25950,6.881,2,false,24,30,23,7,0,0,23,22,1.8192,0.0014,0,0
17,25957,6.874,2,false,24,30,23,7,0,0,23,23,1.8192,0.0014,0,0
18,25964,6.894,2,false,24,30,23,7,0,0,23,28,1.8192,0.0014,0,0
19,25971,6.93,2,false,24,30,23,7,0,0,23,25,1.8192,0.0014,0,0
20,25978,6.861,2,false,24,30,23,7,0,0,23,21,1.8192,0.0014,0,0
21,25985,6.939,2,false,24,30,23,7,0,0,23,55,1.8192,0.0014,0,0
22,25992,6.855,2,false,24,30,24,6,0,0,24,84,2.9007,0.0036,0,0
23,25999,6.927,2,false,24,30,24,6,0,0,24,330,2.9007,0.0036,0,0
24,26006,6.874,2,false,24,30,24,6,0,0,24,330,2.9007,0.0036,0,0
25,26012,6.919,2,false,24,30,24,6,0,0,24,330,2.9007,0.0036,0,0
26,26019,6.921,2,false,24,31,24,7,0,0,24,330,2.9007,0.0036,0,0
27,26026,6.866,2,false,24,31,24,7,0,0,24,21,2.9007,0.0036,0,0
28,26033,6.938,2,false,24,31,24,7,0,0,24,21,2.9007,0.0036,0,0
29,26040,6.861,2,false,24,31,24,7,0,0,24,22,2.9007,0.0036,0,0
30,26047,6.9,2,false,24,31,24,7,0,0,24,32,2.9007,0.0036,0,0
31,26054,6.934,2,false,24,31,24,7,0,0,24,20,2.9007,0.0036,0,0
32,26061,6.866,2,false,24,31,24,7,0,0,24,23,2.9007,0.0036,0,0
33,26068,6.936,2,false,24,31,24,7,0,0,25,23,2.9007,0.0036,0,0
34,26074,6.85,2,false,24,31,25,6,0,0,25,21,1.7532,0.0013,0,0
35,26081,6.947,2,false,24,31,25,6,0,0,25,21,1.7532,0.0013,0,0
36,26088,6.862,2,false,24,31,25,6,0,0,25,21,1.7532,0.0013,0,0
37,26095,6.905,2,false,24,32,25,7,0,0,25,21,1.7532,0.0013,0,0
38,26102,6.928,2,false,24,32,25,7,0,0,25,19,1.7532,0.0013,0,0
