frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24802,4.95,2,false,12,38,31,7,0,0,31,327,1.8849,0.0016,0,0
1,24809,6.881,2,false,12,38,31,7,0,0,31,21,1.8849,0.0016,0,0
2,24816,6.933,2,false,12,38,31,7,0,0,31,21,1.8849,0.0016,0,0
3,24823,6.866,2,false,12,38,31,7,0,0,31,22,1.8849,0.0016,0,0
4,24830,6.891,2,false,12,38,31,7,0,0,31,21,1.8849,0.0016,0,0
5,24836,6.943,2,false,12,38,31,7,0,0,32,16,1.6307,0.0016,0,0
6,24843,6.852,2,false,12,38,32,6,0,0,32,328,1.6307,0.0016,0,0
7,24850,6.936,2,false,12,38,32,6,0,0,32,328,1.6307,0.0016,0,0
8,24857,6.868,2,false,12,38,32,6,0,0,32,328,1.6307,0.0016,0,0
9,24864,6.96,2,false,12,39,32,7,0,0,32,328,1.6307,0.0016,0,0
10,24871,6.866,2,false,12,39,32,7,0,0,32,19,1.6307,0.0016,0,0
11,24878,6.879,2,false,12,39,32,7,0,0,32,19,1.6307,0.0016,0,0
12,24885,6.933,2,false,12,39,32,7,0,0,32,19,1.6307,0.0016,0,0
13,24892,6.99,2,false,12,39,32,7,0,0,33,20,1.4887,0.001,0,0
14,24899,6.804,2,false,12,39,33,6,0,0,33,306,1.4887,0.001,0,0
15,24905,6.868,2,false,12,39,33,6,0,0,33,306,1.4887,0.001,0,0
16,24912,6.906,2,false,12,39,33,6,0,0,33,306,1.4887,0.001,0,0
17,24919,6.933,2,false,12,40,33,7,0,0,33,306,1.4887,0.001,0,0
18,24926,6.873,2,false,12,40,33,7,0,0,33,19,1.4887,0.001,0,0
19,24933,6.936,2,false,12,40,33,7,0,0,33,18,1.4887,0.001,0,0
20,24940,6.848,2,false,12,40,33,7,0,0,34,21,1.4887,0.001,0,0
21,24947,6.93,2,false,12,40,34,6,0,0,34,14,1.4834,0.0013,0,0
22,24954,6.867,2,false,12,40,34,6,0,0,34,14,1.4834,0.0013,0,0
23,24961,6.915,2,false,12,40,34,6,0,0,34,14,1.4834,0.0013,0,0
24,24968,6.937,2,false,12,41,34,7,0,0,34,14,1.4834,0.0013,0,0
25,24974,6.864,2,false,12,41,34,7,0,0,34,19,1.4834,0.0013,0,0
26,24981,6.934,2,false,12,41,34,7,0,0,34,19,1.4834,0.0013,0,0
27,24988,6.866,2,false,12,41,34,7,0,0,34,25,1.4834,0.0013,0,0
28,24995,6.902,2,false,12,41,34,7,0,0,34,21,1.4834,0.0013,0,0
29,25002,6.93,2,false,12,41,34,7,0,0,35,24,2.2055,0.0017,0,0
30,25009,6.853,2,false,12,41,35,6,0,0,35,314,2.2055,0.0017,0,0
31,25016,6.947,2,false,12,41,35,6,0,0,35,314,2.2055,0.0017,0,0
32,25023,6.869,2,false,12,41,35,6,0,0,35,314,2.2055,0.0017,0,0
33,25030,6.899,2,false,12,42,35,7,0,0,35,314,2.2055,0.0017,0,0
34,25037,6.941,2,false,12,42,35,7,0,0,35,21,2.2055,0.0017,0,0
35,25043,6.857,2,false,12,42,35,7,0,0,35,19,2.2055,0.0017,0,0
36,25051,6.998,2,false,12,42,35,7,0,0,35,19,2.2055,0.0017,0,0
37,25057,6.791,2,false,12,42,36,6,0,0,36,25,1.6084,0.0018,0,0
38,25064,6.951,2,false,12,42,36,6,0,0,36,25,1.6084,0.0018,0,0
39,25071,6.86,2,false,12,42,36,6,0,0,36,25,1.6084,0.0018,0,0
40,25078,6.9,2,false,12,43,36,7,0,0,36,25,1.6084,0.0018,0,0
41,25085,6.95,2,false,12,43,36,7,0,0,36,18,1.6084,0.0018,0,0
42,25092,6.863,2,false,12,43,36,7,0,0,36,23,1.6084,0.0018,0,0
43,25099,6.927,2,false,12,43,36,7,0,0,36,19,1.6084,0.0018,0,0
44,25106,6.862,2,false,12,43,36,7,0,0,36,23,1.6084,0.0018,0,0
45,25113,6.897,2,false,12,43,36,7,0,0,37,30,1.5438,0.0015,0,0
46,25119,6.913,2,false,12,43,37,6,0,0,37,325,1.5438,0.0015,0,0
47,25126,6.888,2,false,12,43,37,6,0,0,37,325,1.5438,0.0015,0,0
48,25133,6.938,2,false,12,43,37,6,0,0,37,325,1.5438,0.0015,0,0
49,25140,6.865,2,false,12,44,37,7,0,0,37,325,1.5438,0.0015,0,0
50,25147,6.945,2,false,12,44,37,7,0,0,37,23,1.5438,0.0015,0,0
51,25154,6.853,2,false,12,44,37,7,0,0,37,30,1.5438,0.0015,0,0
52,25161,6.902,2,false,12,44,37,7,0,0,37,21,1.5438,0.0015,0,0
53,25168,6.931,2,false,12,44,37,7,0,0,38,22,1.5438,0.0015,0,0
