frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23620,5.1,4,false,37,9,3,6,0,0,3,31,1.3929,0.0012,0,0
1,23627,6.908,4,false,37,9,3,6,0,0,3,26,1.3929,0.0012,0,0
2,23634,6.927,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
3,23641,6.86,4,false,37,9,3,6,0,0,3,23,1.3929,0.0012,0,0
4,23648,6.944,4,false,37,9,3,6,0,0,3,19,1.3929,0.0012,0,0
5,23655,6.855,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
6,23662,6.897,4,false,37,9,3,6,0,0,3,23,1.3929,0.0012,0,0
7,23668,6.943,4,false,37,9,3,6,0,0,3,23,1.3929,0.0012,0,0
8,23675,6.859,4,false,37,9,3,6,0,0,3,22,1.3929,0.0012,0,0
9,23682,6.935,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
10,23689,6.873,4,false,37,9,3,6,0,0,3,22,1.3929,0.0012,0,0
11,23696,6.901,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
12,23703,6.924,4,false,37,9,3,6,0,0,3,25,1.3929,0.0012,0,0
13,23710,6.872,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
14,23717,6.955,4,false,37,9,3,6,0,0,3,23,1.3929,0.0012,0,0
15,23724,6.842,4,false,37,9,3,6,0,0,3,36,1.3929,0.0012,0,0
16,23731,6.911,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
17,23737,6.914,4,false,37,9,3,6,0,0,3,32,1.3929,0.0012,0,0
18,23744,6.878,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
19,23751,6.955,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
20,23758,6.879,4,false,37,9,3,6,0,0,3,32,1.3929,0.0012,0,0
21,23765,6.864,4,false,37,9,3,6,0,0,3,35,1.3929,0.0012,0,0
22,23772,6.94,4,false,37,9,3,6,0,0,3,32,1.3929,0.0012,0,0
23,23779,6.876,4,false,37,9,3,6,0,0,3,26,1.3929,0.0012,0,0
24,23786,6.908,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
25,23793,6.87,4,false,37,9,3,6,0,0,3,20,1.3929,0.0012,0,0
26,23800,6.898,4,false,37,9,3,6,0,0,3,23,1.3929,0.0012,0,0
27,23806,6.933,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
28,23813,6.873,4,false,37,9,3,6,0,0,3,19,1.3929,0.0012,0,0
29,23821,7.222,4,false,37,9,3,6,0,0,3,22,1.3929,0.0012,0,0
30,23827,6.576,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
31,23834,6.936,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
32,23841,6.863,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
33,23848,6.9,4,false,37,9,3,6,0,0,3,27,1.3929,0.0012,0,0
34,23855,6.925,4,false,37,9,3,6,0,0,3,28,1.3929,0.0012,0,0
35,23862,6.869,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
36,23869,6.93,4,false,37,9,3,6,0,0,3,15,1.3929,0.0012,0,0
37,23875,6.875,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
38,23882,6.907,4,false,37,9,3,6,0,0,3,19,1.3929,0.0012,0,0
39,23889,6.919,4,false,37,9,3,6,0,0,3,29,1.3929,0.0012,0,0
40,23896,6.875,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
41,23903,6.922,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
42,23910,6.88,4,false,37,9,3,6,0,0,3,16,1.3929,0.0012,0,0
43,23917,6.921,4,false,37,9,3,6,0,0,3,17,1.3929,0.0012,0,0
44,23924,6.872,4,false,37,9,3,6,0,0,3,16,1.3929,0.0012,0,0
45,23931,6.899,4,false,37,9,3,6,0,0,3,19,1.3929,0.0012,0,0
46,23938,6.928,4,false,37,9,3,6,0,0,3,17,1.3929,0.0012,0,0
47,23944,6.879,4,false,37,9,3,6,0,0,3,17,1.3929,0.0012,0,0
48,23951,6.923,4,false,37,9,3,6,0,0,3,20,1.3929,0.0012,0,0
49,23958,6.881,4,false,37,9,3,6,0,0,3,17,1.3929,0.0012,0,0
50,23965,6.895,4,false,37,9,3,6,0,0,3,21,1.3929,0.0012,0,0
51,23972,6.966,4,false,37,9,3,6,0,0,3,22,1.3929,0.0012,0,0
52,23979,6.83,4,false,37,9,3,6,0,0,3,24,1.3929,0.0012,0,0
53,23986,6.921,4,false,37,9,3,6,0,0,3,18,1.3929,0.0012,0,0
54,23993,6.883,4,false,37,9,3,6,0,0,3,16,1.3929,0.0012,0,0
55,24000,6.899,4,false,37,9,3,6,0,0,3,20,1.3929,0.0012,0,0
