frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24974,5.487,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
1,24981,6.871,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
2,24988,6.947,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
3,24995,6.86,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
4,25002,6.952,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
5,25009,6.843,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
6,25016,6.952,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
7,25022,6.848,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
8,25029,6.9,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
9,25036,6.954,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
10,25043,6.85,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
11,25051,6.948,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
12,25057,6.853,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
13,25064,6.896,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
14,25071,6.954,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
15,25078,6.854,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
16,25085,6.926,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
17,25091,6.861,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
18,25098,6.911,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
19,25105,6.92,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
20,25112,6.868,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
21,25119,6.935,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
22,25126,6.854,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
23,25133,6.947,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
24,25140,6.852,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
25,25147,6.916,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
26,25153,6.921,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
27,25160,6.883,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
28,25167,6.941,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
29,25174,6.918,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
30,25181,6.83,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
31,25188,6.93,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
32,25195,6.871,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
33,25202,6.933,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
34,25209,6.873,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
35,25216,6.934,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
36,25222,6.861,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
37,25229,6.905,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
38,25236,6.943,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
39,25243,6.846,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
40,25250,6.935,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
41,25257,6.868,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
42,25264,6.902,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
43,25271,6.945,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
44,25278,6.86,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
45,25285,6.932,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
46,25291,6.87,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
47,25299,6.902,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
48,25305,6.945,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
49,25312,6.855,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
50,25319,6.93,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
51,25326,6.864,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
52,25333,6.949,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
53,25340,6.849,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
54,25347,6.906,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
55,25354,6.937,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
56,25361,6.876,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
57,25368,6.934,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
58,25374,6.856,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
59,25381,6.886,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
60,25388,6.946,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
61,25395,6.866,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
62,25402,6.935,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
63,25409,6.86,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
64,25416,6.935,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
65,25423,6.867,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
66,25429,6.89,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
67,25436,6.959,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
68,25443,6.84,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
69,25450,7.009,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
70,25457,6.799,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
71,25464,6.889,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
72,25471,6.948,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
73,25478,6.861,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
74,25485,6.949,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
75,25492,6.851,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
76,25498,6.903,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
77,25505,6.927,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
78,25512,6.875,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
79,25519,6.955,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
80,25526,6.839,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
81,25533,6.936,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
82,25540,6.855,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
83,25547,6.912,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
84,25554,6.934,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
85,25561,6.865,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
86,25567,6.936,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
87,25574,6.862,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
88,25581,6.904,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
89,25588,6.979,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
90,25595,6.819,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
91,25602,6.928,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
92,25609,6.874,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
93,25616,6.933,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
94,25623,6.866,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
95,25630,6.896,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
96,25637,6.937,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
97,25644,6.875,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
98,25650,6.925,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
99,25657,6.867,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
100,25664,6.895,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
101,25671,6.953,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
102,25678,6.856,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
103,25685,6.946,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
104,25692,6.852,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
105,25699,6.899,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
106,25706,6.943,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
107,25712,6.852,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
108,25719,6.923,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
109,25726,6.871,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
110,25733,6.936,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
111,25740,6.868,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
112,25747,6.898,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
113,25754,6.928,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
114,25761,6.875,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
115,25768,7.12,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
116,25775,6.673,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
117,25781,6.907,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
118,25788,6.916,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
119,25795,6.889,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
120,25802,6.93,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
121,25809,6.867,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
122,25816,6.926,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
123,25823,6.87,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
124,25830,6.903,2,false,25,3,1,2,0,1,1,9245,1.5245,0.001,0,0
