frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24253,3.879,2,false,33,31,25,6,0,0,25,375,2.8784,0.0023,0,0
1,24260,6.913,2,false,33,32,25,7,0,0,25,375,2.8784,0.0023,0,0
2,24267,6.924,2,false,33,32,25,7,0,0,25,40,2.8784,0.0023,0,0
3,24274,6.863,2,false,33,32,25,7,0,0,25,21,2.8784,0.0023,0,0
4,24281,6.949,2,false,33,32,25,7,0,0,25,20,2.8784,0.0023,0,0
5,24288,6.867,2,false,33,32,25,7,0,0,25,21,2.8784,0.0023,0,0
6,24294,6.929,2,false,33,32,25,7,0,0,25,23,2.8784,0.0023,0,0
7,24301,6.852,2,false,33,32,25,7,0,0,26,28,1.5774,0.0012,0,0
8,24308,6.92,2,false,33,32,26,6,0,0,26,329,1.5774,0.0012,0,0
9,24315,6.919,2,false,33,32,26,6,0,0,26,329,1.5774,0.0012,0,0
10,24322,6.866,2,false,33,32,26,6,0,0,26,329,1.5774,0.0012,0,0
11,24329,6.934,2,false,33,33,26,7,0,0,26,329,1.5774,0.0012,0,0
12,24336,6.861,2,false,33,33,26,7,0,0,26,22,1.5774,0.0012,0,0
13,24343,6.907,2,false,33,33,26,7,0,0,26,19,1.5774,0.0012,0,0
14,24350,6.936,2,false,33,33,26,7,0,0,26,20,1.5774,0.0012,0,0
15,24356,6.858,2,false,33,33,26,7,0,0,26,35,1.5774,0.0012,0,0
16,24363,6.929,2,false,33,33,26,7,0,0,26,20,1.5774,0.0012,0,0
17,24370,6.891,2,false,33,33,26,7,0,0,27,17,2.3514,0.0015,0,0
18,24377,6.87,2,false,33,33,27,6,0,0,27,339,2.3514,0.0015,0,0
19,24384,6.941,2,false,33,33,27,6,0,0,27,339,2.3514,0.0015,0,0
20,24391,6.866,2,false,33,33,27,6,0,0,27,339,2.3514,0.0015,0,0
21,24398,6.923,2,false,33,34,27,7,0,0,27,339,2.3514,0.0015,0,0
22,24405,6.884,2,false,33,34,27,7,0,0,27,18,2.3514,0.0015,0,0
23,24412,6.958,2,false,33,34,27,7,0,0,27,21,2.3514,0.0015,0,0
24,24419,7.068,2,false,33,34,27,7,0,0,27,20,2.3514,0.0015,0,0
25,24425,6.665,2,false,33,34,27,7,0,0,27,20,2.3514,0.0015,0,0
26,24432,6.944,2,false,33,34,27,7,0,0,28,18,1.7259,0.0016,0,0
27,24439,6.854,2,false,33,34,28,6,0,0,28,18,1.7259,0.0016,0,0
28,24446,6.969,2,false,33,34,28,6,0,0,28,18,1.7259,0.0016,0,0
29,24453,6.839,2,false,33,34,28,6,0,0,28,18,1.7259,0.0016,0,0
30,24460,6.9,2,false,33,35,28,7,0,0,28,18,1.7259,0.0016,0,0
31,24467,6.945,2,false,33,35,28,7,0,0,28,27,1.7259,0.0016,0,0
32,24474,6.859,2,false,33,35,28,7,0,0,28,22,1.7259,0.0016,0,0
33,24481,6.934,2,false,33,35,28,7,0,0,28,22,1.7259,0.0016,0,0
34,24488,6.867,2,false,33,35,28,7,0,0,28,19,1.7259,0.0016,0,0
35,24494,6.935,2,false,33,35,28,7,0,0,28,28,1.7259,0.0016,0,0
