frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24918,4.776,2,false,12,38,31,7,0,0,32,31,1.8275,0.0025,0,0
1,24925,6.931,2,false,12,38,32,6,0,0,32,17,1.8275,0.0025,0,0
2,24932,6.863,2,false,12,38,32,6,0,0,32,17,1.8275,0.0025,0,0
3,24939,6.889,2,false,12,39,32,7,0,0,32,17,1.8275,0.0025,0,0
4,24946,6.946,2,false,12,39,32,7,0,0,32,23,1.8275,0.0025,0,0
5,24953,6.871,2,false,12,39,32,7,0,0,32,37,1.8275,0.0025,0,0
6,24959,6.941,2,false,12,39,32,7,0,0,32,20,1.8275,0.0025,0,0
7,24966,6.857,2,false,12,39,32,7,0,0,32,21,1.8275,0.0025,0,0
8,24973,6.901,2,false,12,39,32,7,0,0,32,20,1.8275,0.0025,0,0
9,24980,6.937,2,false,12,39,32,7,0,0,33,21,1.5451,0.0011,0,0
10,24987,6.863,2,false,12,39,33,6,0,0,33,330,1.5451,0.0011,0,0
11,24994,6.937,2,false,12,39,33,6,0,0,33,330,1.5451,0.0011,0,0
12,25001,6.86,2,false,12,39,33,6,0,0,33,330,1.5451,0.0011,0,0
13,25008,6.955,2,false,12,40,33,7,0,0,33,330,1.5451,0.0011,0,0
14,25015,6.877,2,false,12,40,33,7,0,0,33,29,1.5451,0.0011,0,0
15,25022,6.88,2,false,12,40,33,7,0,0,33,32,1.5451,0.0011,0,0
16,25028,6.929,2,false,12,40,33,7,0,0,33,28,1.5451,0.0011,0,0
17,25035,6.865,2,false,12,40,33,7,0,0,34,22,1.6582,0.0013,0,0
18,25042,6.911,2,false,12,40,34,6,0,0,34,338,1.6582,0.0013,0,0
19,25049,6.887,2,false,12,40,34,6,0,0,34,338,1.6582,0.0013,0,0
20,25056,6.899,2,false,12,40,34,6,0,0,34,338,1.6582,0.0013,0,0
21,25063,6.942,2,false,12,41,34,7,0,0,34,338,1.6582,0.0013,0,0
22,25070,6.856,2,false,12,41,34,7,0,0,34,26,1.6582,0.0013,0,0
23,25077,6.932,2,false,12,41,34,7,0,0,34,21,1.6582,0.0013,0,0
24,25084,6.871,2,false,12,41,34,7,0,0,34,18,1.6582,0.0013,0,0
25,25091,6.954,2,false,12,41,34,7,0,0,35,21,2.3438,0.0018,0,0
26,25097,6.838,2,false,12,41,35,6,0,0,35,330,2.3438,0.0018,0,0
27,25104,6.902,2,false,12,41,35,6,0,0,35,330,2.3438,0.0018,0,0
28,25111,6.97,2,false,12,41,35,6,0,0,35,330,2.3438,0.0018,0,0
29,25118,6.84,2,false,12,42,35,7,0,0,35,330,2.3438,0.0018,0,0
30,25125,7.002,2,false,12,42,35,7,0,0,35,23,2.3438,0.0018,0,0
31,25132,6.792,2,false,12,42,35,7,0,0,35,30,2.3438,0.0018,0,0
32,25139,6.903,2,false,12,42,35,7,0,0,35,22,2.3438,0.0018,0,0
33,25146,6.93,2,false,12,42,35,7,0,0,36,22,1.471,0.0012,0,0
