frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23339,4.545,2,false,12,8,1,7,0,0,1,18,1.5926,0.0011,0,0
1,23346,6.875,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
2,23353,6.94,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
3,23360,6.856,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
4,23367,6.907,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
5,23374,6.91,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
6,23381,6.881,2,false,12,8,1,7,0,0,1,20,1.5926,0.0011,0,0
7,23388,7.181,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
8,23394,6.613,2,false,12,8,1,7,0,0,1,17,1.5926,0.0011,0,0
9,23401,6.938,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
10,23408,6.865,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
11,23415,6.914,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
12,23422,6.924,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
13,23429,6.874,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
14,23436,6.915,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
15,23443,6.87,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
16,23450,6.909,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
17,23457,6.939,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
18,23463,6.863,2,false,12,8,1,7,0,0,1,22,1.5926,0.0011,0,0
19,23470,6.929,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
20,23477,6.874,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
21,23484,6.925,2,false,12,8,1,7,0,0,1,22,1.5926,0.0011,0,0
22,23491,6.87,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
23,23498,6.901,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
24,23505,6.927,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
25,23512,6.87,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
26,23519,6.924,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
27,23525,6.877,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
28,23532,6.905,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
29,23539,6.942,2,false,12,8,1,7,0,0,1,24,1.5926,0.0011,0,0
30,23546,6.856,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
31,23553,6.943,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
32,23560,6.854,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
33,23567,6.939,2,false,12,8,1,7,0,0,1,17,1.5926,0.0011,0,0
34,23574,6.86,2,false,12,8,1,7,0,0,1,22,1.5926,0.0011,0,0
35,23581,6.897,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
36,23588,6.922,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
37,23594,6.872,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
38,23601,6.938,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
39,23608,6.866,2,false,12,8,1,7,0,0,1,37,1.5926,0.0011,0,0
40,23615,6.914,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
41,23622,6.916,2,false,12,8,1,7,0,0,1,35,1.5926,0.0011,0,0
42,23629,6.868,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
43,23636,6.932,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
44,23643,6.865,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
45,23650,6.931,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
46,23657,6.87,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
47,23664,6.914,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
48,23670,6.921,2,false,12,8,1,7,0,0,1,16,1.5926,0.0011,0,0
49,23677,6.872,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
50,23684,6.924,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
51,23691,6.874,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
52,23698,6.902,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
53,23705,6.919,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
54,23712,6.874,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
55,23719,6.916,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
56,23726,6.904,2,false,12,8,1,7,0,0,1,10,1.5926,0.0011,0,0
57,23732,6.907,2,false,12,8,1,7,0,0,1,15,1.5926,0.0011,0,0
58,23739,6.874,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
59,23746,6.898,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
60,23753,6.928,2,false,12,8,1,7,0,0,1,18,1.5926,0.0011,0,0
61,23760,6.879,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
62,23767,6.919,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
63,23774,6.875,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
64,23781,6.896,2,false,12,8,1,7,0,0,1,19,1.5926,0.0011,0,0
65,23788,6.935,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
66,23795,6.87,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
67,23801,6.917,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
68,23808,6.879,2,false,12,8,1,7,0,0,1,10,1.5926,0.0011,0,0
69,23815,6.924,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
70,23822,6.888,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
71,23829,6.89,2,false,12,8,1,7,0,0,1,28,1.5926,0.0011,0,0
72,23836,6.925,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
73,23843,6.873,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
74,23850,6.931,2,false,12,8,1,7,0,0,1,10,1.5926,0.0011,0,0
75,23857,6.872,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
76,23864,6.897,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
77,23870,6.937,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
78,23877,6.87,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
79,23884,6.933,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
80,23891,6.866,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
81,23898,6.928,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
82,23905,6.87,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
83,23912,6.9,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
84,23919,6.925,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
85,23926,6.878,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
86,23933,6.923,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
87,23939,6.872,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
88,23946,6.902,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
89,23953,6.921,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
90,23960,6.877,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
91,23967,6.918,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
92,23974,6.893,2,false,12,8,1,7,0,0,1,11,1.5926,0.0011,0,0
93,23981,6.926,2,false,12,8,1,7,0,0,1,28,1.5926,0.0011,0,0
94,23988,6.872,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
95,23995,6.899,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
96,24002,6.943,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
97,24008,6.859,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
98,24015,6.923,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
99,24022,6.883,2,false,12,8,1,7,0,0,1,12,1.5926,0.0011,0,0
100,24029,6.892,2,false,12,8,1,7,0,0,1,18,1.5926,0.0011,0,0
101,24036,6.943,2,false,12,8,1,7,0,0,1,13,1.5926,0.0011,0,0
102,24043,6.856,2,false,12,8,1,7,0,0,1,14,1.5926,0.0011,0,0
