frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23257,5.34,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
1,23264,6.856,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
2,23271,6.939,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
3,23278,6.863,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
4,23285,6.897,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
5,23292,6.931,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
6,23299,6.898,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
7,23306,6.934,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
8,23313,6.837,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
9,23320,6.94,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
10,23326,6.862,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
11,23333,6.909,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
12,23340,6.946,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
13,23347,6.85,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
14,23354,6.932,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
15,23361,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
16,23368,6.904,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
17,23375,6.916,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
18,23382,6.869,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
19,23388,6.92,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
20,23395,6.875,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
21,23402,6.926,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
22,23409,6.883,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
23,23416,6.901,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
24,23423,7.013,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
25,23430,6.791,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
26,23437,6.939,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
27,23444,6.874,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
28,23451,6.886,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
29,23458,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
30,23464,6.862,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
31,23471,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
32,23478,6.863,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
33,23485,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
34,23492,6.856,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
35,23499,6.896,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
36,23506,6.949,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
37,23513,6.852,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
38,23520,6.936,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
39,23526,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
40,23533,6.906,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
41,23540,6.922,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
42,23547,6.878,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
43,23554,6.957,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
44,23561,6.83,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
45,23568,6.942,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
46,23575,6.869,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
47,23582,6.892,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
48,23589,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
49,23595,6.872,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
50,23602,6.933,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
51,23609,6.902,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
52,23616,6.859,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
53,23623,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
54,23630,6.873,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
55,23637,6.923,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
56,23644,6.877,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
57,23651,6.929,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
58,23658,6.869,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
59,23664,6.895,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
60,23671,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
61,23678,6.87,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
62,23685,6.931,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
63,23692,6.868,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
64,23699,6.894,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
65,23706,6.941,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
66,23713,6.865,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
67,23720,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
68,23727,6.868,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
69,23733,6.92,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
70,23740,6.881,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
71,23747,6.901,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
72,23754,6.927,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
73,23761,6.87,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
74,23768,6.928,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
75,23775,6.88,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
76,23782,6.905,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
77,23789,6.923,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
78,23796,6.872,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
79,23802,6.934,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
80,23810,6.887,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
81,23816,6.917,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
82,23823,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
83,23830,6.903,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
84,23837,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
85,23844,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
86,23851,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
87,23858,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
88,23865,6.895,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
89,23872,6.944,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
90,23878,6.857,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
91,23886,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
92,23892,6.865,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
93,23899,6.938,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
94,23906,6.867,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
95,23913,6.893,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
96,23920,6.948,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
97,23927,6.872,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
98,23934,6.956,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
99,23940,6.831,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
100,23947,6.897,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
101,23954,6.94,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
102,23961,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
103,23968,6.94,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
104,23975,6.848,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
105,23982,6.933,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
106,23989,6.865,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
107,23996,6.915,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
108,24003,6.912,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
109,24010,6.88,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
110,24016,6.909,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
111,24023,6.88,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
112,24030,6.912,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
113,24037,6.918,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
114,24044,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
115,24051,6.923,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
116,24058,7.218,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
117,24065,6.6,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
118,24072,6.856,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
119,24078,6.903,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
120,24086,6.957,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
121,24092,6.848,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
122,24099,6.933,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
123,24106,6.864,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
124,24113,6.899,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
125,24120,6.937,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
126,24127,6.874,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
127,24134,6.931,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
128,24141,6.872,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
129,24148,7.003,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
130,24154,6.792,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
131,24161,6.902,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
132,24168,6.929,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
133,24175,6.862,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
134,24182,6.945,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
135,24189,6.89,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
136,24196,6.876,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
137,24203,6.92,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
138,24210,6.869,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
139,24217,6.942,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
140,24223,6.858,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
141,24230,6.941,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
142,24237,6.864,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
143,24244,6.904,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
144,24251,6.925,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
145,24258,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
146,24265,6.934,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
147,24272,6.868,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
148,24279,6.906,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
149,24285,6.92,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
150,24293,6.915,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
151,24299,6.892,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
152,24306,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
153,24313,6.921,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
154,24320,6.866,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
155,24327,6.904,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
156,24334,6.935,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
157,24341,6.872,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
158,24348,7.233,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
159,24354,6.561,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
160,24361,6.898,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
161,24368,6.958,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
162,24375,6.844,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
163,24382,6.935,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
164,24389,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
165,24396,6.899,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
166,24403,6.945,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
167,24410,6.849,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
168,24417,6.948,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
169,24423,6.86,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
170,24431,6.929,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
171,24437,6.873,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
172,24444,6.896,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
173,24451,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
174,24458,6.873,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
175,24465,6.94,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
176,24472,6.854,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
177,24479,6.908,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
178,24486,6.934,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
179,24492,6.864,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
180,24499,6.931,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
181,24506,6.865,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
182,24513,6.933,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
183,24520,6.871,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
184,24527,6.9,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
185,24534,6.93,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
186,24541,6.875,2,false,20,2,-1,-1,0,1,0,9169,1.9989,0.001,0,0
