frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24786,4.605,2,false,12,44,37,7,0,0,37,335,1.7949,0.0017,0,0
1,24793,6.941,2,false,12,44,37,7,0,0,37,22,1.7949,0.0017,0,0
2,24800,6.855,2,false,12,44,37,7,0,0,38,18,1.4983,0.001,0,0
3,24807,6.965,2,false,12,44,38,6,0,0,38,363,1.4983,0.001,0,0
4,24813,6.88,2,false,12,44,38,6,0,0,38,363,1.4983,0.001,0,0
5,24820,6.871,2,false,12,44,38,6,0,0,38,363,1.4983,0.001,0,0
6,24827,6.921,2,false,12,45,38,7,0,0,38,363,1.4983,0.001,0,0
7,24834,6.87,2,false,12,45,38,7,0,0,38,20,1.4983,0.001,0,0
8,24841,6.897,2,false,12,45,38,7,0,0,39,22,1.634,0.0016,0,0
9,24848,6.926,2,false,12,45,39,6,0,0,39,318,1.634,0.0016,0,0
10,24855,6.874,2,false,12,45,39,6,0,0,39,318,1.634,0.0016,0,0
11,24862,6.94,2,false,12,45,39,6,0,0,39,318,1.634,0.0016,0,0
12,24869,6.857,2,false,12,46,39,7,0,0,39,318,1.634,0.0016,0,0
13,24876,6.903,2,false,12,46,39,7,0,0,39,23,1.634,0.0016,0,0
14,24882,6.92,2,false,12,46,39,7,0,0,40,21,1.9689,0.0021,0,0
15,24889,6.871,2,false,12,46,40,6,0,0,40,315,1.9689,0.0021,0,0
16,24896,6.941,2,false,12,46,40,6,0,0,40,315,1.9689,0.0021,0,0
17,24903,6.867,2,false,12,46,40,6,0,0,40,315,1.9689,0.0021,0,0
18,24910,6.934,2,false,12,47,40,7,0,0,40,315,1.9689,0.0021,0,0
19,24917,6.857,2,false,12,47,40,7,0,0,40,19,1.9689,0.0021,0,0
20,24924,6.915,2,false,12,47,41,6,0,0,41,16,1.869,0.0018,0,0
21,24931,6.921,2,false,12,47,41,6,0,0,41,500,1.869,0.0018,0,0
22,24938,6.873,2,false,12,47,41,6,0,0,41,500,1.869,0.0018,0,0
23,24945,6.941,2,false,12,48,41,7,0,0,41,500,1.869,0.0018,0,0
24,24951,6.855,2,false,12,48,41,7,0,0,41,19,1.869,0.0018,0,0
25,24958,6.904,2,false,12,48,41,7,0,0,41,54,1.869,0.0018,0,0
26,24965,6.937,2,false,12,48,41,7,0,0,42,20,1.5203,0.0013,0,0
27,24972,6.856,2,false,12,48,42,6,0,0,42,319,1.5203,0.0013,0,0
28,24979,6.943,2,false,12,48,42,6,0,0,42,319,1.5203,0.0013,0,0
29,24986,6.882,2,false,12,48,42,6,0,0,42,319,1.5203,0.0013,0,0
30,24993,6.919,2,false,12,49,42,7,0,0,42,319,1.5203,0.0013,0,0
31,25000,6.94,2,false,12,49,42,7,0,0,42,22,1.5203,0.0013,0,0
32,25007,6.824,2,false,12,49,42,7,0,0,43,22,2.3514,0.0023,0,0
33,25013,6.916,2,false,12,49,43,6,0,0,43,330,2.3514,0.0023,0,0
34,25020,6.888,2,false,12,49,43,6,0,0,43,330,2.3514,0.0023,0,0
35,25027,6.939,2,false,12,49,43,6,0,0,43,330,2.3514,0.0023,0,0
36,25034,6.859,2,false,12,50,43,7,0,0,43,330,2.3514,0.0023,0,0
37,25041,6.897,2,false,12,50,43,7,0,0,43,27,2.3514,0.0023,0,0
38,25048,6.94,2,false,12,50,43,7,0,0,44,20,1.5667,0.0013,0,0
39,25055,6.851,2,false,12,50,44,6,0,0,44,375,1.5667,0.0013,0,0
40,25062,6.983,2,false,12,50,44,6,0,0,44,375,1.5667,0.0013,0,0
41,25069,6.828,2,false,12,50,44,6,0,0,44,375,1.5667,0.0013,0,0
42,25076,6.897,2,false,12,51,44,7,0,0,44,375,1.5667,0.0013,0,0
43,25083,6.939,2,false,12,51,44,7,0,0,44,20,1.5667,0.0013,0,0
44,25090,6.867,2,false,12,51,44,7,0,0,45,24,1.8593,0.0017,0,0
45,25096,6.916,2,false,12,51,45,6,0,0,45,338,1.8593,0.0017,0,0
46,25103,6.875,2,false,12,51,45,6,0,0,45,338,1.8593,0.0017,0,0
47,25110,6.938,2,false,12,51,45,6,0,0,45,338,1.8593,0.0017,0,0
48,25117,6.86,2,false,12,52,45,7,0,0,45,338,1.8593,0.0017,0,0
49,25124,6.904,2,false,12,52,45,7,0,0,45,20,1.8593,0.0017,0,0
50,25131,6.933,2,false,12,52,45,7,0,0,46,21,1.54,0.0011,0,0
