frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24335,1.301,4,false,77,6,2,4,0,0,2,4840,2.3197,0.0018,0,0
1,24400,66.803,4,false,77,6,2,4,0,0,2,4840,2.3197,0.0018,0,0
2,24468,68.357,4,false,77,6,2,4,0,0,2,4840,2.3197,0.0018,0,0
3,24532,63.846,4,false,77,6,2,4,0,0,2,4840,2.3197,0.0018,0,0
4,24660,126.487,4,false,77,7,2,5,0,0,2,4840,2.3197,0.0018,0,0
5,24721,63.016,4,false,77,7,2,5,0,0,2,4840,2.3197,0.0018,0,0
6,24783,61.581,4,false,77,7,2,5,0,0,2,4840,2.3197,0.0018,0,0
7,24848,64.57,4,false,77,7,2,5,0,0,2,4840,2.3197,0.0018,0,0
8,24915,66.547,4,false,77,7,2,5,0,0,2,4840,2.3197,0.0018,0,0
9,25039,126.027,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
10,25106,64.319,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
11,25171,66.339,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
12,25237,65.191,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
13,25305,68.198,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
14,25370,65.484,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
15,25434,63.391,4,false,77,8,2,6,0,0,2,4840,2.3197,0.0018,0,0
16,25526,92.534,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
17,25606,77.796,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
18,25687,83.588,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
19,25766,78.355,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
20,25843,77.973,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
21,25921,76.668,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
22,25998,78.859,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
23,26073,73.933,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
24,26146,73.789,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
25,26220,73.526,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
26,26295,73.642,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
27,26372,76.853,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
28,26467,87.236,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
29,26545,86.839,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
30,26621,74.034,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
31,26700,80.391,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
32,26776,78.676,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
33,26858,78.597,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
34,26936,78.836,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
35,27011,75.28,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
36,27088,78.062,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
37,27165,75.887,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
38,27240,76.593,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
39,27315,74.629,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
40,27392,75.982,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
41,27465,74.474,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
42,27540,73.499,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
43,27615,74.421,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
44,27699,83.411,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
45,27779,78.173,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
46,27855,79.464,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
47,27927,72.008,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
48,28003,75.247,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
49,28075,73.71,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
50,28147,71.418,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
51,28219,73.115,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
52,28294,73.077,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
53,28367,73.525,4,false,77,9,2,7,0,0,2,4840,2.3197,0.0018,0,0
