frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23214,1.17,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
1,23283,68.075,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
2,23345,62.242,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
3,23410,64.273,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
4,23474,65.674,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
5,23541,64.483,4,false,153,6,2,4,0,0,2,718,1.7766,0.0016,0,0
6,23669,131.06,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
7,23733,62.695,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
8,23797,64.154,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
9,23862,66.849,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
10,23924,61.421,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
11,23988,63.649,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
12,24053,65.099,4,false,153,7,2,5,0,0,2,718,1.7766,0.0016,0,0
13,24173,120.811,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
14,24234,60.441,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
15,24299,63.527,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
16,24365,65.397,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
17,24430,66.231,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
18,24495,64.508,4,false,153,8,2,6,0,0,2,718,1.7766,0.0016,0,0
19,24584,88.835,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
20,24658,75.045,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
21,24734,76.456,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
22,24808,73.214,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
23,24881,72.592,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
24,24954,73.862,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
25,25026,71.141,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
26,25098,71.824,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
27,25173,73.298,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
28,25255,84.021,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
29,25335,79.25,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
30,25410,75.172,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
31,25487,78.473,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
32,25567,78.054,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
33,25644,78.771,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
34,25718,73.642,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
35,25794,75.785,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
36,25869,74.579,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
37,25943,73.456,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
38,26016,74.97,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
39,26090,72.876,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
40,26164,74.25,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
41,26238,72.774,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
42,26311,73.486,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
43,26387,77.214,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
44,26458,70.989,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
45,26531,72.012,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
46,26603,73.252,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
47,26675,70.56,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
48,26747,73.28,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
49,26821,73.509,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
50,26892,71.347,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
51,26963,70.124,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
52,27035,73.057,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
53,27107,72.302,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
54,27176,69.801,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
55,27248,72.303,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
56,27321,71.632,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
57,27394,73.521,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
58,27468,73.134,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
59,27546,76.78,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
60,27625,79.331,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
61,27701,76.513,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
62,27774,73.622,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
63,27848,72.645,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
64,27920,72.19,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
65,27994,75.12,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
66,28066,71.002,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
67,28138,73.21,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
68,28214,74.325,4,false,153,9,2,7,0,0,2,718,1.7766,0.0016,0,0
