frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24316,4.902,4,false,18,17,10,7,0,0,10,30,1.9989,0.0016,0,0
1,24323,6.937,4,false,18,17,10,7,0,0,10,28,1.9989,0.0016,0,0
2,24330,6.857,4,false,18,17,10,7,0,0,10,25,1.9989,0.0016,0,0
3,24337,6.924,4,false,18,17,10,7,0,0,10,21,1.9989,0.0016,0,0
4,24344,6.88,4,false,18,17,10,7,0,0,10,17,1.9989,0.0016,0,0
5,24351,6.897,4,false,18,17,10,7,0,0,10,23,1.9989,0.0016,0,0
6,24358,6.958,4,false,18,17,10,7,0,0,10,21,1.9989,0.0016,0,0
7,24364,6.839,4,false,18,17,10,7,0,0,10,34,1.9989,0.0016,0,0
8,24371,6.945,4,false,18,17,10,7,0,0,10,21,1.9989,0.0016,0,0
9,24378,6.87,4,false,18,17,10,7,0,0,10,27,1.9989,0.0016,0,0
10,24385,6.894,4,false,18,17,10,7,0,0,10,34,1.9989,0.0016,0,0
11,24392,6.919,4,false,18,17,10,7,0,0,10,33,1.9989,0.0016,0,0
12,24399,6.869,4,false,18,17,10,7,0,0,10,19,1.9989,0.0016,0,0
13,24408,6.939,4,false,18,17,10,7,0,0,11,21,2.5448,0.0017,0,0
14,24415,9.293,4,false,18,17,11,6,0,0,11,373,2.5448,0.0017,0,0
15,24420,4.471,4,false,18,17,11,6,0,0,11,373,2.5448,0.0017,0,0
16,24426,6.923,4,false,18,17,11,6,0,0,11,373,2.5448,0.0017,0,0
17,24433,6.879,4,false,18,18,11,7,0,0,11,373,2.5448,0.0017,0,0
18,24440,6.937,4,false,18,18,11,7,0,0,11,24,2.5448,0.0017,0,0
19,24447,6.863,4,false,18,18,11,7,0,0,11,23,2.5448,0.0017,0,0
20,24454,6.925,4,false,18,18,11,7,0,0,11,21,2.5448,0.0017,0,0
21,24461,6.876,4,false,18,18,11,7,0,0,11,19,2.5448,0.0017,0,0
22,24468,6.903,4,false,18,18,11,7,0,0,11,25,2.5448,0.0017,0,0
23,24475,6.952,4,false,18,18,11,7,0,0,11,22,2.5448,0.0017,0,0
24,24482,6.845,4,false,18,18,11,7,0,0,11,25,2.5448,0.0017,0,0
25,24489,6.929,4,false,18,18,11,7,0,0,11,24,2.5448,0.0017,0,0
26,24495,6.876,4,false,18,18,11,7,0,0,11,23,2.5448,0.0017,0,0
27,24502,6.901,4,false,18,18,11,7,0,0,11,24,2.5448,0.0017,0,0
28,24509,6.937,4,false,18,18,11,7,0,0,11,22,2.5448,0.0017,0,0
29,24516,6.858,4,false,18,18,11,7,0,0,11,27,2.5448,0.0017,0,0
30,24523,6.947,4,false,18,18,11,7,0,0,11,22,2.5448,0.0017,0,0
31,24530,6.858,4,false,18,18,11,7,0,0,11,25,2.5448,0.0017,0,0
32,24537,6.939,4,false,18,18,11,7,0,0,11,23,2.5448,0.0017,0,0
33,24544,6.865,4,false,18,18,11,7,0,0,11,29,2.5448,0.0017,0,0
34,24551,6.888,4,false,18,18,11,7,0,0,11,37,2.5448,0.0017,0,0
35,24558,6.961,4,false,18,18,11,7,0,0,11,20,2.5448,0.0017,0,0
36,24564,6.849,4,false,18,18,11,7,0,0,11,24,2.5448,0.0017,0,0
37,24571,6.991,4,false,18,18,11,7,0,0,11,27,2.5448,0.0017,0,0
38,24578,6.936,4,false,18,18,11,7,0,0,11,29,2.5448,0.0017,0,0
39,24588,6.766,4,false,18,18,11,7,0,0,12,23,1.4921,0.001,0,0
40,24598,12.899,4,false,18,18,12,6,0,0,12,354,1.4921,0.001,0,0
41,24599,1.336,4,false,18,18,12,6,0,0,12,354,1.4921,0.001,0,0
42,24606,6.512,4,false,18,19,12,7,0,0,12,354,1.4921,0.001,0,0
43,24613,6.854,4,false,18,19,12,7,0,0,12,22,1.4921,0.001,0,0
44,24620,6.901,4,false,18,19,12,7,0,0,12,23,1.4921,0.001,0,0
45,24627,6.939,4,false,18,19,12,7,0,0,12,25,1.4921,0.001,0,0
46,24634,6.867,4,false,18,19,12,7,0,0,12,27,1.4921,0.001,0,0
47,24641,6.954,4,false,18,19,12,7,0,0,12,26,1.4921,0.001,0,0
48,24647,6.858,4,false,18,19,12,7,0,0,12,61,1.4921,0.001,0,0
49,24654,6.924,4,false,18,19,12,7,0,0,12,104,1.4921,0.001,0,0
50,24661,6.86,4,false,18,19,12,7,0,0,12,30,1.4921,0.001,0,0
51,24668,6.899,4,false,18,19,12,7,0,0,12,22,1.4921,0.001,0,0
52,24675,6.93,4,false,18,19,12,7,0,0,12,26,1.4921,0.001,0,0
53,24682,6.865,4,false,18,19,12,7,0,0,12,23,1.4921,0.001,0,0
54,24689,6.942,4,false,18,19,12,7,0,0,12,29,1.4921,0.001,0,0
55,24696,6.86,4,false,18,19,12,7,0,0,12,31,1.4921,0.001,0,0
56,24703,6.908,4,false,18,19,12,7,0,0,12,25,1.4921,0.001,0,0
57,24709,6.936,4,false,18,19,12,7,0,0,12,34,1.4921,0.001,0,0
58,24716,6.86,4,false,18,19,12,7,0,0,12,24,1.4921,0.001,0,0
59,24723,6.944,4,false,18,19,12,7,0,0,12,25,1.4921,0.001,0,0
60,24730,6.857,4,false,18,19,12,7,0,0,12,34,1.4921,0.001,0,0
61,24737,6.925,4,false,18,19,12,7,0,0,12,53,1.4921,0.001,0,0
62,24744,6.871,4,false,18,19,12,7,0,0,12,21,1.4921,0.001,0,0
63,24751,6.902,4,false,18,19,12,7,0,0,12,25,1.4921,0.001,0,0
64,24758,6.948,4,false,18,19,12,7,0,0,12,44,1.4921,0.001,0,0
65,24765,6.846,4,false,18,19,12,7,0,0,12,175,1.4921,0.001,0,0
66,24774,6.932,4,false,18,19,12,7,0,0,13,21,1.525,0.0012,0,0
67,24780,8.672,4,false,18,19,13,6,0,0,13,336,1.525,0.0012,0,0
68,24785,5.097,4,false,18,19,13,6,0,0,13,336,1.525,0.0012,0,0
69,24792,6.938,4,false,18,19,13,6,0,0,13,336,1.525,0.0012,0,0
70,24799,6.864,4,false,18,20,13,7,0,0,13,336,1.525,0.0012,0,0
