frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25376,4.872,2,false,36,32,25,7,0,0,25,34,1.659,0.0009,0,0
1,25383,6.975,2,false,36,32,25,7,0,0,25,24,1.659,0.0009,0,0
2,25389,6.823,2,false,36,32,25,7,0,0,25,37,1.659,0.0009,0,0
3,25396,6.899,2,false,36,32,25,7,0,0,25,20,1.659,0.0009,0,0
4,25403,6.934,2,false,36,32,25,7,0,0,26,19,1.659,0.0009,0,0
5,25410,6.855,2,false,36,32,26,6,0,0,26,18,1.7699,0.0015,0,0
6,25417,6.944,2,false,36,32,26,6,0,0,26,18,1.7699,0.0015,0,0
7,25424,6.872,2,false,36,32,26,6,0,0,26,18,1.7699,0.0015,0,0
8,25431,6.935,2,false,36,33,26,7,0,0,26,18,1.7699,0.0015,0,0
9,25438,6.859,2,false,36,33,26,7,0,0,26,18,1.7699,0.0015,0,0
10,25445,6.914,2,false,36,33,26,7,0,0,26,19,1.7699,0.0015,0,0
11,25452,6.925,2,false,36,33,26,7,0,0,26,21,1.7699,0.0015,0,0
12,25458,6.867,2,false,36,33,26,7,0,0,26,23,1.7699,0.0015,0,0
13,25465,6.936,2,false,36,33,26,7,0,0,26,19,1.7699,0.0015,0,0
14,25472,6.856,2,false,36,33,26,7,0,0,26,22,1.7699,0.0015,0,0
15,25479,6.908,2,false,36,33,27,6,0,0,27,19,2.6317,0.0015,0,0
16,25486,6.923,2,false,36,33,27,6,0,0,27,331,2.6317,0.0015,0,0
17,25493,6.87,2,false,36,33,27,6,0,0,27,331,2.6317,0.0015,0,0
18,25500,6.925,2,false,36,33,27,6,0,0,27,331,2.6317,0.0015,0,0
19,25507,6.874,2,false,36,34,27,7,0,0,27,331,2.6317,0.0015,0,0
20,25514,6.939,2,false,36,34,27,7,0,0,27,19,2.6317,0.0015,0,0
21,25521,6.877,2,false,36,34,27,7,0,0,27,21,2.6317,0.0015,0,0
22,25527,6.886,2,false,36,34,27,7,0,0,27,61,2.6317,0.0015,0,0
23,25534,6.938,2,false,36,34,27,7,0,0,27,20,2.6317,0.0015,0,0
24,25541,6.867,2,false,36,34,27,7,0,0,28,19,1.5725,0.0017,0,0
25,25548,6.922,2,false,36,34,28,6,0,0,28,367,1.5725,0.0017,0,0
26,25555,6.875,2,false,36,34,28,6,0,0,28,367,1.5725,0.0017,0,0
27,25562,6.902,2,false,36,34,28,6,0,0,28,367,1.5725,0.0017,0,0
28,25569,6.959,2,false,36,35,28,7,0,0,28,367,1.5725,0.0017,0,0
29,25576,6.844,2,false,36,35,28,7,0,0,28,32,1.5725,0.0017,0,0
30,25583,6.95,2,false,36,35,28,7,0,0,28,24,1.5725,0.0017,0,0
