frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24990,3.927,2,false,18,29,22,7,0,0,22,30,1.7369,0.0022,0,0
1,24997,6.945,2,false,18,29,22,7,0,0,22,22,1.7369,0.0022,0,0
2,25004,6.853,2,false,18,29,22,7,0,0,22,25,1.7369,0.0022,0,0
3,25011,6.939,2,false,18,29,22,7,0,0,22,19,1.7369,0.0022,0,0
4,25017,6.862,2,false,18,29,22,7,0,0,22,23,1.7369,0.0022,0,0
5,25025,6.906,2,false,18,29,22,7,0,0,22,23,1.7369,0.0022,0,0
6,25031,6.912,2,false,18,29,23,6,0,0,23,32,1.5072,0.0011,0,0
7,25038,6.865,2,false,18,29,23,6,0,0,23,321,1.5072,0.0011,0,0
8,25045,6.939,2,false,18,29,23,6,0,0,23,321,1.5072,0.0011,0,0
9,25052,6.871,2,false,18,30,23,7,0,0,23,321,1.5072,0.0011,0,0
10,25059,6.901,2,false,18,30,23,7,0,0,23,15,1.5072,0.0011,0,0
11,25066,6.93,2,false,18,30,23,7,0,0,23,19,1.5072,0.0011,0,0
12,25073,6.874,2,false,18,30,23,7,0,0,23,19,1.5072,0.0011,0,0
13,25080,7.2,2,false,18,30,23,7,0,0,23,20,1.5072,0.0011,0,0
14,25086,6.603,2,false,18,30,23,7,0,0,23,24,1.5072,0.0011,0,0
15,25093,6.887,2,false,18,30,23,7,0,0,23,22,1.5072,0.0011,0,0
16,25100,6.923,2,false,18,30,24,6,0,0,24,17,1.4754,0.001,0,0
17,25107,6.878,2,false,18,30,24,6,0,0,24,322,1.4754,0.001,0,0
18,25114,6.939,2,false,18,30,24,6,0,0,24,322,1.4754,0.001,0,0
19,25121,6.87,2,false,18,30,24,6,0,0,24,322,1.4754,0.001,0,0
20,25128,6.922,2,false,18,31,24,7,0,0,24,322,1.4754,0.001,0,0
21,25135,6.873,2,false,18,31,24,7,0,0,24,16,1.4754,0.001,0,0
22,25142,6.898,2,false,18,31,24,7,0,0,24,19,1.4754,0.001,0,0
23,25149,6.965,2,false,18,31,24,7,0,0,24,18,1.4754,0.001,0,0
24,25155,6.841,2,false,18,31,24,7,0,0,24,38,1.4754,0.001,0,0
25,25162,6.934,2,false,18,31,24,7,0,0,24,21,1.4754,0.001,0,0
26,25169,6.901,2,false,18,31,25,6,0,0,25,20,1.712,0.0019,0,0
27,25176,6.856,2,false,18,31,25,6,0,0,25,331,1.712,0.0019,0,0
28,25183,6.941,2,false,18,31,25,6,0,0,25,331,1.712,0.0019,0,0
29,25190,6.86,2,false,18,31,25,6,0,0,25,331,1.712,0.0019,0,0
30,25197,6.93,2,false,18,32,25,7,0,0,25,331,1.712,0.0019,0,0
31,25204,6.893,2,false,18,32,25,7,0,0,25,19,1.712,0.0019,0,0
32,25211,6.901,2,false,18,32,25,7,0,0,25,17,1.712,0.0019,0,0
33,25218,6.882,2,false,18,32,25,7,0,0,25,15,1.712,0.0019,0,0
34,25224,6.892,2,false,18,32,25,7,0,0,25,18,1.712,0.0019,0,0
35,25231,6.931,2,false,18,32,25,7,0,0,26,13,1.712,0.0019,0,0
36,25238,6.868,2,false,18,32,26,6,0,0,26,16,1.7212,0.001,0,0
37,25245,6.937,2,false,18,32,26,6,0,0,26,16,1.7212,0.001,0,0
38,25252,6.866,2,false,18,32,26,6,0,0,26,16,1.7212,0.001,0,0
39,25259,6.895,2,false,18,33,26,7,0,0,26,16,1.7212,0.001,0,0
40,25266,6.945,2,false,18,33,26,7,0,0,26,20,1.7212,0.001,0,0
41,25273,6.863,2,false,18,33,26,7,0,0,26,18,1.7212,0.001,0,0
