frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24542,4.824,2,false,18,29,22,7,0,0,22,28,1.8545,0.0014,0,0
1,24549,6.861,2,false,18,29,22,7,0,0,22,21,1.8545,0.0014,0,0
2,24556,6.938,2,false,18,29,22,7,0,0,22,20,1.8545,0.0014,0,0
3,24563,6.866,2,false,18,29,22,7,0,0,23,22,1.8545,0.0014,0,0
4,24570,6.911,2,false,18,29,23,6,0,0,23,20,2.7573,0.002,0,0
5,24577,6.875,2,false,18,29,23,6,0,0,23,20,2.7573,0.002,0,0
6,24584,6.899,2,false,18,29,23,6,0,0,23,20,2.7573,0.002,0,0
7,24591,6.943,2,false,18,30,23,7,0,0,23,20,2.7573,0.002,0,0
8,24597,6.861,2,false,18,30,23,7,0,0,23,23,2.7573,0.002,0,0
9,24604,6.929,2,false,18,30,23,7,0,0,23,17,2.7573,0.002,0,0
10,24611,6.88,2,false,18,30,23,7,0,0,23,18,2.7573,0.002,0,0
11,24618,6.899,2,false,18,30,23,7,0,0,23,20,2.7573,0.002,0,0
12,24625,6.935,2,false,18,30,23,7,0,0,23,19,2.7573,0.002,0,0
13,24632,6.864,2,false,18,30,23,7,0,0,24,21,2.7573,0.002,0,0
14,24639,6.918,2,false,18,30,24,6,0,0,24,18,1.5419,0.0011,0,0
15,24646,6.874,2,false,18,30,24,6,0,0,24,18,1.5419,0.0011,0,0
16,24653,6.906,2,false,18,30,24,6,0,0,24,18,1.5419,0.0011,0,0
17,24659,6.93,2,false,18,31,24,7,0,0,24,18,1.5419,0.0011,0,0
18,24666,6.866,2,false,18,31,24,7,0,0,24,18,1.5419,0.0011,0,0
19,24673,6.932,2,false,18,31,24,7,0,0,24,18,1.5419,0.0011,0,0
20,24680,6.882,2,false,18,31,24,7,0,0,24,16,1.5419,0.0011,0,0
21,24687,6.929,2,false,18,31,24,7,0,0,24,20,1.5419,0.0011,0,0
22,24694,6.867,2,false,18,31,24,7,0,0,24,19,1.5419,0.0011,0,0
23,24701,6.89,2,false,18,31,24,7,0,0,24,21,1.5419,0.0011,0,0
24,24708,6.935,2,false,18,31,24,7,0,0,25,18,1.4579,0.0011,0,0
25,24715,6.861,2,false,18,31,25,6,0,0,25,316,1.4579,0.0011,0,0
26,24722,6.943,2,false,18,31,25,6,0,0,25,316,1.4579,0.0011,0,0
27,24728,6.868,2,false,18,31,25,6,0,0,25,316,1.4579,0.0011,0,0
28,24735,6.891,2,false,18,32,25,7,0,0,25,316,1.4579,0.0011,0,0
29,24742,6.95,2,false,18,32,25,7,0,0,25,18,1.4579,0.0011,0,0
30,24749,6.857,2,false,18,32,25,7,0,0,25,22,1.4579,0.0011,0,0
31,24756,6.941,2,false,18,32,25,7,0,0,25,23,1.4579,0.0011,0,0
32,24763,6.859,2,false,18,32,25,7,0,0,25,24,1.4579,0.0011,0,0
33,24770,6.936,2,false,18,32,25,7,0,0,26,19,1.4579,0.0011,0,0
34,24777,6.861,2,false,18,32,26,6,0,0,26,18,1.5614,0.0017,0,0
35,24784,6.904,2,false,18,32,26,6,0,0,26,18,1.5614,0.0017,0,0
36,24791,6.937,2,false,18,33,26,7,0,0,26,18,1.5614,0.0017,0,0
37,24798,6.863,2,false,18,33,26,7,0,0,26,20,1.5614,0.0017,0,0
38,24804,6.939,2,false,18,33,26,7,0,0,26,19,1.5614,0.0017,0,0
39,24811,6.864,2,false,18,33,26,7,0,0,26,23,1.5614,0.0017,0,0
40,24818,6.899,2,false,18,33,26,7,0,0,26,30,1.5614,0.0017,0,0
41,24825,6.933,2,false,18,33,26,7,0,0,26,23,1.5614,0.0017,0,0
42,24832,6.866,2,false,18,33,26,7,0,0,26,18,1.5614,0.0017,0,0
43,24839,6.974,2,false,18,33,26,7,0,0,26,27,1.5614,0.0017,0,0
44,24846,6.825,2,false,18,33,26,7,0,0,27,24,2.6997,0.0012,0,0
45,24853,6.895,2,false,18,33,27,6,0,0,27,339,2.6997,0.0012,0,0
46,24860,6.932,2,false,18,33,27,6,0,0,27,339,2.6997,0.0012,0,0
47,24866,6.874,2,false,18,33,27,6,0,0,27,339,2.6997,0.0012,0,0
