frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,29814,2.641,2,false,43,31,24,7,0,0,24,503,1.8063,0.0014,0,0
1,29821,6.896,2,false,43,31,24,7,0,0,24,29,1.8063,0.0014,0,0
2,29828,6.942,2,false,43,31,24,7,0,0,24,24,1.8063,0.0014,0,0
3,29835,6.859,2,false,43,31,24,7,0,0,24,21,1.8063,0.0014,0,0
4,29842,6.965,2,false,43,31,24,7,0,0,24,26,1.8063,0.0014,0,0
5,29849,6.843,2,false,43,31,24,7,0,0,24,43,1.8063,0.0014,0,0
6,29856,6.9,2,false,43,31,24,7,0,0,24,35,1.8063,0.0014,0,0
7,29863,6.927,2,false,43,31,24,7,0,0,24,25,1.8063,0.0014,0,0
8,29869,6.88,2,false,43,31,25,6,0,0,25,23,1.7462,0.0017,0,0
9,29876,6.907,2,false,43,31,25,6,0,0,25,586,1.7462,0.0017,0,0
10,29883,6.883,2,false,43,31,25,6,0,0,25,586,1.7462,0.0017,0,0
11,29890,6.892,2,false,43,31,25,6,0,0,25,586,1.7462,0.0017,0,0
12,29897,6.947,2,false,43,32,25,7,0,0,25,586,1.7462,0.0017,0,0
13,29904,6.872,2,false,43,32,25,7,0,0,25,25,1.7462,0.0017,0,0
14,29911,6.984,2,false,43,32,25,7,0,0,25,38,1.7462,0.0017,0,0
15,29918,6.809,2,false,43,32,25,7,0,0,25,31,1.7462,0.0017,0,0
16,29925,6.976,2,false,43,32,25,7,0,0,25,25,1.7462,0.0017,0,0
17,29932,6.822,2,false,43,32,25,7,0,0,25,29,1.7462,0.0017,0,0
18,29938,6.896,2,false,43,32,26,6,0,0,26,60,1.8794,0.0015,0,0
19,29945,6.933,2,false,43,32,26,6,0,0,26,527,1.8794,0.0015,0,0
20,29952,6.867,2,false,43,32,26,6,0,0,26,527,1.8794,0.0015,0,0
21,29959,6.944,2,false,43,32,26,6,0,0,26,527,1.8794,0.0015,0,0
22,29966,6.862,2,false,43,33,26,7,0,0,26,527,1.8794,0.0015,0,0
23,29973,6.895,2,false,43,33,26,7,0,0,26,32,1.8794,0.0015,0,0
24,29980,6.947,2,false,43,33,26,7,0,0,26,24,1.8794,0.0015,0,0
25,29987,6.857,2,false,43,33,26,7,0,0,26,33,1.8794,0.0015,0,0
26,29994,7.103,2,false,43,33,26,7,0,0,26,38,1.8794,0.0015,0,0
27,30000,6.693,2,false,43,33,26,7,0,0,26,27,1.8794,0.0015,0,0
28,30008,6.957,2,false,43,33,26,7,0,0,26,22,1.8794,0.0015,0,0
29,30014,6.838,2,false,43,33,27,6,0,0,27,44,3.6957,0.0025,0,0
30,30021,7.148,2,false,43,33,27,6,0,0,27,618,3.6957,0.0025,0,0
31,30028,6.709,2,false,43,33,27,6,0,0,27,618,3.6957,0.0025,0,0
32,30035,6.844,2,false,43,34,27,7,0,0,27,618,3.6957,0.0025,0,0
33,30042,6.955,2,false,43,34,27,7,0,0,27,31,3.6957,0.0025,0,0
34,30049,6.858,2,false,43,34,27,7,0,0,27,29,3.6957,0.0025,0,0
35,30056,6.902,2,false,43,34,27,7,0,0,27,35,3.6957,0.0025,0,0
36,30063,6.934,2,false,43,34,27,7,0,0,27,21,3.6957,0.0025,0,0
37,30070,6.85,2,false,43,34,27,7,0,0,27,44,3.6957,0.0025,0,0
38,30077,6.951,2,false,43,34,27,7,0,0,27,28,3.6957,0.0025,0,0
39,30083,6.858,2,false,43,34,28,6,0,0,28,31,2.3936,0.003,0,0
40,30091,7.995,2,false,43,34,28,6,0,0,28,587,2.3936,0.003,0,0
41,30098,5.9,2,false,43,34,28,6,0,0,28,587,2.3936,0.003,0,0
42,30104,6.819,2,false,43,34,28,6,0,0,28,587,2.3936,0.003,0,0
43,30111,6.938,2,false,43,35,28,7,0,0,28,587,2.3936,0.003,0,0
44,30118,6.844,2,false,43,35,28,7,0,0,28,27,2.3936,0.003,0,0
45,30125,6.936,2,false,43,35,28,7,0,0,28,25,2.3936,0.003,0,0
46,30132,6.869,2,false,43,35,28,7,0,0,28,24,2.3936,0.003,0,0
47,30139,6.902,2,false,43,35,28,7,0,0,28,26,2.3936,0.003,0,0
48,30145,6.917,2,false,43,35,28,7,0,0,28,29,2.3936,0.003,0,0
49,30152,6.901,2,false,43,35,28,7,0,0,28,23,2.3936,0.003,0,0
50,30159,6.913,2,false,43,35,28,7,0,0,29,30,2.3316,0.0026,0,0
51,30166,6.856,2,false,43,35,29,6,0,0,29,345,2.3316,0.0026,0,0
52,30173,6.91,2,false,43,35,29,6,0,0,29,345,2.3316,0.0026,0,0
53,30180,6.938,2,false,43,35,29,6,0,0,29,345,2.3316,0.0026,0,0
54,30187,6.88,2,false,43,36,29,7,0,0,29,345,2.3316,0.0026,0,0
55,30194,6.92,2,false,43,36,29,7,0,0,29,28,2.3316,0.0026,0,0
