frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,28963,4.611,2,false,12,34,27,7,0,0,27,30,3.2367,0.0016,0,0
1,28970,6.905,2,false,12,34,28,6,0,0,28,35,2.5681,0.0027,0,0
2,28977,6.881,2,false,12,34,28,6,0,0,28,35,2.5681,0.0027,0,0
3,28984,6.894,2,false,12,35,28,7,0,0,28,35,2.5681,0.0027,0,0
4,28991,6.942,2,false,12,35,28,7,0,0,28,20,2.5681,0.0027,0,0
5,28998,6.862,2,false,12,35,28,7,0,0,28,18,2.5681,0.0027,0,0
6,29004,6.951,2,false,12,35,28,7,0,0,28,19,2.5681,0.0027,0,0
7,29011,6.85,2,false,12,35,28,7,0,0,28,21,2.5681,0.0027,0,0
8,29018,6.973,2,false,12,35,28,7,0,0,28,21,2.5681,0.0027,0,0
9,29025,6.826,2,false,12,35,28,7,0,0,29,21,1.6198,0.0013,0,0
10,29032,6.888,2,false,12,35,29,6,0,0,29,337,1.6198,0.0013,0,0
11,29039,6.947,2,false,12,35,29,6,0,0,29,337,1.6198,0.0013,0,0
12,29046,6.863,2,false,12,35,29,6,0,0,29,337,1.6198,0.0013,0,0
13,29053,6.964,2,false,12,36,29,7,0,0,29,337,1.6198,0.0013,0,0
14,29060,6.842,2,false,12,36,29,7,0,0,29,30,1.6198,0.0013,0,0
15,29067,6.913,2,false,12,36,29,7,0,0,29,20,1.6198,0.0013,0,0
16,29073,6.912,2,false,12,36,29,7,0,0,29,20,1.6198,0.0013,0,0
17,29080,6.867,2,false,12,36,29,7,0,0,29,16,1.6198,0.0013,0,0
18,29087,6.939,2,false,12,36,29,7,0,0,30,18,1.8782,0.0015,0,0
19,29094,6.858,2,false,12,36,30,6,0,0,30,430,1.8782,0.0015,0,0
20,29101,6.947,2,false,12,36,30,6,0,0,30,430,1.8782,0.0015,0,0
21,29108,6.861,2,false,12,36,30,6,0,0,30,430,1.8782,0.0015,0,0
22,29115,6.903,2,false,12,37,30,7,0,0,30,430,1.8782,0.0015,0,0
23,29122,6.939,2,false,12,37,30,7,0,0,30,20,1.8782,0.0015,0,0
24,29129,6.86,2,false,12,37,30,7,0,0,30,20,1.8782,0.0015,0,0
25,29135,6.929,2,false,12,37,30,7,0,0,30,19,1.8782,0.0015,0,0
26,29142,6.879,2,false,12,37,30,7,0,0,31,18,1.6062,0.0013,0,0
27,29149,6.88,2,false,12,37,31,6,0,0,31,330,1.6062,0.0013,0,0
28,29156,6.929,2,false,12,37,31,6,0,0,31,330,1.6062,0.0013,0,0
29,29163,6.883,2,false,12,37,31,6,0,0,31,330,1.6062,0.0013,0,0
30,29170,6.93,2,false,12,38,31,7,0,0,31,330,1.6062,0.0013,0,0
31,29177,6.877,2,false,12,38,31,7,0,0,31,21,1.6062,0.0013,0,0
32,29184,6.895,2,false,12,38,31,7,0,0,31,26,1.6062,0.0013,0,0
33,29191,6.937,2,false,12,38,31,7,0,0,31,21,1.6062,0.0013,0,0
34,29198,6.859,2,false,12,38,31,7,0,0,32,20,1.5405,0.0012,0,0
35,29205,6.93,2,false,12,38,32,6,0,0,32,314,1.5405,0.0012,0,0
36,29211,6.87,2,false,12,38,32,6,0,0,32,314,1.5405,0.0012,0,0
37,29218,6.933,2,false,12,38,32,6,0,0,32,314,1.5405,0.0012,0,0
38,29225,6.878,2,false,12,39,32,7,0,0,32,314,1.5405,0.0012,0,0
39,29232,6.919,2,false,12,39,32,7,0,0,32,29,1.5405,0.0012,0,0
40,29239,6.911,2,false,12,39,32,7,0,0,32,22,1.5405,0.0012,0,0
41,29246,6.864,2,false,12,39,32,7,0,0,32,22,1.5405,0.0012,0,0
42,29253,6.936,2,false,12,39,32,7,0,0,33,21,1.6622,0.0014,0,0
43,29260,6.852,2,false,12,39,33,6,0,0,33,326,1.6622,0.0014,0,0
44,29267,6.908,2,false,12,39,33,6,0,0,33,326,1.6622,0.0014,0,0
45,29274,6.942,2,false,12,39,33,6,0,0,33,326,1.6622,0.0014,0,0
46,29280,6.851,2,false,12,40,33,7,0,0,33,326,1.6622,0.0014,0,0
47,29287,6.943,2,false,12,40,33,7,0,0,33,20,1.6622,0.0014,0,0
48,29294,6.86,2,false,12,40,33,7,0,0,33,20,1.6622,0.0014,0,0
49,29301,6.946,2,false,12,40,33,7,0,0,33,18,1.6622,0.0014,0,0
50,29308,6.86,2,false,12,40,33,7,0,0,34,22,1.5651,0.0015,0,0
51,29315,6.888,2,false,12,40,34,6,0,0,34,320,1.5651,0.0015,0,0
52,29322,6.943,2,false,12,40,34,6,0,0,34,320,1.5651,0.0015,0,0
53,29329,6.867,2,false,12,40,34,6,0,0,34,320,1.5651,0.0015,0,0
54,29336,6.973,2,false,12,41,34,7,0,0,34,320,1.5651,0.0015,0,0
55,29343,6.835,2,false,12,41,34,7,0,0,34,41,1.5651,0.0015,0,0
56,29350,6.9,2,false,12,41,34,7,0,0,34,44,1.5651,0.0015,0,0
57,29357,6.928,2,false,12,41,34,7,0,0,34,33,1.5651,0.0015,0,0
58,29363,6.867,2,false,12,41,34,7,0,0,34,26,1.5651,0.0015,0,0
59,29370,6.948,2,false,12,41,35,6,0,0,35,24,2.6608,0.0014,0,0
60,29377,6.836,2,false,12,41,35,6,0,0,35,493,2.6608,0.0014,0,0
61,29384,6.909,2,false,12,41,35,6,0,0,35,493,2.6608,0.0014,0,0
62,29391,6.991,2,false,12,41,35,6,0,0,35,493,2.6608,0.0014,0,0
63,29398,6.824,2,false,12,42,35,7,0,0,35,493,2.6608,0.0014,0,0
64,29405,6.943,2,false,12,42,35,7,0,0,35,26,2.6608,0.0014,0,0
65,29412,6.861,2,false,12,42,35,7,0,0,35,26,2.6608,0.0014,0,0
66,29418,6.921,2,false,12,42,35,7,0,0,35,36,2.6608,0.0014,0,0
67,29425,6.874,2,false,12,42,35,7,0,0,35,20,2.6608,0.0014,0,0
68,29432,6.931,2,false,12,42,35,7,0,0,36,21,1.5473,0.0014,0,0
69,29439,6.885,2,false,12,42,36,6,0,0,36,325,1.5473,0.0014,0,0
70,29446,6.864,2,false,12,42,36,6,0,0,36,325,1.5473,0.0014,0,0
71,29453,6.972,2,false,12,42,36,6,0,0,36,325,1.5473,0.0014,0,0
72,29460,6.849,2,false,12,43,36,7,0,0,36,325,1.5473,0.0014,0,0
73,29467,6.894,2,false,12,43,36,7,0,0,36,25,1.5473,0.0014,0,0
74,29474,6.937,2,false,12,43,36,7,0,0,36,21,1.5473,0.0014,0,0
75,29480,6.853,2,false,12,43,36,7,0,0,36,21,1.5473,0.0014,0,0
76,29487,6.942,2,false,12,43,36,7,0,0,37,19,1.6204,0.0012,0,0
77,29494,6.857,2,false,12,43,37,6,0,0,37,18,1.6204,0.0012,0,0
78,29501,6.954,2,false,12,43,37,6,0,0,37,18,1.6204,0.0012,0,0
79,29508,6.853,2,false,12,43,37,6,0,0,37,18,1.6204,0.0012,0,0
80,29515,6.899,2,false,12,44,37,7,0,0,37,18,1.6204,0.0012,0,0
81,29522,6.933,2,false,12,44,37,7,0,0,37,19,1.6204,0.0012,0,0
82,29529,6.956,2,false,12,44,37,7,0,0,37,18,1.6204,0.0012,0,0
83,29536,6.845,2,false,12,44,37,7,0,0,37,21,1.6204,0.0012,0,0
84,29543,6.861,2,false,12,44,37,7,0,0,37,18,1.6204,0.0012,0,0
85,29550,6.911,2,false,12,44,37,7,0,0,38,17,1.6564,0.0016,0,0
86,29556,6.917,2,false,12,44,38,6,0,0,38,324,1.6564,0.0016,0,0
87,29563,6.884,2,false,12,44,38,6,0,0,38,324,1.6564,0.0016,0,0
88,29570,6.925,2,false,12,45,38,7,0,0,38,324,1.6564,0.0016,0,0
89,29577,6.868,2,false,12,45,38,7,0,0,38,18,1.6564,0.0016,0,0
90,29584,6.902,2,false,12,45,38,7,0,0,38,22,1.6564,0.0016,0,0
91,29591,6.956,2,false,12,45,38,7,0,0,38,19,1.6564,0.0016,0,0
92,29598,6.841,2,false,12,45,38,7,0,0,38,22,1.6564,0.0016,0,0
93,29605,6.925,2,false,12,45,38,7,0,0,39,21,1.5469,0.0015,0,0
94,29612,7.234,2,false,12,45,39,6,0,0,39,330,1.5469,0.0015,0,0
95,29619,6.568,2,false,12,45,39,6,0,0,39,330,1.5469,0.0015,0,0
96,29625,6.87,2,false,12,45,39,6,0,0,39,330,1.5469,0.0015,0,0
97,29632,6.891,2,false,12,46,39,7,0,0,39,330,1.5469,0.0015,0,0
98,29639,6.949,2,false,12,46,39,7,0,0,39,18,1.5469,0.0015,0,0
99,29646,6.86,2,false,12,46,39,7,0,0,39,21,1.5469,0.0015,0,0
100,29653,6.962,2,false,12,46,39,7,0,0,39,19,1.5469,0.0015,0,0
101,29660,6.838,2,false,12,46,39,7,0,0,40,21,1.474,0.0011,0,0
102,29667,6.898,2,false,12,46,40,6,0,0,40,315,1.474,0.0011,0,0
103,29674,6.942,2,false,12,46,40,6,0,0,40,315,1.474,0.0011,0,0
104,29681,6.863,2,false,12,46,40,6,0,0,40,315,1.474,0.0011,0,0
105,29688,6.942,2,false,12,47,40,7,0,0,40,315,1.474,0.0011,0,0
106,29694,6.86,2,false,12,47,40,7,0,0,40,25,1.474,0.0011,0,0
107,29701,6.934,2,false,12,47,40,7,0,0,40,20,1.474,0.0011,0,0
108,29708,6.866,2,false,12,47,40,7,0,0,40,20,1.474,0.0011,0,0
109,29715,6.901,2,false,12,47,41,6,0,0,41,21,1.5625,0.0013,0,0
110,29722,6.92,2,false,12,47,41,6,0,0,41,560,1.5625,0.0013,0,0
111,29729,6.872,2,false,12,47,41,6,0,0,41,560,1.5625,0.0013,0,0
112,29736,6.935,2,false,12,47,41,6,0,0,41,560,1.5625,0.0013,0,0
113,29743,7.069,2,false,12,48,41,7,0,0,41,560,1.5625,0.0013,0,0
114,29750,6.704,2,false,12,48,41,7,0,0,41,19,1.5625,0.0013,0,0
115,29756,6.928,2,false,12,48,41,7,0,0,41,23,1.5625,0.0013,0,0
116,29763,6.877,2,false,12,48,41,7,0,0,41,18,1.5625,0.0013,0,0
117,29770,6.923,2,false,12,48,41,7,0,0,42,25,1.5313,0.001,0,0
118,29777,6.861,2,false,12,48,42,6,0,0,42,324,1.5313,0.001,0,0
119,29784,6.909,2,false,12,48,42,6,0,0,42,324,1.5313,0.001,0,0
120,29791,6.932,2,false,12,48,42,6,0,0,42,324,1.5313,0.001,0,0
121,29798,6.867,2,false,12,49,42,7,0,0,42,324,1.5313,0.001,0,0
122,29805,6.949,2,false,12,49,42,7,0,0,42,24,1.5313,0.001,0,0
123,29812,6.856,2,false,12,49,42,7,0,0,42,22,1.5313,0.001,0,0
124,29819,6.931,2,false,12,49,42,7,0,0,42,23,1.5313,0.001,0,0
125,29826,6.947,2,false,12,49,42,7,0,0,43,23,2.5536,0.0019,0,0
126,29832,6.806,2,false,12,49,43,6,0,0,43,457,2.5536,0.0019,0,0
127,29839,6.944,2,false,12,49,43,6,0,0,43,457,2.5536,0.0019,0,0
128,29846,6.868,2,false,12,49,43,6,0,0,43,457,2.5536,0.0019,0,0
129,29853,6.927,2,false,12,50,43,7,0,0,43,457,2.5536,0.0019,0,0
130,29860,6.875,2,false,12,50,43,7,0,0,43,18,2.5536,0.0019,0,0
131,29867,6.896,2,false,12,50,43,7,0,0,43,21,2.5536,0.0019,0,0
132,29874,6.929,2,false,12,50,43,7,0,0,43,17,2.5536,0.0019,0,0
133,29881,6.868,2,false,12,50,43,7,0,0,44,18,1.44,0.0009,0,0
134,29888,6.923,2,false,12,50,44,6,0,0,44,307,1.44,0.0009,0,0
135,29894,6.888,2,false,12,50,44,6,0,0,44,307,1.44,0.0009,0,0
136,29901,6.925,2,false,12,50,44,6,0,0,44,307,1.44,0.0009,0,0
137,29908,6.871,2,false,12,51,44,7,0,0,44,307,1.44,0.0009,0,0
138,29915,6.927,2,false,12,51,44,7,0,0,44,21,1.44,0.0009,0,0
139,29922,6.898,2,false,12,51,44,7,0,0,44,27,1.44,0.0009,0,0
140,29929,6.867,2,false,12,51,44,7,0,0,44,18,1.44,0.0009,0,0
141,29936,6.934,2,false,12,51,45,6,0,0,45,18,1.739,0.0017,0,0
142,29943,6.87,2,false,12,51,45,6,0,0,45,18,1.739,0.0017,0,0
143,29950,6.892,2,false,12,51,45,6,0,0,45,18,1.739,0.0017,0,0
144,29957,6.933,2,false,12,52,45,7,0,0,45,18,1.739,0.0017,0,0
145,29963,6.87,2,false,12,52,45,7,0,0,45,16,1.739,0.0017,0,0
146,29970,6.957,2,false,12,52,45,7,0,0,45,17,1.739,0.0017,0,0
147,29977,6.847,2,false,12,52,45,7,0,0,45,20,1.739,0.0017,0,0
148,29984,6.895,2,false,12,52,45,7,0,0,45,16,1.739,0.0017,0,0
149,29991,6.938,2,false,12,52,45,7,0,0,46,17,1.6024,0.0017,0,0
150,29998,6.863,2,false,12,52,46,6,0,0,46,321,1.6024,0.0017,0,0
151,30005,6.924,2,false,12,52,46,6,0,0,46,321,1.6024,0.0017,0,0
152,30012,6.87,2,false,12,52,46,6,0,0,46,321,1.6024,0.0017,0,0
153,30019,6.937,2,false,12,53,46,7,0,0,46,321,1.6024,0.0017,0,0
