frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24015,4.523,2,false,12,65,59,6,0,0,59,27,2.3737,0.0019,0,0
1,24022,6.931,2,false,12,65,59,6,0,0,59,27,2.3737,0.0019,0,0
2,24029,6.856,2,false,12,66,59,7,0,0,59,27,2.3737,0.0019,0,0
3,24036,6.856,2,false,12,66,59,7,0,0,60,23,1.7032,0.0016,0,0
4,24043,6.888,2,false,12,66,60,6,0,0,60,229,1.7032,0.0016,0,0
5,24050,6.95,2,false,12,66,60,6,0,0,60,229,1.7032,0.0016,0,0
6,24057,6.887,2,false,12,66,60,6,0,0,60,229,1.7032,0.0016,0,0
7,24064,6.932,2,false,12,67,60,7,0,0,61,229,1.7032,0.0016,0,0
8,24070,6.833,2,false,12,67,61,6,0,0,61,21,1.659,0.0017,0,0
9,24077,6.939,2,false,12,67,61,6,0,0,61,21,1.659,0.0017,0,0
10,24084,6.925,2,false,12,67,61,6,0,0,61,21,1.659,0.0017,0,0
11,24091,6.843,2,false,12,68,61,7,0,0,61,21,1.659,0.0017,0,0
12,24098,6.94,2,false,12,68,61,7,0,0,62,20,1.9244,0.0024,0,0
13,24105,6.93,2,false,12,68,62,6,0,0,62,329,1.9244,0.0024,0,0
14,24112,6.87,2,false,12,68,62,6,0,0,62,329,1.9244,0.0024,0,0
15,24119,6.861,2,false,12,68,62,6,0,0,62,329,1.9244,0.0024,0,0
16,24126,6.902,2,false,12,69,62,7,0,0,62,329,1.9244,0.0024,0,0
17,24133,7.381,2,false,12,69,63,6,0,0,63,26,1.7839,0.0019,0,0
18,24139,6.423,2,false,12,69,63,6,0,0,63,26,1.7839,0.0019,0,0
19,24146,6.984,2,false,12,69,63,6,0,0,63,26,1.7839,0.0019,0,0
20,24153,6.817,2,false,12,70,63,7,0,0,63,26,1.7839,0.0019,0,0
21,24160,6.915,2,false,12,70,63,7,0,0,64,20,1.7839,0.0019,0,0
22,24167,6.895,2,false,12,70,64,6,0,0,64,22,1.9385,0.0016,0,0
23,24174,6.883,2,false,12,70,64,6,0,0,64,22,1.9385,0.0016,0,0
24,24181,6.95,2,false,12,70,64,6,0,0,64,22,1.9385,0.0016,0,0
25,24188,6.857,2,false,12,71,64,7,0,0,64,22,1.9385,0.0016,0,0
26,24195,6.933,2,false,12,71,64,7,0,0,65,21,1.6728,0.0013,0,0
27,24201,6.85,2,false,12,71,65,6,0,0,65,335,1.6728,0.0013,0,0
28,24209,6.955,2,false,12,71,65,6,0,0,65,335,1.6728,0.0013,0,0
29,24215,6.881,2,false,12,71,65,6,0,0,65,335,1.6728,0.0013,0,0
30,24222,6.873,2,false,12,72,65,7,0,0,66,335,1.479,0.0014,0,0
31,24229,6.931,2,false,12,72,66,6,0,0,66,501,1.479,0.0014,0,0
32,24236,6.868,2,false,12,72,66,6,0,0,66,501,1.479,0.0014,0,0
33,24243,6.898,2,false,12,72,66,6,0,0,66,501,1.479,0.0014,0,0
34,24250,7.195,2,false,12,73,66,7,0,0,67,501,2.283,0.0013,0,0
35,24257,6.601,2,false,12,73,67,6,0,0,67,316,2.283,0.0013,0,0
36,24264,6.959,2,false,12,73,67,6,0,0,67,316,2.283,0.0013,0,0
37,24270,6.849,2,false,12,74,67,7,0,0,67,316,2.283,0.0013,0,0
38,24277,6.942,2,false,12,74,68,6,0,0,68,27,2.0791,0.0021,0,0
39,24284,6.866,2,false,12,74,68,6,0,0,68,340,2.0791,0.0021,0,0
40,24291,6.895,2,false,12,74,68,6,0,0,68,340,2.0791,0.0021,0,0
41,24298,6.94,2,false,12,74,68,6,0,0,68,340,2.0791,0.0021,0,0
42,24305,6.862,2,false,12,75,68,7,0,0,69,340,1.8408,0.0017,0,0
43,24312,6.92,2,false,12,75,69,6,0,0,69,334,1.8408,0.0017,0,0
44,24319,6.892,2,false,12,75,69,6,0,0,69,334,1.8408,0.0017,0,0
45,24326,6.881,2,false,12,75,69,6,0,0,69,334,1.8408,0.0017,0,0
46,24333,6.969,2,false,12,76,69,7,0,0,70,334,1.8848,0.0019,0,0
47,24339,6.825,2,false,12,76,70,6,0,0,70,412,1.8848,0.0019,0,0
48,24346,6.954,2,false,12,76,70,6,0,0,70,412,1.8848,0.0019,0,0
49,24353,6.855,2,false,12,76,70,6,0,0,70,412,1.8848,0.0019,0,0
50,24360,6.903,2,false,12,77,70,7,0,0,71,412,1.6426,0.0014,0,0
51,24367,6.914,2,false,12,77,71,6,0,0,71,358,1.6426,0.0014,0,0
52,24374,6.889,2,false,12,77,71,6,0,0,71,358,1.6426,0.0014,0,0
53,24381,6.95,2,false,12,77,71,6,0,0,71,358,1.6426,0.0014,0,0
54,24388,6.843,2,false,12,78,71,7,0,0,72,358,1.7821,0.0021,0,0
55,24395,6.935,2,false,12,78,72,6,0,0,72,329,1.7821,0.0021,0,0
56,24402,6.888,2,false,12,78,72,6,0,0,72,329,1.7821,0.0021,0,0
57,24409,6.875,2,false,12,78,72,6,0,0,72,329,1.7821,0.0021,0,0
58,24415,6.933,2,false,12,79,73,6,0,0,73,329,2.0429,0.0027,0,0
59,24422,6.865,2,false,12,79,73,6,0,0,73,326,2.0429,0.0027,0,0
60,24429,6.947,2,false,12,79,73,6,0,0,73,326,2.0429,0.0027,0,0
61,24436,6.863,2,false,12,79,73,6,0,0,73,326,2.0429,0.0027,0,0
62,24443,6.897,2,false,12,80,73,7,0,0,74,326,2.0429,0.0027,0,0
63,24450,6.925,2,false,12,80,74,6,0,0,74,38,2.5084,0.0018,0,0
64,24457,6.875,2,false,12,80,74,6,0,0,74,38,2.5084,0.0018,0,0
65,24464,7.046,2,false,12,80,74,6,0,0,74,38,2.5084,0.0018,0,0
66,24471,6.75,2,false,12,81,74,7,0,0,74,38,2.5084,0.0018,0,0
67,24478,6.929,2,false,12,81,74,7,0,0,75,22,2.8811,0.0013,0,0
68,24484,6.869,2,false,12,81,75,6,0,0,75,351,2.8811,0.0013,0,0
69,24491,6.907,2,false,12,81,75,6,0,0,75,351,2.8811,0.0013,0,0
70,24498,6.931,2,false,12,81,75,6,0,0,75,351,2.8811,0.0013,0,0
71,24505,6.863,2,false,12,82,76,6,0,0,76,351,2.237,0.0022,0,0
72,24512,6.951,2,false,12,82,76,6,0,0,76,477,2.237,0.0022,0,0
73,24519,6.862,2,false,12,82,76,6,0,0,76,477,2.237,0.0022,0,0
74,24526,6.888,2,false,12,82,76,6,0,0,76,477,2.237,0.0022,0,0
75,24533,6.922,2,false,12,83,76,7,0,0,77,477,1.6638,0.0013,0,0
76,24539,6.866,2,false,12,83,77,6,0,0,77,459,1.6638,0.0013,0,0
77,24546,6.942,2,false,12,83,77,6,0,0,77,459,1.6638,0.0013,0,0
78,24553,6.874,2,false,12,84,77,7,0,0,77,459,1.6638,0.0013,0,0
79,24560,6.891,2,false,12,84,78,6,0,0,78,22,1.6018,0.0009,0,0
80,24567,6.932,2,false,12,84,78,6,0,0,78,494,1.6018,0.0009,0,0
81,24574,6.873,2,false,12,84,78,6,0,0,78,494,1.6018,0.0009,0,0
82,24581,6.931,2,false,12,84,78,6,0,0,78,494,1.6018,0.0009,0,0
83,24588,6.863,2,false,12,85,79,6,0,0,79,494,1.6511,0.0014,0,0
84,24595,6.921,2,false,12,85,79,6,0,0,79,308,1.6511,0.0014,0,0
85,24602,6.887,2,false,12,85,79,6,0,0,79,308,1.6511,0.0014,0,0
86,24609,6.899,2,false,12,85,79,6,0,0,79,308,1.6511,0.0014,0,0
87,24615,6.91,2,false,12,86,80,6,0,0,80,308,1.7328,0.0015,0,0
88,24622,6.89,2,false,12,86,80,6,0,0,80,308,1.7328,0.0015,0,0
89,24629,6.946,2,false,12,86,80,6,0,0,80,308,1.7328,0.0015,0,0
90,24636,6.848,2,false,12,87,80,7,0,0,80,308,1.7328,0.0015,0,0
91,24643,6.9,2,false,12,87,81,6,0,0,81,22,1.5152,0.0014,0,0
92,24650,6.931,2,false,12,87,81,6,0,0,81,310,1.5152,0.0014,0,0
93,24657,6.914,2,false,12,87,81,6,0,0,81,310,1.5152,0.0014,0,0
94,24664,6.891,2,false,12,87,81,6,0,0,81,310,1.5152,0.0014,0,0
95,24672,7.788,2,false,12,88,82,6,0,0,82,310,1.6612,0.002,0,0
96,24678,6.004,2,false,12,88,82,6,0,0,82,310,1.6612,0.002,0,0
97,24684,6.876,2,false,12,88,82,6,0,0,82,310,1.6612,0.002,0,0
98,24691,6.911,2,false,12,89,82,7,0,0,82,310,1.6612,0.002,0,0
99,24698,6.921,2,false,12,89,83,6,0,0,83,26,2.827,0.0015,0,0
100,24705,6.867,2,false,12,89,83,6,0,0,83,330,2.827,0.0015,0,0
101,24712,7.003,2,false,12,89,83,6,0,0,83,330,2.827,0.0015,0,0
102,24719,6.802,2,false,12,89,83,6,0,0,83,330,2.827,0.0015,0,0
103,24726,6.899,2,false,12,90,83,7,0,0,84,330,1.6942,0.0016,0,0
104,24733,6.921,2,false,12,90,84,6,0,0,84,575,1.6942,0.0016,0,0
105,24740,6.881,2,false,12,90,84,6,0,0,84,575,1.6942,0.0016,0,0
106,24747,6.931,2,false,12,90,84,6,0,0,84,575,1.6942,0.0016,0,0
107,24753,6.867,2,false,12,91,85,6,0,0,85,575,1.7892,0.0017,0,0
108,24760,6.889,2,false,12,91,85,6,0,0,85,346,1.7892,0.0017,0,0
109,24767,6.975,2,false,12,91,85,6,0,0,85,346,1.7892,0.0017,0,0
110,24774,6.829,2,false,12,91,85,6,0,0,85,346,1.7892,0.0017,0,0
111,24783,8.834,2,false,12,92,86,6,0,0,86,346,1.4661,0.0012,0,0
112,24788,4.973,2,false,12,92,86,6,0,0,86,346,1.4661,0.0012,0,0
113,24795,6.92,2,false,12,92,86,6,0,0,86,346,1.4661,0.0012,0,0
114,24802,6.876,2,false,12,93,86,7,0,0,87,346,1.8023,0.0013,0,0
115,24809,6.89,2,false,12,93,87,6,0,0,87,119,1.8023,0.0013,0,0
116,24816,6.96,2,false,12,93,87,6,0,0,87,119,1.8023,0.0013,0,0
117,24822,6.853,2,false,12,94,87,7,0,0,87,119,1.8023,0.0013,0,0
118,24829,6.933,2,false,12,94,88,6,0,0,88,34,1.791,0.001,0,0
119,24836,6.86,2,false,12,94,88,6,0,0,88,320,1.791,0.001,0,0
120,24843,6.909,2,false,12,94,88,6,0,0,88,320,1.791,0.001,0,0
121,24850,6.935,2,false,12,94,88,6,0,0,89,320,1.791,0.001,0,0
122,24857,6.957,2,false,12,95,89,6,0,0,89,320,1.5246,0.0011,0,0
123,24864,6.84,2,false,12,95,89,6,0,0,89,320,1.5246,0.0011,0,0
124,24871,6.863,2,false,12,95,89,6,0,0,89,320,1.5246,0.0011,0,0
125,24878,6.977,2,false,12,96,89,7,0,0,89,320,1.5246,0.0011,0,0
126,24884,6.814,2,false,12,96,90,6,0,0,90,33,2.2611,0.0016,0,0
127,24892,6.919,2,false,12,96,90,6,0,0,90,33,2.2611,0.0016,0,0
128,24898,7.006,2,false,12,96,90,6,0,0,90,33,2.2611,0.0016,0,0
129,24905,6.788,2,false,12,97,90,7,0,0,90,33,2.2611,0.0016,0,0
130,24912,6.953,2,false,12,97,90,7,0,0,91,22,2.6996,0.0018,0,0
131,24919,6.841,2,false,12,97,91,6,0,0,91,327,2.6996,0.0018,0,0
132,24926,6.909,2,false,12,97,91,6,0,0,91,327,2.6996,0.0018,0,0
133,24933,6.924,2,false,12,97,91,6,0,0,91,327,2.6996,0.0018,0,0
134,24940,6.863,2,false,12,98,92,6,0,0,92,327,1.9582,0.0014,0,0
135,24947,6.932,2,false,12,98,92,6,0,0,92,314,1.9582,0.0014,0,0
136,24954,6.873,2,false,12,98,92,6,0,0,92,314,1.9582,0.0014,0,0
137,24960,6.916,2,false,12,98,92,6,0,0,93,314,1.9582,0.0014,0,0
138,24967,6.901,2,false,12,99,93,6,0,0,93,314,1.7919,0.001,0,0
139,24974,6.89,2,false,12,99,93,6,0,0,93,314,1.7919,0.001,0,0
140,24981,6.932,2,false,12,99,93,6,0,0,93,314,1.7919,0.001,0,0
141,24988,6.858,2,false,12,100,93,7,0,0,93,314,1.7919,0.001,0,0
142,24995,6.931,2,false,12,100,93,7,0,0,94,19,1.7799,0.0009,0,0
143,25002,6.863,2,false,12,100,94,6,0,0,94,341,1.7799,0.0009,0,0
144,25009,6.915,2,false,12,100,94,6,0,0,94,341,1.7799,0.0009,0,0
145,25016,6.926,2,false,12,100,94,6,0,0,94,341,1.7799,0.0009,0,0
