frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24806,5.106,2,false,20,31,25,6,0,0,25,29,1.5846,0.0015,0,0
1,24813,6.9,2,false,20,32,25,7,0,0,25,29,1.5846,0.0015,0,0
2,24820,6.935,2,false,20,32,25,7,0,0,25,20,1.5846,0.0015,0,0
3,24827,6.86,2,false,20,32,25,7,0,0,25,23,1.5846,0.0015,0,0
4,24834,6.949,2,false,20,32,25,7,0,0,25,16,1.5846,0.0015,0,0
5,24841,6.858,2,false,20,32,25,7,0,0,25,22,1.5846,0.0015,0,0
6,24847,6.932,2,false,20,32,25,7,0,0,25,19,1.5846,0.0015,0,0
7,24854,6.859,2,false,20,32,25,7,0,0,26,19,1.4587,0.0012,0,0
8,24861,6.908,2,false,20,32,26,6,0,0,26,315,1.4587,0.0012,0,0
9,24868,6.945,2,false,20,32,26,6,0,0,26,315,1.4587,0.0012,0,0
10,24875,6.852,2,false,20,32,26,6,0,0,26,315,1.4587,0.0012,0,0
11,24882,6.941,2,false,20,33,26,7,0,0,26,315,1.4587,0.0012,0,0
12,24889,6.859,2,false,20,33,26,7,0,0,26,23,1.4587,0.0012,0,0
13,24896,6.928,2,false,20,33,26,7,0,0,26,22,1.4587,0.0012,0,0
14,24903,6.914,2,false,20,33,26,7,0,0,26,27,1.4587,0.0012,0,0
15,24910,6.864,2,false,20,33,26,7,0,0,26,19,1.4587,0.0012,0,0
16,24916,6.923,2,false,20,33,26,7,0,0,26,19,1.4587,0.0012,0,0
17,24923,6.873,2,false,20,33,26,7,0,0,27,16,2.3682,0.0012,0,0
18,24930,6.962,2,false,20,33,27,6,0,0,27,324,2.3682,0.0012,0,0
19,24937,6.83,2,false,20,33,27,6,0,0,27,324,2.3682,0.0012,0,0
20,24944,6.912,2,false,20,33,27,6,0,0,27,324,2.3682,0.0012,0,0
21,24951,6.92,2,false,20,34,27,7,0,0,27,324,2.3682,0.0012,0,0
22,24958,6.878,2,false,20,34,27,7,0,0,27,18,2.3682,0.0012,0,0
23,24965,6.939,2,false,20,34,27,7,0,0,27,18,2.3682,0.0012,0,0
24,24972,6.857,2,false,20,34,27,7,0,0,27,20,2.3682,0.0012,0,0
25,24979,6.902,2,false,20,34,27,7,0,0,27,20,2.3682,0.0012,0,0
26,24985,6.933,2,false,20,34,27,7,0,0,28,16,1.4752,0.0013,0,0
27,24992,6.869,2,false,20,34,28,6,0,0,28,328,1.4752,0.0013,0,0
28,24999,6.927,2,false,20,34,28,6,0,0,28,328,1.4752,0.0013,0,0
29,25006,6.877,2,false,20,34,28,6,0,0,28,328,1.4752,0.0013,0,0
30,25013,6.896,2,false,20,35,28,7,0,0,28,328,1.4752,0.0013,0,0
31,25020,6.94,2,false,20,35,28,7,0,0,28,19,1.4752,0.0013,0,0
32,25027,6.864,2,false,20,35,28,7,0,0,28,21,1.4752,0.0013,0,0
33,25034,6.94,2,false,20,35,28,7,0,0,28,20,1.4752,0.0013,0,0
34,25041,6.858,2,false,20,35,28,7,0,0,28,20,1.4752,0.0013,0,0
35,25048,6.94,2,false,20,35,28,7,0,0,29,20,1.4752,0.0013,0,0
36,25055,6.857,2,false,20,35,29,6,0,0,29,20,1.5737,0.0017,0,0
37,25062,6.927,2,false,20,35,29,6,0,0,29,20,1.5737,0.0017,0,0
38,25068,6.911,2,false,20,35,29,6,0,0,29,20,1.5737,0.0017,0,0
39,25075,6.866,2,false,20,36,29,7,0,0,29,20,1.5737,0.0017,0,0
40,25082,6.938,2,false,20,36,29,7,0,0,29,21,1.5737,0.0017,0,0
41,25089,6.862,2,false,20,36,29,7,0,0,29,19,1.5737,0.0017,0,0
42,25096,6.903,2,false,20,36,29,7,0,0,29,22,1.5737,0.0017,0,0
43,25103,6.935,2,false,20,36,29,7,0,0,29,22,1.5737,0.0017,0,0
44,25110,6.863,2,false,20,36,29,7,0,0,29,19,1.5737,0.0017,0,0
45,25117,6.991,2,false,20,36,29,7,0,0,30,23,1.5737,0.0017,0,0
46,25123,6.806,2,false,20,36,30,6,0,0,30,20,1.5908,0.0018,0,0
47,25130,6.933,2,false,20,36,30,6,0,0,30,20,1.5908,0.0018,0,0
48,25137,6.867,2,false,20,37,30,7,0,0,30,20,1.5908,0.0018,0,0
49,25144,6.903,2,false,20,37,30,7,0,0,30,21,1.5908,0.0018,0,0
50,25151,6.941,2,false,20,37,30,7,0,0,30,19,1.5908,0.0018,0,0
51,25158,6.867,2,false,20,37,30,7,0,0,30,23,1.5908,0.0018,0,0
52,25165,6.927,2,false,20,37,30,7,0,0,30,29,1.5908,0.0018,0,0
53,25172,6.867,2,false,20,37,30,7,0,0,30,22,1.5908,0.0018,0,0
54,25179,6.894,2,false,20,37,30,7,0,0,30,21,1.5908,0.0018,0,0
55,25186,6.944,2,false,20,37,30,7,0,0,30,27,1.5908,0.0018,0,0
56,25193,6.86,2,false,20,37,30,7,0,0,31,22,1.8068,0.0014,0,0
57,25199,6.908,2,false,20,37,31,6,0,0,31,364,1.8068,0.0014,0,0
58,25206,6.886,2,false,20,37,31,6,0,0,31,364,1.8068,0.0014,0,0
59,25213,6.906,2,false,20,37,31,6,0,0,31,364,1.8068,0.0014,0,0
60,25220,6.933,2,false,20,38,31,7,0,0,31,364,1.8068,0.0014,0,0
61,25227,6.86,2,false,20,38,31,7,0,0,31,19,1.8068,0.0014,0,0
62,25234,6.939,2,false,20,38,31,7,0,0,31,22,1.8068,0.0014,0,0
63,25241,6.865,2,false,20,38,31,7,0,0,31,19,1.8068,0.0014,0,0
64,25248,6.938,2,false,20,38,31,7,0,0,31,20,1.8068,0.0014,0,0
65,25255,6.861,2,false,20,38,31,7,0,0,31,23,1.8068,0.0014,0,0
66,25262,6.908,2,false,20,38,31,7,0,0,32,20,1.5969,0.0015,0,0
67,25268,6.933,2,false,20,38,32,6,0,0,32,540,1.5969,0.0015,0,0
68,25275,6.854,2,false,20,38,32,6,0,0,32,540,1.5969,0.0015,0,0
69,25282,6.939,2,false,20,38,32,6,0,0,32,540,1.5969,0.0015,0,0
70,25289,6.864,2,false,20,39,32,7,0,0,32,540,1.5969,0.0015,0,0
71,25296,6.9,2,false,20,39,32,7,0,0,32,20,1.5969,0.0015,0,0
72,25303,6.945,2,false,20,39,32,7,0,0,32,23,1.5969,0.0015,0,0
73,25310,6.872,2,false,20,39,32,7,0,0,32,20,1.5969,0.0015,0,0
74,25317,6.915,2,false,20,39,32,7,0,0,32,27,1.5969,0.0015,0,0
75,25324,6.867,2,false,20,39,32,7,0,0,32,18,1.5969,0.0015,0,0
76,25331,6.946,2,false,20,39,32,7,0,0,33,19,1.5853,0.0019,0,0
