frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23069,4.327,4,false,37,12,5,7,0,0,5,39,2.1079,0.0022,0,0
1,23076,6.865,4,false,37,12,5,7,0,0,5,25,2.1079,0.0022,0,0
2,23083,6.908,4,false,37,12,5,7,0,0,5,21,2.1079,0.0022,0,0
3,23090,6.935,4,false,37,12,5,7,0,0,5,21,2.1079,0.0022,0,0
4,23097,6.864,4,false,37,12,5,7,0,0,5,24,2.1079,0.0022,0,0
5,23104,6.926,4,false,37,12,5,7,0,0,5,23,2.1079,0.0022,0,0
6,23111,6.871,4,false,37,12,5,7,0,0,5,19,2.1079,0.0022,0,0
7,23118,6.945,4,false,37,12,5,7,0,0,5,20,2.1079,0.0022,0,0
8,23125,6.859,4,false,37,12,5,7,0,0,5,22,2.1079,0.0022,0,0
9,23131,6.898,4,false,37,12,5,7,0,0,5,21,2.1079,0.0022,0,0
10,23138,6.927,4,false,37,12,5,7,0,0,5,21,2.1079,0.0022,0,0
11,23146,6.874,4,false,37,12,5,7,0,0,6,25,1.8414,0.0016,0,0
12,23152,7.197,4,false,37,12,6,6,0,0,6,305,1.8414,0.0016,0,0
13,23159,6.601,4,false,37,12,6,6,0,0,6,305,1.8414,0.0016,0,0
14,23166,6.905,4,false,37,12,6,6,0,0,6,305,1.8414,0.0016,0,0
15,23173,6.928,4,false,37,13,6,7,0,0,6,305,1.8414,0.0016,0,0
16,23180,6.873,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
17,23187,6.934,4,false,37,13,6,7,0,0,6,26,1.8414,0.0016,0,0
18,23194,6.86,4,false,37,13,6,7,0,0,6,24,1.8414,0.0016,0,0
19,23200,6.916,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
20,23207,6.883,4,false,37,13,6,7,0,0,6,16,1.8414,0.0016,0,0
21,23214,6.899,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
22,23222,6.981,4,false,37,13,6,7,0,0,6,19,1.8414,0.0016,0,0
23,23228,6.817,4,false,37,13,6,7,0,0,6,53,1.8414,0.0016,0,0
24,23235,6.944,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
25,23242,6.851,4,false,37,13,6,7,0,0,6,19,1.8414,0.0016,0,0
26,23249,6.904,4,false,37,13,6,7,0,0,6,19,1.8414,0.0016,0,0
27,23256,6.94,4,false,37,13,6,7,0,0,6,18,1.8414,0.0016,0,0
28,23262,6.853,4,false,37,13,6,7,0,0,6,22,1.8414,0.0016,0,0
29,23269,6.945,4,false,37,13,6,7,0,0,6,15,1.8414,0.0016,0,0
30,23276,6.867,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
31,23283,6.901,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
32,23290,6.92,4,false,37,13,6,7,0,0,6,21,1.8414,0.0016,0,0
33,23297,6.869,4,false,37,13,6,7,0,0,6,16,1.8414,0.0016,0,0
34,23304,6.94,4,false,37,13,6,7,0,0,6,16,1.8414,0.0016,0,0
35,23311,6.87,4,false,37,13,6,7,0,0,6,18,1.8414,0.0016,0,0
36,23318,6.929,4,false,37,13,6,7,0,0,6,22,1.8414,0.0016,0,0
37,23326,6.881,4,false,37,13,6,7,0,0,7,21,1.4914,0.001,0,0
38,23334,9.487,4,false,37,13,7,6,0,0,7,1090,1.4914,0.001,0,0
39,23339,4.707,4,false,37,13,7,6,0,0,7,1090,1.4914,0.001,0,0
40,23345,6.486,4,false,37,13,7,6,0,0,7,1090,1.4914,0.001,0,0
41,23352,6.929,4,false,37,14,7,7,0,0,7,1090,1.4914,0.001,0,0
42,23359,6.869,4,false,37,14,7,7,0,0,7,19,1.4914,0.001,0,0
43,23366,6.9,4,false,37,14,7,7,0,0,7,16,1.4914,0.001,0,0
44,23373,6.931,4,false,37,14,7,7,0,0,7,17,1.4914,0.001,0,0
45,23380,6.873,4,false,37,14,7,7,0,0,7,18,1.4914,0.001,0,0
46,23387,6.932,4,false,37,14,7,7,0,0,7,18,1.4914,0.001,0,0
47,23394,6.869,4,false,37,14,7,7,0,0,7,17,1.4914,0.001,0,0
48,23401,6.936,4,false,37,14,7,7,0,0,7,17,1.4914,0.001,0,0
49,23408,6.873,4,false,37,14,7,7,0,0,7,20,1.4914,0.001,0,0
50,23414,6.892,4,false,37,14,7,7,0,0,7,27,1.4914,0.001,0,0
51,23421,6.921,4,false,37,14,7,7,0,0,7,17,1.4914,0.001,0,0
52,23428,6.88,4,false,37,14,7,7,0,0,7,15,1.4914,0.001,0,0
53,23435,6.971,4,false,37,14,7,7,0,0,7,23,1.4914,0.001,0,0
54,23442,6.832,4,false,37,14,7,7,0,0,7,20,1.4914,0.001,0,0
55,23449,6.896,4,false,37,14,7,7,0,0,7,19,1.4914,0.001,0,0
56,23456,6.931,4,false,37,14,7,7,0,0,7,16,1.4914,0.001,0,0
57,23463,6.869,4,false,37,14,7,7,0,0,7,18,1.4914,0.001,0,0
58,23470,6.952,4,false,37,14,7,7,0,0,7,17,1.4914,0.001,0,0
59,23476,6.846,4,false,37,14,7,7,0,0,7,21,1.4914,0.001,0,0
60,23483,6.899,4,false,37,14,7,7,0,0,7,18,1.4914,0.001,0,0
61,23490,6.943,4,false,37,14,7,7,0,0,7,16,1.4914,0.001,0,0
62,23497,6.86,4,false,37,14,7,7,0,0,7,19,1.4914,0.001,0,0
63,23504,6.924,4,false,37,14,7,7,0,0,7,20,1.4914,0.001,0,0
64,23515,11.398,4,false,37,14,8,6,0,0,8,20,1.5327,0.0015,0,0
65,23518,3.1,4,false,37,14,8,6,0,0,8,20,1.5327,0.0015,0,0
66,23525,6.172,4,false,37,14,8,6,0,0,8,20,1.5327,0.0015,0,0
67,23532,6.908,4,false,37,15,8,7,0,0,8,20,1.5327,0.0015,0,0
68,23539,6.929,4,false,37,15,8,7,0,0,8,22,1.5327,0.0015,0,0
69,23545,6.863,4,false,37,15,8,7,0,0,8,18,1.5327,0.0015,0,0
70,23552,6.932,4,false,37,15,8,7,0,0,8,15,1.5327,0.0015,0,0
71,23559,6.869,4,false,37,15,8,7,0,0,8,22,1.5327,0.0015,0,0
72,23566,6.909,4,false,37,15,8,7,0,0,8,16,1.5327,0.0015,0,0
73,23573,6.928,4,false,37,15,8,7,0,0,8,19,1.5327,0.0015,0,0
74,23580,6.867,4,false,37,15,8,7,0,0,8,15,1.5327,0.0015,0,0
75,23587,6.922,4,false,37,15,8,7,0,0,8,17,1.5327,0.0015,0,0
76,23594,6.886,4,false,37,15,8,7,0,0,8,15,1.5327,0.0015,0,0
77,23601,6.925,4,false,37,15,8,7,0,0,8,19,1.5327,0.0015,0,0
78,23607,6.863,4,false,37,15,8,7,0,0,8,18,1.5327,0.0015,0,0
79,23614,6.911,4,false,37,15,8,7,0,0,8,15,1.5327,0.0015,0,0
80,23621,6.923,4,false,37,15,8,7,0,0,8,19,1.5327,0.0015,0,0
81,23628,6.877,4,false,37,15,8,7,0,0,8,16,1.5327,0.0015,0,0
82,23635,6.922,4,false,37,15,8,7,0,0,8,17,1.5327,0.0015,0,0
83,23642,6.873,4,false,37,15,8,7,0,0,8,16,1.5327,0.0015,0,0
84,23649,6.896,4,false,37,15,8,7,0,0,8,18,1.5327,0.0015,0,0
85,23656,6.941,4,false,37,15,8,7,0,0,8,16,1.5327,0.0015,0,0
86,23663,6.866,4,false,37,15,8,7,0,0,8,103,1.5327,0.0015,0,0
87,23670,6.923,4,false,37,15,8,7,0,0,8,19,1.5327,0.0015,0,0
88,23677,6.884,4,false,37,15,8,7,0,0,8,19,1.5327,0.0015,0,0
89,23683,6.923,4,false,37,15,8,7,0,0,8,24,1.5327,0.0015,0,0
90,23692,6.879,4,false,37,15,8,7,0,0,9,21,1.7453,0.0013,0,0
91,23697,7.013,4,false,37,15,9,6,0,0,9,317,1.7453,0.0013,0,0
