frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24939,3.558,2,false,13,59,52,7,0,0,52,41,1.6446,0.0014,0,0
1,24946,6.936,2,false,13,59,52,7,0,0,53,22,1.9886,0.0021,0,0
2,24953,6.857,2,false,13,59,53,6,0,0,53,19,1.9886,0.0021,0,0
3,24960,6.914,2,false,13,59,53,6,0,0,53,19,1.9886,0.0021,0,0
4,24967,6.939,2,false,13,59,53,6,0,0,53,19,1.9886,0.0021,0,0
5,24973,6.85,2,false,13,60,53,7,0,0,53,19,1.9886,0.0021,0,0
6,24980,6.934,2,false,13,60,53,7,0,0,54,18,1.8964,0.0014,0,0
7,24987,6.86,2,false,13,60,54,6,0,0,54,18,1.8964,0.0014,0,0
8,24994,6.926,2,false,13,60,54,6,0,0,54,18,1.8964,0.0014,0,0
9,25001,6.921,2,false,13,60,54,6,0,0,54,18,1.8964,0.0014,0,0
10,25008,6.861,2,false,13,61,54,7,0,0,55,18,1.8964,0.0014,0,0
11,25015,6.917,2,false,13,61,55,6,0,0,55,19,1.793,0.0016,0,0
12,25022,6.887,2,false,13,61,55,6,0,0,55,19,1.793,0.0016,0,0
13,25029,6.949,2,false,13,61,55,6,0,0,55,19,1.793,0.0016,0,0
14,25035,6.844,2,false,13,62,55,7,0,0,55,19,1.793,0.0016,0,0
15,25042,6.909,2,false,13,62,55,7,0,0,56,17,1.6858,0.0017,0,0
16,25049,6.917,2,false,13,62,56,6,0,0,56,328,1.6858,0.0017,0,0
17,25056,6.885,2,false,13,62,56,6,0,0,56,328,1.6858,0.0017,0,0
18,25063,6.966,2,false,13,62,56,6,0,0,56,328,1.6858,0.0017,0,0
19,25070,6.827,2,false,13,63,56,7,0,0,57,328,1.7769,0.0014,0,0
20,25077,6.893,2,false,13,63,57,6,0,0,57,19,1.7769,0.0014,0,0
21,25084,6.94,2,false,13,63,57,6,0,0,57,19,1.7769,0.0014,0,0
22,25091,6.873,2,false,13,63,57,6,0,0,57,19,1.7769,0.0014,0,0
23,25098,6.925,2,false,13,64,57,7,0,0,57,19,1.7769,0.0014,0,0
24,25105,6.871,2,false,13,64,57,7,0,0,58,19,1.5905,0.0014,0,0
25,25111,6.92,2,false,13,64,58,6,0,0,58,317,1.5905,0.0014,0,0
26,25118,6.889,2,false,13,64,58,6,0,0,58,317,1.5905,0.0014,0,0
27,25125,6.895,2,false,13,64,58,6,0,0,58,317,1.5905,0.0014,0,0
28,25132,6.931,2,false,13,65,58,7,0,0,59,317,1.5905,0.0014,0,0
29,25139,6.86,2,false,13,65,59,6,0,0,59,21,2.5268,0.0015,0,0
30,25146,7.04,2,false,13,65,59,6,0,0,59,21,2.5268,0.0015,0,0
31,25153,6.785,2,false,13,65,59,6,0,0,59,21,2.5268,0.0015,0,0
32,25160,6.879,2,false,13,66,59,7,0,0,59,21,2.5268,0.0015,0,0
33,25167,6.936,2,false,13,66,59,7,0,0,60,20,1.5993,0.0015,0,0
34,25173,6.856,2,false,13,66,60,6,0,0,60,247,1.5993,0.0015,0,0
35,25181,6.981,2,false,13,66,60,6,0,0,60,247,1.5993,0.0015,0,0
36,25187,6.827,2,false,13,66,60,6,0,0,60,247,1.5993,0.0015,0,0
37,25194,6.903,2,false,13,67,60,7,0,0,61,247,1.5993,0.0015,0,0
38,25201,6.913,2,false,13,67,61,6,0,0,61,23,2.1371,0.0022,0,0
39,25208,6.889,2,false,13,67,61,6,0,0,61,23,2.1371,0.0022,0,0
40,25215,6.939,2,false,13,68,61,7,0,0,61,23,2.1371,0.0022,0,0
41,25222,6.86,2,false,13,68,61,7,0,0,61,25,2.1371,0.0022,0,0
42,25229,6.932,2,false,13,68,61,7,0,0,62,51,1.6374,0.0011,0,0
43,25236,6.854,2,false,13,68,62,6,0,0,62,342,1.6374,0.0011,0,0
44,25243,6.919,2,false,13,68,62,6,0,0,62,342,1.6374,0.0011,0,0
45,25249,6.936,2,false,13,68,62,6,0,0,62,342,1.6374,0.0011,0,0
46,25256,6.86,2,false,13,69,62,7,0,0,63,342,1.6374,0.0011,0,0
47,25263,6.911,2,false,13,69,63,6,0,0,63,20,1.671,0.0016,0,0
48,25270,6.89,2,false,13,69,63,6,0,0,63,20,1.671,0.0016,0,0
49,25277,6.901,2,false,13,69,63,6,0,0,63,20,1.671,0.0016,0,0
50,25284,6.985,2,false,13,70,63,7,0,0,63,20,1.671,0.0016,0,0
51,25291,6.811,2,false,13,70,63,7,0,0,64,25,1.671,0.0016,0,0
52,25298,6.926,2,false,13,70,64,6,0,0,64,19,3.1992,0.0019,0,0
53,25305,6.884,2,false,13,70,64,6,0,0,64,19,3.1992,0.0019,0,0
54,25312,6.928,2,false,13,70,64,6,0,0,64,19,3.1992,0.0019,0,0
55,25319,6.865,2,false,13,71,64,7,0,0,64,19,3.1992,0.0019,0,0
56,25325,6.891,2,false,13,71,64,7,0,0,64,27,3.1992,0.0019,0,0
57,25332,6.935,2,false,13,71,65,6,0,0,65,17,1.6499,0.0013,0,0
58,25339,6.876,2,false,13,71,65,6,0,0,65,17,1.6499,0.0013,0,0
59,25346,6.94,2,false,13,71,65,6,0,0,65,17,1.6499,0.0013,0,0
60,25353,6.851,2,false,13,72,65,7,0,0,65,17,1.6499,0.0013,0,0
61,25360,6.9,2,false,13,72,65,7,0,0,66,21,1.6499,0.0013,0,0
62,25367,6.924,2,false,13,72,66,6,0,0,66,24,1.9096,0.0015,0,0
63,25374,6.881,2,false,13,72,66,6,0,0,66,24,1.9096,0.0015,0,0
64,25381,6.946,2,false,13,72,66,6,0,0,66,24,1.9096,0.0015,0,0
