frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25037,1.486,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
1,25102,65.096,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
2,25162,61.519,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
3,25226,63.317,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
4,25291,63.346,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
5,25355,66.149,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
6,25420,64.044,4,false,157,6,2,4,0,0,2,735,1.4694,0.0013,0,0
7,25551,130.688,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
8,25615,64.451,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
9,25681,64.743,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
10,25746,64.908,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
11,25812,66.098,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
12,25879,67.187,4,false,157,7,2,5,0,0,2,735,1.4694,0.0013,0,0
13,26015,135.17,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
14,26078,64.151,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
15,26140,63.033,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
16,26204,62.683,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
17,26266,63.405,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
18,26329,62.571,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
19,26393,64.08,4,false,157,8,2,6,0,0,2,735,1.4694,0.0013,0,0
20,26481,88.301,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
21,26553,72.061,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
22,26624,71.903,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
23,26696,70.3,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
24,26770,74.157,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
25,26844,74.499,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
26,26929,77.819,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
27,27009,85.818,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
28,27088,78.453,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
29,27170,82.189,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
30,27254,86.022,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
31,27329,74.609,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
32,27407,76.799,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
33,27483,76.081,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
34,27559,75.915,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
35,27634,75.651,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
36,27709,74.533,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
37,27781,72.907,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
38,27855,73.465,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
39,27929,74.801,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
40,28002,72.246,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
41,28075,74.05,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
42,28146,71.163,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
43,28216,70.283,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
44,28288,71.588,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
45,28362,73.625,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
46,28434,71.99,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
47,28504,72.517,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
48,28576,68.442,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
49,28648,74.668,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
50,28720,71.51,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
51,28793,71.562,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
52,28867,73.808,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
53,28940,74.707,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
54,29011,70.956,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
55,29081,69.817,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
56,29152,70.729,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
57,29224,71.745,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
58,29295,71.124,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
59,29365,70.021,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
60,29436,70.618,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
61,29510,72.699,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
62,29581,72.856,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
63,29654,71.783,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
64,29726,73.03,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
65,29799,72.532,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
66,29869,70.67,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
67,29942,73.27,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
68,30013,70.689,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
69,30085,71.622,4,false,157,9,2,7,0,0,2,735,1.4694,0.0013,0,0
