frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23905,4.453,4,false,13,11,4,7,0,0,4,41,1.5443,0.001,0,0
1,23911,6.898,4,false,13,11,4,7,0,0,4,28,1.5443,0.001,0,0
2,23919,6.964,4,false,13,11,4,7,0,0,4,26,1.5443,0.001,0,0
3,23925,6.838,4,false,13,11,4,7,0,0,4,26,1.5443,0.001,0,0
4,23932,6.954,4,false,13,11,4,7,0,0,4,34,1.5443,0.001,0,0
5,23939,6.845,4,false,13,11,4,7,0,0,5,21,1.5443,0.001,0,0
6,23946,6.978,4,false,13,11,5,6,0,0,5,22,1.5777,0.0012,0,0
7,23953,6.839,4,false,13,11,5,6,0,0,5,22,1.5777,0.0012,0,0
8,23960,6.877,4,false,13,11,5,6,0,0,5,22,1.5777,0.0012,0,0
9,23967,6.931,4,false,13,12,5,7,0,0,5,22,1.5777,0.0012,0,0
10,23973,6.857,4,false,13,12,5,7,0,0,5,23,1.5777,0.0012,0,0
11,23980,6.909,4,false,13,12,5,7,0,0,5,17,1.5777,0.0012,0,0
12,23987,6.956,4,false,13,12,5,7,0,0,5,21,1.5777,0.0012,0,0
13,23994,6.84,4,false,13,12,5,7,0,0,5,36,1.5777,0.0012,0,0
14,24001,6.934,4,false,13,12,5,7,0,0,5,27,1.5777,0.0012,0,0
15,24008,6.868,4,false,13,12,5,7,0,0,5,20,1.5777,0.0012,0,0
16,24015,6.938,4,false,13,12,5,7,0,0,5,28,1.5777,0.0012,0,0
17,24022,6.869,4,false,13,12,5,7,0,0,5,26,1.5777,0.0012,0,0
18,24029,6.903,4,false,13,12,5,7,0,0,5,25,1.5777,0.0012,0,0
19,24036,6.918,4,false,13,12,5,7,0,0,5,25,1.5777,0.0012,0,0
20,24042,6.875,4,false,13,12,5,7,0,0,5,20,1.5777,0.0012,0,0
21,24049,6.939,4,false,13,12,5,7,0,0,5,29,1.5777,0.0012,0,0
22,24056,6.859,4,false,13,12,5,7,0,0,5,24,1.5777,0.0012,0,0
23,24063,6.898,4,false,13,12,5,7,0,0,5,41,1.5777,0.0012,0,0
24,24070,6.929,4,false,13,12,5,7,0,0,5,22,1.5777,0.0012,0,0
25,24077,6.873,4,false,13,12,5,7,0,0,5,19,1.5777,0.0012,0,0
26,24084,6.956,4,false,13,12,5,7,0,0,5,22,1.5777,0.0012,0,0
27,24091,6.846,4,false,13,12,5,7,0,0,5,24,1.5777,0.0012,0,0
28,24098,6.933,4,false,13,12,5,7,0,0,5,26,1.5777,0.0012,0,0
29,24105,6.873,4,false,13,12,5,7,0,0,5,25,1.5777,0.0012,0,0
