frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25165,4.673,2,false,20,32,25,7,0,0,26,31,1.7239,0.0013,0,0
1,25172,6.915,2,false,20,32,26,6,0,0,26,475,1.7239,0.0013,0,0
2,25179,6.896,2,false,20,32,26,6,0,0,26,475,1.7239,0.0013,0,0
3,25186,6.894,2,false,20,32,26,6,0,0,26,475,1.7239,0.0013,0,0
4,25192,6.935,2,false,20,33,26,7,0,0,26,475,1.7239,0.0013,0,0
5,25200,7.067,2,false,20,33,26,7,0,0,26,23,1.7239,0.0013,0,0
6,25207,6.799,2,false,20,33,26,7,0,0,26,19,1.7239,0.0013,0,0
7,25213,6.799,2,false,20,33,26,7,0,0,26,30,1.7239,0.0013,0,0
8,25220,6.927,2,false,20,33,26,7,0,0,26,24,1.7239,0.0013,0,0
9,25227,6.872,2,false,20,33,26,7,0,0,26,20,1.7239,0.0013,0,0
10,25234,6.895,2,false,20,33,26,7,0,0,27,23,2.3218,0.0012,0,0
11,25241,6.947,2,false,20,33,27,6,0,0,27,321,2.3218,0.0012,0,0
12,25248,6.856,2,false,20,33,27,6,0,0,27,321,2.3218,0.0012,0,0
13,25255,6.938,2,false,20,33,27,6,0,0,27,321,2.3218,0.0012,0,0
14,25261,6.857,2,false,20,34,27,7,0,0,27,321,2.3218,0.0012,0,0
15,25268,6.897,2,false,20,34,27,7,0,0,27,17,2.3218,0.0012,0,0
16,25275,6.955,2,false,20,34,27,7,0,0,27,17,2.3218,0.0012,0,0
17,25282,6.852,2,false,20,34,27,7,0,0,27,23,2.3218,0.0012,0,0
18,25289,6.933,2,false,20,34,27,7,0,0,27,17,2.3218,0.0012,0,0
19,25296,6.857,2,false,20,34,27,7,0,0,28,17,2.3218,0.0012,0,0
20,25303,6.947,2,false,20,34,28,6,0,0,28,16,1.4971,0.0015,0,0
21,25310,6.863,2,false,20,34,28,6,0,0,28,16,1.4971,0.0015,0,0
22,25317,6.921,2,false,20,34,28,6,0,0,28,16,1.4971,0.0015,0,0
23,25324,6.918,2,false,20,35,28,7,0,0,28,16,1.4971,0.0015,0,0
24,25330,6.861,2,false,20,35,28,7,0,0,28,18,1.4971,0.0015,0,0
25,25338,6.971,2,false,20,35,28,7,0,0,28,18,1.4971,0.0015,0,0
26,25344,6.833,2,false,20,35,28,7,0,0,28,24,1.4971,0.0015,0,0
27,25351,6.901,2,false,20,35,28,7,0,0,28,20,1.4971,0.0015,0,0
28,25358,6.945,2,false,20,35,28,7,0,0,28,19,1.4971,0.0015,0,0
29,25365,6.855,2,false,20,35,28,7,0,0,29,21,1.4971,0.0015,0,0
30,25372,6.924,2,false,20,35,29,6,0,0,29,20,1.7487,0.0014,0,0
31,25379,6.88,2,false,20,35,29,6,0,0,29,20,1.7487,0.0014,0,0
32,25386,6.893,2,false,20,35,29,6,0,0,29,20,1.7487,0.0014,0,0
33,25393,6.934,2,false,20,36,29,7,0,0,29,20,1.7487,0.0014,0,0
34,25400,6.873,2,false,20,36,29,7,0,0,29,18,1.7487,0.0014,0,0
35,25406,6.93,2,false,20,36,29,7,0,0,29,29,1.7487,0.0014,0,0
36,25413,6.867,2,false,20,36,29,7,0,0,29,21,1.7487,0.0014,0,0
37,25420,6.929,2,false,20,36,29,7,0,0,29,21,1.7487,0.0014,0,0
38,25427,6.872,2,false,20,36,29,7,0,0,29,20,1.7487,0.0014,0,0
39,25434,6.899,2,false,20,36,29,7,0,0,30,24,1.5335,0.001,0,0
40,25441,6.94,2,false,20,36,30,6,0,0,30,24,1.5335,0.001,0,0
41,25448,6.849,2,false,20,36,30,6,0,0,30,24,1.5335,0.001,0,0
42,25455,6.929,2,false,20,36,30,6,0,0,30,24,1.5335,0.001,0,0
43,25462,6.881,2,false,20,37,30,7,0,0,30,24,1.5335,0.001,0,0
44,25469,6.91,2,false,20,37,30,7,0,0,30,21,1.5335,0.001,0,0
45,25475,6.932,2,false,20,37,30,7,0,0,30,48,1.5335,0.001,0,0
46,25482,6.856,2,false,20,37,30,7,0,0,30,67,1.5335,0.001,0,0
47,25489,6.94,2,false,20,37,30,7,0,0,30,20,1.5335,0.001,0,0
48,25496,6.861,2,false,20,37,30,7,0,0,30,30,1.5335,0.001,0,0
49,25503,6.965,2,false,20,37,30,7,0,0,30,21,1.5335,0.001,0,0
50,25510,6.826,2,false,20,37,31,6,0,0,31,23,1.5687,0.0012,0,0
51,25517,6.894,2,false,20,37,31,6,0,0,31,309,1.5687,0.0012,0,0
52,25524,6.946,2,false,20,37,31,6,0,0,31,309,1.5687,0.0012,0,0
53,25531,6.864,2,false,20,37,31,6,0,0,31,309,1.5687,0.0012,0,0
54,25537,6.936,2,false,20,38,31,7,0,0,31,309,1.5687,0.0012,0,0
55,25544,6.857,2,false,20,38,31,7,0,0,31,21,1.5687,0.0012,0,0
56,25551,6.911,2,false,20,38,31,7,0,0,31,18,1.5687,0.0012,0,0
57,25558,6.934,2,false,20,38,31,7,0,0,31,21,1.5687,0.0012,0,0
58,25565,6.865,2,false,20,38,31,7,0,0,31,18,1.5687,0.0012,0,0
59,25572,6.959,2,false,20,38,31,7,0,0,32,20,1.5687,0.0012,0,0
60,25579,6.836,2,false,20,38,32,6,0,0,32,19,1.8573,0.0018,0,0
61,25586,6.909,2,false,20,38,32,6,0,0,32,19,1.8573,0.0018,0,0
62,25593,6.934,2,false,20,38,32,6,0,0,32,19,1.8573,0.0018,0,0
63,25600,6.894,2,false,20,39,32,7,0,0,32,19,1.8573,0.0018,0,0
64,25607,6.913,2,false,20,39,32,7,0,0,32,19,1.8573,0.0018,0,0
65,25614,6.879,2,false,20,39,32,7,0,0,32,23,1.8573,0.0018,0,0
66,25620,6.921,2,false,20,39,32,7,0,0,32,22,1.8573,0.0018,0,0
67,25627,6.858,2,false,20,39,32,7,0,0,32,22,1.8573,0.0018,0,0
68,25634,6.897,2,false,20,39,32,7,0,0,32,21,1.8573,0.0018,0,0
69,25641,6.929,2,false,20,39,32,7,0,0,32,20,1.8573,0.0018,0,0
70,25648,6.878,2,false,20,39,32,7,0,0,33,21,1.5895,0.002,0,0
71,25655,6.912,2,false,20,39,33,6,0,0,33,327,1.5895,0.002,0,0
72,25662,6.882,2,false,20,39,33,6,0,0,33,327,1.5895,0.002,0,0
73,25669,6.9,2,false,20,39,33,6,0,0,33,327,1.5895,0.002,0,0
74,25676,7.16,2,false,20,40,33,7,0,0,33,327,1.5895,0.002,0,0
75,25682,6.638,2,false,20,40,33,7,0,0,33,22,1.5895,0.002,0,0
76,25689,6.943,2,false,20,40,33,7,0,0,33,19,1.5895,0.002,0,0
77,25696,6.857,2,false,20,40,33,7,0,0,33,20,1.5895,0.002,0,0
78,25703,6.919,2,false,20,40,33,7,0,0,33,20,1.5895,0.002,0,0
79,25710,6.917,2,false,20,40,33,7,0,0,34,23,1.7738,0.0017,0,0
80,25717,6.855,2,false,20,40,34,6,0,0,34,17,1.7738,0.0017,0,0
81,25724,6.937,2,false,20,40,34,6,0,0,34,17,1.7738,0.0017,0,0
82,25731,6.872,2,false,20,40,34,6,0,0,34,17,1.7738,0.0017,0,0
83,25738,6.932,2,false,20,41,34,7,0,0,34,17,1.7738,0.0017,0,0
84,25744,6.868,2,false,20,41,34,7,0,0,34,20,1.7738,0.0017,0,0
85,25751,6.903,2,false,20,41,34,7,0,0,34,22,1.7738,0.0017,0,0
86,25758,6.927,2,false,20,41,34,7,0,0,34,19,1.7738,0.0017,0,0
87,25765,6.886,2,false,20,41,34,7,0,0,34,18,1.7738,0.0017,0,0
88,25772,6.943,2,false,20,41,34,7,0,0,35,30,1.7738,0.0017,0,0
89,25779,6.83,2,false,20,41,35,6,0,0,35,23,2.4695,0.0016,0,0
90,25786,6.911,2,false,20,41,35,6,0,0,35,23,2.4695,0.0016,0,0
91,25793,6.913,2,false,20,42,35,7,0,0,35,23,2.4695,0.0016,0,0
92,25800,6.888,2,false,20,42,35,7,0,0,35,20,2.4695,0.0016,0,0
93,25807,6.937,2,false,20,42,35,7,0,0,35,22,2.4695,0.0016,0,0
