frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24759,4.69,2,false,12,33,27,6,0,0,27,321,2.3753,0.002,0,0
1,24766,6.937,2,false,12,33,27,6,0,0,27,321,2.3753,0.002,0,0
2,24773,6.862,2,false,12,34,27,7,0,0,27,321,2.3753,0.002,0,0
3,24780,6.902,2,false,12,34,27,7,0,0,27,22,2.3753,0.002,0,0
4,24787,6.968,2,false,12,34,27,7,0,0,27,20,2.3753,0.002,0,0
5,24794,6.831,2,false,12,34,27,7,0,0,27,21,2.3753,0.002,0,0
6,24801,6.922,2,false,12,34,27,7,0,0,27,24,2.3753,0.002,0,0
7,24808,6.881,2,false,12,34,27,7,0,0,28,24,1.8752,0.0017,0,0
8,24815,6.919,2,false,12,34,28,6,0,0,28,17,1.8752,0.0017,0,0
9,24821,6.875,2,false,12,34,28,6,0,0,28,17,1.8752,0.0017,0,0
10,24828,6.898,2,false,12,34,28,6,0,0,28,17,1.8752,0.0017,0,0
11,24835,6.947,2,false,12,35,28,7,0,0,28,17,1.8752,0.0017,0,0
12,24842,6.863,2,false,12,35,28,7,0,0,28,21,1.8752,0.0017,0,0
13,24849,6.939,2,false,12,35,28,7,0,0,28,21,1.8752,0.0017,0,0
14,24856,6.86,2,false,12,35,28,7,0,0,28,31,1.8752,0.0017,0,0
15,24863,6.893,2,false,12,35,28,7,0,0,28,24,1.8752,0.0017,0,0
16,24870,6.929,2,false,12,35,28,7,0,0,28,22,1.8752,0.0017,0,0
17,24877,6.874,2,false,12,35,28,7,0,0,29,18,1.5131,0.0016,0,0
18,24884,6.914,2,false,12,35,29,6,0,0,29,169,1.5131,0.0016,0,0
19,24890,6.878,2,false,12,35,29,6,0,0,29,169,1.5131,0.0016,0,0
20,24897,6.911,2,false,12,36,29,7,0,0,29,169,1.5131,0.0016,0,0
21,24904,6.93,2,false,12,36,29,7,0,0,29,19,1.5131,0.0016,0,0
22,24911,6.868,2,false,12,36,29,7,0,0,29,19,1.5131,0.0016,0,0
23,24918,6.936,2,false,12,36,29,7,0,0,29,20,1.5131,0.0016,0,0
24,24925,6.87,2,false,12,36,29,7,0,0,29,19,1.5131,0.0016,0,0
25,24932,6.933,2,false,12,36,29,7,0,0,29,25,1.5131,0.0016,0,0
26,24939,6.874,2,false,12,36,29,7,0,0,30,21,1.6839,0.0014,0,0
27,24946,6.883,2,false,12,36,30,6,0,0,30,18,1.6839,0.0014,0,0
28,24953,6.933,2,false,12,36,30,6,0,0,30,18,1.6839,0.0014,0,0
29,24960,6.873,2,false,12,36,30,6,0,0,30,18,1.6839,0.0014,0,0
30,24967,6.933,2,false,12,37,30,7,0,0,30,18,1.6839,0.0014,0,0
31,24973,6.864,2,false,12,37,30,7,0,0,30,21,1.6839,0.0014,0,0
32,24980,6.9,2,false,12,37,30,7,0,0,30,18,1.6839,0.0014,0,0
33,24987,6.948,2,false,12,37,30,7,0,0,30,19,1.6839,0.0014,0,0
34,24994,6.86,2,false,12,37,30,7,0,0,30,21,1.6839,0.0014,0,0
35,25001,6.966,2,false,12,37,30,7,0,0,30,21,1.6839,0.0014,0,0
36,25008,6.83,2,false,12,37,30,7,0,0,30,24,1.6839,0.0014,0,0
37,25015,6.933,2,false,12,37,31,6,0,0,31,21,1.5372,0.0016,0,0
38,25022,6.853,2,false,12,37,31,6,0,0,31,329,1.5372,0.0016,0,0
39,25029,6.913,2,false,12,37,31,6,0,0,31,329,1.5372,0.0016,0,0
40,25036,6.941,2,false,12,37,31,6,0,0,31,329,1.5372,0.0016,0,0
41,25042,6.86,2,false,12,38,31,7,0,0,31,329,1.5372,0.0016,0,0
42,25049,6.932,2,false,12,38,31,7,0,0,31,27,1.5372,0.0016,0,0
43,25056,6.868,2,false,12,38,31,7,0,0,31,22,1.5372,0.0016,0,0
44,25063,6.906,2,false,12,38,31,7,0,0,31,19,1.5372,0.0016,0,0
45,25070,6.943,2,false,12,38,31,7,0,0,31,29,1.5372,0.0016,0,0
46,25077,6.85,2,false,12,38,31,7,0,0,32,21,1.5372,0.0016,0,0
47,25084,6.922,2,false,12,38,32,6,0,0,32,26,2.1918,0.0018,0,0
48,25091,6.879,2,false,12,38,32,6,0,0,32,26,2.1918,0.0018,0,0
49,25098,6.897,2,false,12,38,32,6,0,0,32,26,2.1918,0.0018,0,0
50,25104,6.938,2,false,12,39,32,7,0,0,32,26,2.1918,0.0018,0,0
51,25111,6.864,2,false,12,39,32,7,0,0,32,18,2.1918,0.0018,0,0
52,25118,6.932,2,false,12,39,32,7,0,0,32,21,2.1918,0.0018,0,0
53,25125,6.868,2,false,12,39,32,7,0,0,32,20,2.1918,0.0018,0,0
54,25132,7.014,2,false,12,39,32,7,0,0,32,25,2.1918,0.0018,0,0
55,25139,6.778,2,false,12,39,32,7,0,0,32,19,2.1918,0.0018,0,0
56,25146,6.906,2,false,12,39,32,7,0,0,32,24,2.1918,0.0018,0,0
57,25153,6.945,2,false,12,39,32,7,0,0,33,22,2.5588,0.0018,0,0
58,25160,6.842,2,false,12,39,33,6,0,0,33,18,2.5588,0.0018,0,0
59,25167,6.949,2,false,12,39,33,6,0,0,33,18,2.5588,0.0018,0,0
60,25173,6.867,2,false,12,39,33,6,0,0,33,18,2.5588,0.0018,0,0
61,25180,6.898,2,false,12,40,33,7,0,0,33,18,2.5588,0.0018,0,0
62,25187,6.945,2,false,12,40,33,7,0,0,33,23,2.5588,0.0018,0,0
63,25194,6.855,2,false,12,40,33,7,0,0,33,23,2.5588,0.0018,0,0
64,25201,6.937,2,false,12,40,33,7,0,0,33,20,2.5588,0.0018,0,0
65,25208,6.865,2,false,12,40,33,7,0,0,33,19,2.5588,0.0018,0,0
66,25215,6.947,2,false,12,40,33,7,0,0,33,20,2.5588,0.0018,0,0
67,25222,6.852,2,false,12,40,33,7,0,0,33,21,2.5588,0.0018,0,0
68,25229,6.897,2,false,12,40,33,7,0,0,34,22,1.522,0.0011,0,0
69,25235,6.913,2,false,12,40,34,6,0,0,34,323,1.522,0.0011,0,0
70,25242,6.882,2,false,12,40,34,6,0,0,34,323,1.522,0.0011,0,0
71,25249,6.957,2,false,12,40,34,6,0,0,34,323,1.522,0.0011,0,0
72,25256,6.846,2,false,12,41,34,7,0,0,34,323,1.522,0.0011,0,0
73,25263,7.031,2,false,12,41,34,7,0,0,34,18,1.522,0.0011,0,0
74,25270,6.804,2,false,12,41,34,7,0,0,34,30,1.522,0.0011,0,0
