frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23665,1.259,4,false,67,6,2,4,0,0,2,4928,1.6568,0.0017,0,0
1,23733,65.301,4,false,67,6,2,4,0,0,2,4928,1.6568,0.0017,0,0
2,23853,124.574,4,false,67,7,2,5,0,0,2,4928,1.6568,0.0017,0,0
3,23915,60.224,4,false,67,7,2,5,0,0,2,4928,1.6568,0.0017,0,0
4,23977,62.794,4,false,67,7,2,5,0,0,2,4928,1.6568,0.0017,0,0
5,24039,62.4,4,false,67,7,2,5,0,0,2,4928,1.6568,0.0017,0,0
6,24097,60.377,4,false,67,7,2,5,0,0,2,4928,1.6568,0.0017,0,0
7,24225,124.872,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
8,24285,62.298,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
9,24347,61.018,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
10,24408,60.099,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
11,24471,63.244,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
12,24532,61.217,4,false,67,8,2,6,0,0,2,4928,1.6568,0.0017,0,0
13,24619,87.692,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
14,24691,71.052,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
15,24764,73.421,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
16,24840,75.003,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
17,24920,79.502,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
18,24997,77.052,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
19,25074,75.419,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
20,25149,77.93,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
21,25223,74.272,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
22,25298,74.964,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
23,25374,75.082,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
24,25446,72.174,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
25,25517,72.344,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
26,25593,75.25,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
27,25672,78.273,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
28,25750,76.235,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
29,25829,79.894,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
30,25902,74.872,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
31,25984,79.936,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
32,26061,77.59,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
33,26140,79.408,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
34,26219,76.317,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
35,26299,82.292,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
36,26370,71.66,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
37,26445,74.09,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
38,26517,73.375,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
39,26593,75.061,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
40,26666,72.817,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
41,26740,75.406,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
42,26816,74.92,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
43,26888,72.33,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
44,26959,70.702,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
45,27032,72.811,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
46,27103,72.048,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
47,27176,73.701,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
48,27250,73.166,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
49,27324,73.924,4,false,67,9,2,7,0,0,2,4928,1.6568,0.0017,0,0
