frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,27491,1.217,4,false,59,13,2,11,0,0,2,4783,1.5132,0.0012,0,0
1,27577,85.909,4,false,59,14,2,12,0,0,2,4783,1.5132,0.0012,0,0
2,27658,81.011,4,false,59,14,2,12,0,0,2,4783,1.5132,0.0012,0,0
3,27739,80.175,4,false,59,14,2,12,0,0,2,4783,1.5132,0.0012,0,0
4,27831,93.104,4,false,59,15,2,13,0,0,2,4783,1.5132,0.0012,0,0
5,27916,82.775,4,false,59,15,2,13,0,0,2,4783,1.5132,0.0012,0,0
6,27997,82.478,4,false,59,15,2,13,0,0,2,4783,1.5132,0.0012,0,0
7,28097,100.986,4,false,59,16,2,14,0,0,2,4783,1.5132,0.0012,0,0
8,28176,77.058,4,false,59,16,2,14,0,0,2,4783,1.5132,0.0012,0,0
9,28266,90.59,4,false,59,17,2,15,0,0,2,4783,1.5132,0.0012,0,0
10,28342,76.865,4,false,59,17,2,15,0,0,2,4783,1.5132,0.0012,0,0
11,28433,90.902,4,false,59,18,2,16,0,0,2,4783,1.5132,0.0012,0,0
12,28508,74.633,4,false,59,18,2,16,0,0,2,4783,1.5132,0.0012,0,0
13,28586,77.914,4,false,59,18,2,16,0,0,2,4783,1.5132,0.0012,0,0
14,28676,91.359,4,false,59,19,2,17,0,0,2,4783,1.5132,0.0012,0,0
15,28753,76.485,4,false,59,19,2,17,0,0,2,4783,1.5132,0.0012,0,0
16,28837,84.708,4,false,59,20,2,18,0,0,2,4783,1.5132,0.0012,0,0
17,28923,85.806,4,false,59,21,2,19,0,0,2,4783,1.5132,0.0012,0,0
18,29004,77.752,4,false,59,21,2,19,0,0,2,4783,1.5132,0.0012,0,0
19,29092,91.032,4,false,59,22,2,20,0,0,2,4783,1.5132,0.0012,0,0
20,29168,75.03,4,false,59,22,2,20,0,0,2,4783,1.5132,0.0012,0,0
21,29257,89.362,4,false,59,23,2,21,0,0,2,4783,1.5132,0.0012,0,0
22,29334,76.462,4,false,59,23,2,21,0,0,2,4783,1.5132,0.0012,0,0
23,29418,84.65,4,false,59,24,2,22,0,0,2,4783,1.5132,0.0012,0,0
24,29505,88.102,4,false,59,25,2,23,0,0,2,4783,1.5132,0.0012,0,0
25,29579,72.711,4,false,59,25,2,23,0,0,2,4783,1.5132,0.0012,0,0
26,29665,85.192,4,false,59,26,2,24,0,0,2,4783,1.5132,0.0012,0,0
27,29737,73.271,4,false,59,26,2,24,0,0,2,4783,1.5132,0.0012,0,0
28,29823,84.786,4,false,59,27,2,25,0,0,2,4783,1.5132,0.0012,0,0
29,29907,85.173,4,false,59,28,2,26,0,0,2,4783,1.5132,0.0012,0,0
30,29993,78.745,4,false,59,28,2,26,0,0,2,4783,1.5132,0.0012,0,0
31,30089,102.026,4,false,59,29,2,27,0,0,2,4783,1.5132,0.0012,0,0
32,30189,98.033,4,false,59,30,2,28,0,0,2,4783,1.5132,0.0012,0,0
33,30275,87.263,4,false,59,30,2,28,0,0,2,4783,1.5132,0.0012,0,0
34,30371,97.25,4,false,59,31,2,29,0,0,2,4783,1.5132,0.0012,0,0
35,30465,95.299,4,false,59,32,2,30,0,0,2,4783,1.5132,0.0012,0,0
36,30543,75.4,4,false,59,32,2,30,0,0,2,4783,1.5132,0.0012,0,0
37,30631,89.967,4,false,59,33,2,31,0,0,2,4783,1.5132,0.0012,0,0
38,30712,79.925,4,false,59,33,2,31,0,0,2,4783,1.5132,0.0012,0,0
39,30804,91.791,4,false,59,34,2,32,0,0,2,4783,1.5132,0.0012,0,0
40,30892,88.683,4,false,59,35,2,33,0,0,2,4783,1.5132,0.0012,0,0
41,30968,76.125,4,false,59,35,2,33,0,0,2,4783,1.5132,0.0012,0,0
42,31057,89.26,4,false,59,36,2,34,0,0,2,4783,1.5132,0.0012,0,0
43,31135,77.079,4,false,59,36,2,34,0,0,2,4783,1.5132,0.0012,0,0
44,31231,95.153,4,false,59,37,2,35,0,0,2,4783,1.5132,0.0012,0,0
45,31316,86.318,4,false,59,38,2,36,0,0,2,4783,1.5132,0.0012,0,0
46,31393,76.19,4,false,59,38,2,36,0,0,2,4783,1.5132,0.0012,0,0
47,31482,87.976,4,false,59,39,2,37,0,0,2,4783,1.5132,0.0012,0,0
48,31559,79.668,4,false,59,39,2,37,0,0,2,4783,1.5132,0.0012,0,0
49,31644,84.465,4,false,59,40,2,38,0,0,2,4783,1.5132,0.0012,0,0
50,31730,85.168,4,false,59,41,2,39,0,0,2,4783,1.5132,0.0012,0,0
51,31804,75.29,4,false,59,41,2,39,0,0,2,4783,1.5132,0.0012,0,0
52,31888,84.666,4,false,59,42,2,40,0,0,2,4783,1.5132,0.0012,0,0
53,31976,87.265,4,false,59,43,2,41,0,0,2,4783,1.5132,0.0012,0,0
54,32049,72.807,4,false,59,43,2,41,0,0,2,4783,1.5132,0.0012,0,0
55,32134,84.357,4,false,59,44,2,42,0,0,2,4783,1.5132,0.0012,0,0
56,32217,83.792,4,false,59,45,2,43,0,0,2,4783,1.5132,0.0012,0,0
57,32293,75.299,4,false,59,45,2,43,0,0,2,4783,1.5132,0.0012,0,0
58,32396,97.356,4,false,59,46,2,44,0,0,2,4783,1.5132,0.0012,0,0
59,32478,86.723,4,false,59,46,2,44,0,0,2,4783,1.5132,0.0012,0,0
60,32572,94.523,4,false,59,47,2,45,0,0,2,4783,1.5132,0.0012,0,0
61,32668,96.242,4,false,59,48,2,46,0,0,2,4783,1.5132,0.0012,0,0
62,32750,82.143,4,false,59,48,2,46,0,0,2,4783,1.5132,0.0012,0,0
63,32848,97.57,4,false,59,49,2,47,0,0,2,4783,1.5132,0.0012,0,0
64,32942,94.713,4,false,59,50,2,48,0,0,2,4783,1.5132,0.0012,0,0
65,33024,79.228,4,false,59,50,2,48,0,0,2,4783,1.5132,0.0012,0,0
66,33122,98.477,4,false,59,51,2,49,0,0,2,4783,1.5132,0.0012,0,0
67,33213,93.158,4,false,59,52,2,50,0,0,2,4783,1.5132,0.0012,0,0
68,33298,82.868,4,false,59,52,2,50,0,0,2,4783,1.5132,0.0012,0,0
69,33390,93.871,4,false,59,53,2,51,0,0,2,4783,1.5132,0.0012,0,0
70,33482,90.391,4,false,59,54,2,52,0,0,2,4783,1.5132,0.0012,0,0
71,33560,80.055,4,false,59,54,2,52,0,0,2,4783,1.5132,0.0012,0,0
72,33652,91.59,4,false,59,55,2,53,0,0,2,4783,1.5132,0.0012,0,0
73,33728,76.957,4,false,59,55,2,53,0,0,2,4783,1.5132,0.0012,0,0
74,33812,84.507,4,false,59,56,2,54,0,0,2,4783,1.5132,0.0012,0,0
75,33899,86.948,4,false,59,57,2,55,0,0,2,4783,1.5132,0.0012,0,0
76,33972,72.399,4,false,59,57,2,55,0,0,2,4783,1.5132,0.0012,0,0
77,34063,90.87,4,false,59,58,2,56,0,0,2,4783,1.5132,0.0012,0,0
78,34146,83.137,4,false,59,59,2,57,0,0,2,4783,1.5132,0.0012,0,0
79,34220,72.671,4,false,59,59,2,57,0,0,2,4783,1.5132,0.0012,0,0
80,34306,87.2,4,false,59,60,2,58,0,0,2,4783,1.5132,0.0012,0,0
81,34397,91.576,4,false,59,61,2,59,0,0,2,4783,1.5132,0.0012,0,0
82,34471,71.831,4,false,59,61,2,59,0,0,2,4783,1.5132,0.0012,0,0
83,34559,89.929,4,false,59,62,2,60,0,0,2,4783,1.5132,0.0012,0,0
84,34644,84.56,4,false,59,63,2,61,0,0,2,4783,1.5132,0.0012,0,0
85,34729,77.695,4,false,59,63,2,61,0,0,2,4783,1.5132,0.0012,0,0
86,34825,101.031,4,false,59,64,2,62,0,0,2,4783,1.5132,0.0012,0,0
87,34913,90.817,4,false,59,65,2,63,0,0,2,4783,1.5132,0.0012,0,0
88,35003,88.641,4,false,59,65,2,63,0,0,2,4783,1.5132,0.0012,0,0
89,35093,91.958,4,false,59,66,2,64,0,0,2,4783,1.5132,0.0012,0,0
90,35189,91.333,4,false,59,67,2,65,0,0,2,4783,1.5132,0.0012,0,0
91,35273,86.505,4,false,59,67,2,65,0,0,2,4783,1.5132,0.0012,0,0
92,35367,94.259,4,false,59,68,2,66,0,0,2,4783,1.5132,0.0012,0,0
93,35446,78.696,4,false,59,68,2,66,0,0,2,4783,1.5132,0.0012,0,0
94,35538,92.367,4,false,59,69,2,67,0,0,2,4783,1.5132,0.0012,0,0
95,35634,95.007,4,false,59,70,2,68,0,0,2,4783,1.5132,0.0012,0,0
96,35711,78.515,4,false,59,70,2,68,0,0,2,4783,1.5132,0.0012,0,0
97,35801,88.818,4,false,59,71,2,69,0,0,2,4783,1.5132,0.0012,0,0
98,35893,93.53,4,false,59,72,2,70,0,0,2,4783,1.5132,0.0012,0,0
99,35971,76.585,4,false,59,72,2,70,0,0,2,4783,1.5132,0.0012,0,0
100,36061,91.151,4,false,59,73,2,71,0,0,2,4783,1.5132,0.0012,0,0
