frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23828,1.15,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
1,23894,66.069,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
2,23954,60.849,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
3,24016,61.538,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
4,24078,62.485,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
5,24144,63.284,4,false,150,6,2,4,0,0,2,826,1.453,0.0012,0,0
6,24275,127.609,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
7,24345,73.812,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
8,24411,65.315,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
9,24477,65.481,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
10,24541,66.405,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
11,24604,63.399,4,false,150,7,2,5,0,0,2,826,1.453,0.0012,0,0
12,24726,120.882,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
13,24791,65.694,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
14,24853,62.375,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
15,24918,64.492,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
16,24983,65.194,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
17,25051,67.044,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
18,25119,68.974,4,false,150,8,2,6,0,0,2,826,1.453,0.0012,0,0
19,25215,92.802,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
20,25293,80.25,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
21,25367,74.903,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
22,25445,76.987,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
23,25517,73.832,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
24,25589,71.331,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
25,25663,73.254,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
26,25734,71.853,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
27,25813,75.713,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
28,25893,77.757,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
29,25970,80.822,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
30,26050,80.155,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
31,26129,79.381,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
32,26214,84.167,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
33,26297,83.919,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
34,26376,76.116,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
35,26454,80.634,4,false,150,9,2,7,0,0,2,826,1.453,0.0012,0,0
