frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,33991,907.314,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,34022,31.515,1,true,26,1,-1,-1,0,0,0,0,0,0,0,0
2,34031,8.865,1,false,26,1,-1,-1,0,0,0,0,0,0,0,0
3,34036,5.905,1,false,26,1,-1,-1,0,0,0,0,0,0,0,0
4,34039,2.794,1,false,26,1,-1,-1,0,0,0,0,0,0,0,0
5,34050,10.934,1,false,26,1,-1,-1,0,0,0,0,0,0,0,0
6,34081,30.735,2,true,27,2,-1,-1,0,0,0,2018,3.4982,0.0026,0,0
7,34085,3.655,2,false,27,2,-1,-1,0,0,0,1020,3.4982,0.0026,0,0
8,34088,3.239,2,false,27,2,-1,-1,0,0,0,942,3.4982,0.0026,0,0
9,34097,8.65,2,false,27,2,-1,-1,0,0,0,982,3.4982,0.0026,0,0
10,34102,5.159,2,false,27,2,-1,-1,0,0,0,1020,3.4982,0.0026,0,0
11,34112,9.938,2,false,27,2,-1,-1,0,0,0,995,3.4982,0.0026,0,0
12,34115,3.858,2,false,27,2,-1,-1,0,0,0,1061,3.4982,0.0026,0,0
13,34127,11.688,2,false,27,2,-1,-1,0,0,0,1108,3.4982,0.0026,0,0
14,34130,2.595,2,false,27,2,-1,-1,0,0,0,49,3.4982,0.0026,0,0
15,34143,13.092,2,false,27,2,-1,-1,0,0,1,49,3.4982,0.0026,0,0
16,34159,15.699,3,true,6,3,1,2,0,0,1,49,6.5407,0.0039,0,0
17,34161,2.152,3,false,6,3,1,2,0,0,1,49,6.5407,0.0039,0,0
18,34174,13.093,3,false,6,3,1,2,0,0,1,49,6.5407,0.0039,0,0
19,34182,8.415,3,false,6,4,1,3,0,0,1,49,6.5407,0.0039,0,0
20,34184,2.032,3,false,6,4,1,3,0,0,1,49,6.5407,0.0039,0,0
21,34190,5.376,3,false,6,4,1,3,0,0,1,49,6.5407,0.0039,0,0
22,34205,15.452,4,true,4,5,2,3,0,0,2,49,3.3876,0.0024,0,0
23,34207,2.253,4,false,4,5,2,3,0,0,2,49,3.3876,0.0024,0,0
24,34217,9.682,4,false,4,6,2,4,0,0,2,49,3.3876,0.0024,0,0
25,34219,1.935,4,false,4,6,2,4,0,0,2,49,3.3876,0.0024,0,0
26,34236,16.776,4,false,4,6,2,4,0,0,3,49,5.4027,0.004,0,0
27,34249,13.58,5,true,4,7,3,4,0,0,3,49,5.4027,0.004,0,0
28,34252,2.311,5,false,4,7,3,4,0,0,3,49,5.4027,0.004,0,0
29,34260,8.15,5,false,4,8,3,5,0,0,3,49,5.4027,0.004,0,0
30,34263,3.374,5,false,4,8,3,5,0,0,3,49,5.4027,0.004,0,0
31,34284,20.337,5,false,4,8,3,5,0,0,4,49,4.9142,0.0038,0,0
32,34298,14.293,6,true,4,9,4,5,0,0,4,49,4.9142,0.0038,0,0
33,34307,9.62,6,false,4,10,4,6,0,0,4,49,4.9142,0.0038,0,0
34,34310,2.193,6,false,4,10,4,6,0,0,4,49,4.9142,0.0038,0,0
35,34315,4.752,6,false,4,10,4,6,0,0,4,49,4.9142,0.0038,0,0
36,34330,15.387,6,false,4,11,4,7,0,0,5,49,4.9672,0.0025,0,0
37,34344,14.769,7,true,4,11,5,6,0,0,5,35,4.9672,0.0025,0,0
38,34347,2.496,7,false,4,11,5,6,0,0,5,35,4.9672,0.0025,0,0
39,34351,4.399,7,false,4,12,5,7,0,0,5,35,4.9672,0.0025,0,0
40,34361,9.81,7,false,4,12,5,7,0,0,5,26,4.9672,0.0025,0,0
41,34375,13.672,8,true,4,12,6,6,0,0,6,35,3.6065,0.0021,0,0
42,34377,2.2,8,false,4,12,6,6,0,0,6,35,3.6065,0.0021,0,0
43,34382,4.715,8,false,4,13,6,7,0,0,6,35,3.6065,0.0021,0,0
44,34392,9.779,8,false,4,13,6,7,0,0,6,32,3.6065,0.0021,0,0
45,34396,4.004,8,false,4,13,6,7,0,0,6,36,3.6065,0.0021,0,0
46,34407,10.802,8,false,4,13,6,7,0,0,7,28,3.6065,0.0021,0,0
47,34421,14.326,9,true,4,13,7,6,0,0,7,31,3.9388,0.0042,0,0
48,34423,2.495,9,false,4,13,7,6,0,0,7,31,3.9388,0.0042,0,0
49,34438,14.171,9,false,4,13,7,6,0,0,7,31,3.9388,0.0042,0,0
50,34441,3.44,9,false,4,14,7,7,0,0,7,31,3.9388,0.0042,0,0
51,34454,13.754,10,true,4,14,8,6,0,0,8,29,3.5831,0.0036,0,0
52,34457,2.222,10,false,4,14,8,6,0,0,8,29,3.5831,0.0036,0,0
53,34469,12.371,10,false,4,15,8,7,0,0,8,29,3.5831,0.0036,0,0
54,34472,2.711,10,false,4,15,8,7,0,0,8,31,3.5831,0.0036,0,0
55,34484,12.434,10,false,4,15,8,7,0,0,9,18,3.4863,0.0024,0,0
56,34498,13.911,11,true,4,15,9,6,0,0,9,30,3.4863,0.0024,0,0
57,34501,2.471,11,false,4,15,9,6,0,0,9,30,3.4863,0.0024,0,0
58,34505,4.441,11,false,4,16,9,7,0,0,9,30,3.4863,0.0024,0,0
59,34515,10.048,11,false,4,16,9,7,0,0,9,31,3.4863,0.0024,0,0
60,34519,3.744,11,false,4,16,9,7,0,0,9,36,3.4863,0.0024,0,0
61,34532,13.076,12,true,4,16,10,6,0,0,10,31,3.6288,0.0021,0,0
62,34534,2.021,12,false,4,16,10,6,0,0,10,31,3.6288,0.0021,0,0
63,34546,11.815,12,false,4,16,10,6,0,0,10,31,3.6288,0.0021,0,0
64,34549,3.291,12,false,4,17,10,7,0,0,10,31,3.6288,0.0021,0,0
65,34553,4.294,12,false,4,17,10,7,0,0,10,34,3.6288,0.0021,0,0
66,34561,7.487,12,false,4,17,10,7,0,0,11,29,3.6288,0.0021,0,0
67,34575,13.784,13,true,4,17,11,6,0,0,11,30,6.6421,0.0036,0,0
68,34577,2.174,13,false,4,17,11,6,0,0,11,30,6.6421,0.0036,0,0
69,34582,4.73,13,false,4,18,11,7,0,0,11,30,6.6421,0.0036,0,0
70,34592,10.49,13,false,4,18,11,7,0,0,11,29,6.6421,0.0036,0,0
71,34595,3.303,13,false,4,18,11,7,0,0,11,30,6.6421,0.0036,0,0
72,34608,12.685,13,false,4,18,11,7,0,0,12,25,3.5938,0.0023,0,0
73,34621,13.439,14,true,4,18,12,6,0,0,12,29,3.5938,0.0023,0,0
74,34624,2.141,14,false,4,18,12,6,0,0,12,29,3.5938,0.0023,0,0
75,34640,16.372,14,false,4,18,12,6,0,0,13,29,3.5437,0.0026,0,0
76,34654,14.294,15,true,4,19,13,6,0,0,13,29,3.5437,0.0026,0,0
77,34657,2.314,15,false,4,19,13,6,0,0,13,29,3.5437,0.0026,0,0
78,34671,13.758,15,false,4,20,13,7,0,0,13,29,3.5437,0.0026,0,0
79,34673,2.785,15,false,4,20,13,7,0,0,13,32,3.5437,0.0026,0,0
80,34685,12.139,15,false,4,20,13,7,0,0,14,21,3.6122,0.0022,0,0
81,34698,13.193,16,true,4,20,14,6,0,0,14,26,3.6122,0.0022,0,0
82,34701,2.267,16,false,4,20,14,6,0,0,14,26,3.6122,0.0022,0,0
83,34705,4.593,16,false,4,21,14,7,0,0,14,26,3.6122,0.0022,0,0
84,34717,11.53,16,false,4,21,14,7,0,0,15,30,3.6122,0.0022,0,0
85,34732,15.063,17,true,4,21,15,6,0,0,15,35,3.5535,0.0023,0,0
86,34734,2.526,17,false,4,21,15,6,0,0,15,35,3.5535,0.0023,0,0
87,34739,4.374,17,false,4,22,15,7,0,0,15,35,3.5535,0.0023,0,0
88,34748,9.313,17,false,4,22,15,7,0,0,15,29,3.5535,0.0023,0,0
89,34753,4.491,17,false,4,22,15,7,0,0,16,29,3.5535,0.0023,0,0
90,34766,13.831,18,true,4,22,16,6,0,0,16,26,3.5229,0.0023,0,0
91,34769,2.259,18,false,4,22,16,6,0,0,16,26,3.5229,0.0023,0,0
92,34782,13.107,18,false,4,23,16,7,0,0,16,26,3.5229,0.0023,0,0
93,34785,2.703,18,false,4,23,16,7,0,0,16,32,3.5229,0.0023,0,0
94,34789,4.196,18,false,4,23,16,7,0,0,16,26,3.5229,0.0023,0,0
95,34803,13.975,19,true,4,23,17,6,0,0,17,27,5.1539,0.003,0,0
96,34805,2.325,19,false,4,23,17,6,0,0,17,27,5.1539,0.003,0,0
97,34810,4.839,19,false,4,23,17,6,0,0,17,27,5.1539,0.003,0,0
98,34825,14.736,19,false,4,24,17,7,0,0,17,27,5.1539,0.003,0,0
99,34828,3.055,19,false,4,24,17,7,0,0,17,30,5.1539,0.003,0,0
100,34831,3.815,19,false,4,24,17,7,0,0,18,29,5.1539,0.003,0,0
101,34846,14.521,20,true,4,24,18,6,0,0,18,32,3.8003,0.003,0,0
102,34848,2.413,20,false,4,24,18,6,0,0,18,32,3.8003,0.003,0,0
103,34853,4.455,20,false,4,25,18,7,0,0,18,32,3.8003,0.003,0,0
104,34872,18.816,20,false,4,25,18,7,0,0,18,35,3.8003,0.003,0,0
105,34886,14.44,21,true,5,25,19,6,0,0,19,31,4.8085,0.0024,0,0
106,34889,2.512,21,false,5,25,19,6,0,0,19,31,4.8085,0.0024,0,0
107,34903,13.841,21,false,5,25,19,6,0,0,19,31,4.8085,0.0024,0,0
108,34906,3.563,21,false,5,26,19,7,0,0,19,31,4.8085,0.0024,0,0
109,34909,3.29,21,false,5,26,19,7,0,0,19,29,4.8085,0.0024,0,0
110,34918,8.877,21,false,5,26,19,7,0,0,20,27,3.7056,0.0026,0,0
111,34932,14.145,22,true,4,26,20,6,0,0,20,28,3.7056,0.0026,0,0
112,34935,2.711,22,false,4,26,20,6,0,0,20,28,3.7056,0.0026,0,0
113,34939,4.194,22,false,4,27,20,7,0,0,20,28,3.7056,0.0026,0,0
114,34950,10.385,22,false,4,27,20,7,0,0,20,32,3.7056,0.0026,0,0
115,34953,3.677,22,false,4,27,20,7,0,0,20,38,3.7056,0.0026,0,0
116,34967,13.499,23,true,4,27,21,6,0,0,21,39,4.1422,0.0039,0,0
117,34969,2.242,23,false,4,27,21,6,0,0,21,39,4.1422,0.0039,0,0
118,34980,10.814,23,false,4,27,21,6,0,0,21,39,4.1422,0.0039,0,0
119,34984,3.968,23,false,4,28,21,7,0,0,21,39,4.1422,0.0039,0,0
120,34988,3.714,23,false,4,28,21,7,0,0,21,39,4.1422,0.0039,0,0
121,34996,8.18,23,false,4,28,21,7,0,0,22,32,4.1422,0.0039,0,0
122,35010,13.921,24,true,4,28,22,6,0,0,22,33,4.442,0.0021,0,0
123,35012,2.316,24,false,4,28,22,6,0,0,22,33,4.442,0.0021,0,0
124,35017,4.592,24,false,4,29,22,7,0,0,22,33,4.442,0.0021,0,0
125,35027,10.454,24,false,4,29,22,7,0,0,22,34,4.442,0.0021,0,0
126,35030,3.368,24,false,4,29,22,7,0,0,22,34,4.442,0.0021,0,0
127,35043,12.17,24,false,4,29,22,7,0,0,23,23,5.2593,0.0032,0,0
128,35058,15.648,25,true,5,29,23,6,0,0,23,26,5.2593,0.0032,0,0
129,35060,2.298,25,false,5,29,23,6,0,0,23,26,5.2593,0.0032,0,0
130,35073,12.862,25,false,5,29,23,6,0,0,23,26,5.2593,0.0032,0,0
131,35077,3.425,25,false,5,30,23,7,0,0,23,26,5.2593,0.0032,0,0
132,35091,14.203,26,true,4,30,24,6,0,0,24,45,4.2079,0.003,0,0
133,35093,2.493,26,false,4,30,24,6,0,0,24,45,4.2079,0.003,0,0
134,35098,4.407,26,false,4,31,24,7,0,0,24,45,4.2079,0.003,0,0
135,35105,6.875,26,false,4,31,24,7,0,0,24,28,4.2079,0.003,0,0
136,35119,14.228,26,false,4,31,24,7,0,0,24,28,4.2079,0.003,0,0
137,35132,13.517,27,true,4,31,25,6,0,0,25,33,3.5882,0.003,0,0
138,35135,2.175,27,false,4,31,25,6,0,0,25,33,3.5882,0.003,0,0
139,35149,13.855,27,false,4,31,25,6,0,0,25,33,3.5882,0.003,0,0
140,35152,3.357,27,false,4,32,25,7,0,0,25,33,3.5882,0.003,0,0
141,35155,3.506,27,false,4,32,25,7,0,0,25,29,3.5882,0.003,0,0
142,35165,9.49,27,false,4,32,25,7,0,0,26,27,3.6536,0.0025,0,0
143,35178,13.566,28,true,4,32,26,6,0,0,26,32,3.6536,0.0025,0,0
144,35181,2.19,28,false,4,32,26,6,0,0,26,32,3.6536,0.0025,0,0
145,35185,4.717,28,false,4,33,26,7,0,0,26,32,3.6536,0.0025,0,0
146,35196,10.134,28,false,4,33,26,7,0,0,26,28,3.6536,0.0025,0,0
147,35210,14.355,29,true,4,33,27,6,0,0,27,34,4.8517,0.002,0,0
148,35212,2.525,29,false,4,33,27,6,0,0,27,34,4.8517,0.002,0,0
149,35226,13.865,29,false,4,33,27,6,0,0,27,34,4.8517,0.002,0,0
150,35229,3.027,29,false,4,34,27,7,0,0,27,34,4.8517,0.002,0,0
151,35233,3.805,29,false,4,34,27,7,0,0,27,27,4.8517,0.002,0,0
152,35242,8.339,29,false,4,34,27,7,0,0,28,29,3.9144,0.0031,0,0
153,35255,13.898,30,true,4,34,28,6,0,0,28,30,3.9144,0.0031,0,0
154,35258,2.428,30,false,4,34,28,6,0,0,28,30,3.9144,0.0031,0,0
155,35262,4.437,30,false,4,35,28,7,0,0,28,30,3.9144,0.0031,0,0
156,35273,10.234,30,false,4,35,28,7,0,0,28,34,3.9144,0.0031,0,0
157,35276,3.559,30,false,4,35,28,7,0,0,29,32,3.9144,0.0031,0,0
158,35290,14.031,31,true,4,35,29,6,0,0,29,30,4.7622,0.002,0,0
159,35292,2.288,31,false,4,35,29,6,0,0,29,30,4.7622,0.002,0,0
160,35303,10.819,31,false,4,35,29,6,0,0,29,30,4.7622,0.002,0,0
161,35306,3.198,31,false,4,36,29,7,0,0,29,30,4.7622,0.002,0,0
162,35319,12.195,31,false,4,36,29,7,0,0,30,28,4.7622,0.002,0,0
163,35333,14.528,32,true,4,36,30,6,0,0,30,34,3.8787,0.0042,0,0
164,35336,3.171,32,false,4,36,30,6,0,0,30,34,3.8787,0.0042,0,0
165,35340,3.728,32,false,4,37,30,7,0,0,30,34,3.8787,0.0042,0,0
166,35349,9.135,32,false,4,37,30,7,0,0,30,35,3.8787,0.0042,0,0
167,35354,4.703,32,false,4,37,30,7,0,0,30,33,3.8787,0.0042,0,0
168,35365,10.454,32,false,4,37,30,7,0,0,31,27,3.6907,0.0027,0,0
169,35380,15.753,33,true,4,37,31,6,0,0,31,29,3.6907,0.0027,0,0
170,35382,2.289,33,false,4,37,31,6,0,0,31,29,3.6907,0.0027,0,0
171,35395,12.93,33,false,4,37,31,6,0,0,31,29,3.6907,0.0027,0,0
172,35415,19.797,34,true,5,38,32,6,0,0,32,29,4.7426,0.0039,0,0
173,35418,2.834,34,false,5,39,32,7,0,0,32,29,4.7426,0.0039,0,0
174,35426,8.109,34,false,5,39,32,7,0,0,32,29,4.7426,0.0039,0,0
175,35429,2.817,34,false,5,39,32,7,0,0,32,34,4.7426,0.0039,0,0
176,35442,13.068,34,false,5,39,32,7,0,0,33,26,4.7426,0.0039,0,0
177,35456,14.302,35,true,4,39,33,6,0,0,33,37,3.7717,0.004,0,0
178,35458,2.124,35,false,4,39,33,6,0,0,33,37,3.7717,0.004,0,0
179,35474,15.798,35,false,4,40,33,7,0,0,33,37,3.7717,0.004,0,0
180,35478,3.838,35,false,4,40,33,7,0,0,33,51,3.7717,0.004,0,0
