frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,21049,536.006,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,21060,11.884,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,21071,10.108,1,false,10,1,-1,-1,0,0,0,0,0,0,0,0
3,21086,14.979,2,true,13,2,-1,-1,0,0,0,1345,2.0437,0.0011,0,0
4,21087,1.897,2,false,13,2,-1,-1,0,0,0,508,2.0437,0.0011,0,0
5,21093,5.018,2,false,13,2,-1,-1,0,0,0,510,2.0437,0.0011,0,0
6,21100,6.888,2,false,13,2,-1,-1,0,0,0,637,2.0437,0.0011,0,0
7,21106,6.915,2,false,13,2,-1,-1,0,0,0,548,2.0437,0.0011,0,0
8,21113,6.866,2,false,13,2,-1,-1,0,0,0,16,2.0437,0.0011,0,0
9,21121,8.313,3,true,3,3,1,2,0,0,1,16,3.2363,0.0015,0,0
10,21127,5.522,3,false,3,3,1,2,0,0,1,16,3.2363,0.0015,0,0
11,21134,6.873,3,false,3,3,1,2,0,0,1,16,3.2363,0.0015,0,0
12,21141,6.914,3,false,3,4,1,3,0,0,2,16,2.0075,0.0013,0,0
13,21148,6.879,4,true,2,4,2,2,0,0,2,16,2.0075,0.0013,0,0
14,21155,6.906,4,false,2,4,2,2,0,0,2,16,2.0075,0.0013,0,0
15,21163,8.436,5,true,2,5,3,2,0,0,3,16,3.1158,0.0017,0,0
16,21168,5.36,5,false,2,5,3,2,0,0,3,16,3.1158,0.0017,0,0
17,21175,6.91,5,false,2,5,3,2,0,0,3,16,3.1158,0.0017,0,0
18,21182,6.882,5,false,2,6,3,3,0,0,4,16,1.8259,0.0009,0,0
19,21189,6.913,6,true,2,6,4,2,0,0,4,16,1.8259,0.0009,0,0
20,21196,6.923,6,false,2,6,4,2,0,0,4,16,1.8259,0.0009,0,0
21,21208,11.554,7,true,2,7,5,2,0,0,5,16,2.4537,0.001,0,0
22,21210,2.227,7,false,2,7,5,2,0,0,5,16,2.4537,0.001,0,0
23,21217,6.893,7,false,2,7,5,2,0,0,5,16,2.4537,0.001,0,0
24,21224,7.337,8,true,2,8,6,2,0,0,6,16,1.9085,0.0012,0,0
25,21231,6.507,8,false,2,8,6,2,0,0,6,16,1.9085,0.0012,0,0
26,21237,6.854,8,false,2,8,6,2,0,0,6,16,1.9085,0.0012,0,0
27,21244,6.916,9,true,2,9,7,2,0,0,7,16,1.8329,0.0011,0,0
28,21251,6.896,9,false,2,9,7,2,0,0,7,16,1.8329,0.0011,0,0
29,21258,6.896,9,false,2,9,7,2,0,0,7,16,1.8329,0.0011,0,0
30,21265,6.989,10,true,2,10,8,2,0,0,8,16,1.9275,0.0011,0,0
31,21272,6.813,10,false,2,10,8,2,0,0,8,16,1.9275,0.0011,0,0
32,21279,6.927,10,false,2,10,8,2,0,0,8,16,1.9275,0.0011,0,0
33,21286,7.488,11,true,2,11,9,2,0,0,9,16,1.9974,0.0012,0,0
34,21293,6.308,11,false,2,11,9,2,0,0,9,16,1.9974,0.0012,0,0
35,21300,6.9,11,false,2,11,9,2,0,0,9,16,1.9974,0.0012,0,0
36,21306,6.861,12,true,2,12,10,2,0,0,10,16,1.9088,0.0012,0,0
37,21314,6.981,12,false,2,12,10,2,0,0,10,16,1.9088,0.0012,0,0
38,21320,6.823,12,false,2,12,10,2,0,0,10,16,1.9088,0.0012,0,0
39,21327,7.261,13,true,2,13,11,2,0,0,11,16,3.4414,0.0012,0,0
40,21334,6.59,13,false,2,13,11,2,0,0,11,16,3.4414,0.0012,0,0
41,21341,6.85,13,false,2,13,11,2,0,0,11,16,3.4414,0.0012,0,0
42,21348,6.942,13,false,2,14,11,3,0,0,12,16,1.9335,0.0023,0,0
43,21355,6.854,14,true,2,14,12,2,0,0,12,16,1.9335,0.0023,0,0
44,21362,6.903,14,false,2,14,12,2,0,0,12,16,1.9335,0.0023,0,0
