frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,23085,1.374,4,false,71,6,3,3,0,0,3,5245,1.3787,0.001,0,0
1,23193,107.921,4,false,71,7,3,4,0,0,3,5245,1.3787,0.001,0,0
2,23250,56.459,4,false,71,7,3,4,0,0,3,5245,1.3787,0.001,0,0
3,23303,54.573,4,false,71,7,3,4,0,0,3,5245,1.3787,0.001,0,0
4,23357,53.644,4,false,71,7,3,4,0,0,3,5245,1.3787,0.001,0,0
5,23413,54.832,4,false,71,7,3,4,0,0,3,5245,1.3787,0.001,0,0
6,23523,110.471,4,false,71,8,3,5,0,0,3,5245,1.3787,0.001,0,0
7,23577,53.934,4,false,71,8,3,5,0,0,3,5245,1.3787,0.001,0,0
8,23632,55.234,4,false,71,8,3,5,0,0,3,5245,1.3787,0.001,0,0
9,23687,54.602,4,false,71,8,3,5,0,0,3,5245,1.3787,0.001,0,0
10,23743,56.473,4,false,71,8,3,5,0,0,3,5245,1.3787,0.001,0,0
11,23829,85.731,4,false,71,9,3,6,0,0,3,5245,1.3787,0.001,0,0
12,23898,68.849,4,false,71,9,3,6,0,0,3,4887,1.3787,0.001,0,0
13,23969,70.62,4,false,71,9,3,6,0,0,3,4677,1.3787,0.001,0,0
14,24040,71.495,4,false,71,9,3,6,0,0,3,4730,1.3787,0.001,0,0
15,24112,71.647,4,false,71,9,3,6,0,0,3,4793,1.3787,0.001,0,0
16,24183,70.735,4,false,71,9,3,6,0,0,3,5173,1.3787,0.001,0,0
17,24256,73.693,4,false,71,9,3,6,0,0,3,5112,1.3787,0.001,0,0
18,24329,70.429,4,false,71,9,3,6,0,0,3,4982,1.3787,0.001,0,0
19,24400,73.182,4,false,71,9,3,6,0,0,3,5033,1.3787,0.001,0,0
20,24470,70.905,4,false,71,9,3,6,0,0,3,5074,1.3787,0.001,0,0
21,24541,70.432,4,false,71,9,3,6,0,0,3,5184,1.3787,0.001,0,0
22,24611,70.582,4,false,71,9,3,6,0,0,3,4999,1.3787,0.001,0,0
23,24681,69.555,4,false,71,9,3,6,0,0,3,4956,1.3787,0.001,0,0
24,24754,72.561,4,false,71,9,3,6,0,0,3,4624,1.3787,0.001,0,0
25,24823,70.21,4,false,71,9,3,6,0,0,3,4677,1.3787,0.001,0,0
26,24895,71.171,4,false,71,9,3,6,0,0,3,5103,1.3787,0.001,0,0
27,24967,71.649,4,false,71,9,3,6,0,0,3,5098,1.3787,0.001,0,0
28,25040,72.671,4,false,71,9,3,6,0,0,3,4989,1.3787,0.001,0,0
29,25130,83.402,4,false,71,9,3,6,0,0,3,4867,1.3787,0.001,0,0
30,25208,83.756,4,false,71,9,3,6,0,0,3,4938,1.3787,0.001,0,0
31,25281,73.982,4,false,71,9,3,6,0,0,3,5047,1.3787,0.001,0,0
32,25355,73.695,4,false,71,9,3,6,0,0,3,5681,1.3787,0.001,0,0
33,25428,73.232,4,false,71,9,3,6,0,0,3,4838,1.3787,0.001,0,0
34,25504,75.855,4,false,71,9,3,6,0,0,3,5081,1.3787,0.001,0,0
35,25579,73.777,4,false,71,9,3,6,0,0,3,4836,1.3787,0.001,0,0
36,25655,76.631,4,false,71,9,3,6,0,0,3,6644,1.3787,0.001,0,0
37,25727,73.382,4,false,71,9,3,6,0,0,3,4875,1.3787,0.001,0,0
38,25798,70.897,4,false,71,9,3,6,0,0,3,4735,1.3787,0.001,0,0
39,25870,70.65,4,false,71,9,3,6,0,0,3,5059,1.3787,0.001,0,0
40,25941,72.701,4,false,71,9,3,6,0,0,3,5069,1.3787,0.001,0,0
41,26013,71.511,4,false,71,9,3,6,0,0,3,4668,1.3787,0.001,0,0
42,26084,70.907,4,false,71,9,3,6,0,0,3,4705,1.3787,0.001,0,0
43,26158,72.911,4,false,71,9,3,6,0,0,3,5017,1.3787,0.001,0,0
44,26229,71.931,4,false,71,9,3,6,0,0,3,4713,1.3787,0.001,0,0
45,26299,70.232,4,false,71,9,3,6,0,0,3,4922,1.3787,0.001,0,0
46,26369,70.074,4,false,71,9,3,6,0,0,3,5306,1.3787,0.001,0,0
47,26439,70.061,4,false,71,9,3,6,0,0,3,4698,1.3787,0.001,0,0
48,26509,70.873,4,false,71,9,3,6,0,0,3,5019,1.3787,0.001,0,0
49,26578,68.847,4,false,71,9,3,6,0,0,3,4536,1.3787,0.001,0,0
50,26647,68.535,4,false,71,9,3,6,0,0,3,5015,1.3787,0.001,0,0
51,26716,67.934,4,false,71,9,3,6,0,0,3,5259,1.3787,0.001,0,0
52,26798,83.229,4,false,71,9,3,6,0,0,3,9548,1.3787,0.001,0,0
53,26868,70.111,4,false,71,9,3,6,0,0,3,4919,1.3787,0.001,0,0
54,26940,69.134,4,false,71,9,3,6,0,0,3,4731,1.3787,0.001,0,0
55,27010,72.147,4,false,71,9,3,6,0,0,3,5804,1.3787,0.001,0,0
56,27078,68.477,4,false,71,9,3,6,0,0,3,4534,1.3787,0.001,0,0
57,27147,69.26,4,false,71,9,3,6,0,0,3,5278,1.3787,0.001,0,0
58,27218,70.423,4,false,71,9,3,6,0,0,3,4998,1.3787,0.001,0,0
59,27290,72.403,4,false,71,9,3,6,0,0,3,5074,1.3787,0.001,0,0
60,27358,68.251,4,false,71,9,3,6,0,0,3,4705,1.3787,0.001,0,0
61,27427,68.284,4,false,71,9,3,6,0,0,3,5007,1.3787,0.001,0,0
62,27496,69.592,4,false,71,9,3,6,0,0,3,4758,1.3787,0.001,0,0
63,27565,68.493,4,false,71,9,3,6,0,0,3,5231,1.3787,0.001,0,0
64,27634,69.164,4,false,71,9,3,6,0,0,3,4791,1.3787,0.001,0,0
65,27703,69.135,4,false,71,9,3,6,0,0,3,4613,1.3787,0.001,0,0
66,27771,68.466,4,false,71,9,3,6,0,0,3,5079,1.3787,0.001,0,0
67,27839,67.78,4,false,71,9,3,6,0,0,3,4619,1.3787,0.001,0,0
68,27907,67.489,4,false,71,9,3,6,0,0,3,4788,1.3787,0.001,0,0
69,27978,71.534,4,false,71,9,3,6,0,0,3,4565,1.3787,0.001,0,0
70,28045,67.339,4,false,71,9,3,6,0,0,3,4898,1.3787,0.001,0,0
71,28113,67.476,4,false,71,9,3,6,0,0,3,4686,1.3787,0.001,0,0
72,28182,68.611,4,false,71,9,3,6,0,0,3,4913,1.3787,0.001,0,0
73,28249,67.689,4,false,71,9,3,6,0,0,3,5023,1.3787,0.001,0,0
74,28317,67.943,4,false,71,9,3,6,0,0,3,4566,1.3787,0.001,0,0
75,28386,68.811,4,false,71,9,3,6,0,0,3,4756,1.3787,0.001,0,0
76,28455,69.235,4,false,71,9,3,6,0,0,3,5616,1.3787,0.001,0,0
77,28523,67.461,4,false,71,9,3,6,0,0,3,4637,1.3787,0.001,0,0
78,28593,69.151,4,false,71,9,3,6,0,0,3,5034,1.3787,0.001,0,0
79,28660,68.197,4,false,71,9,3,6,0,0,3,4539,1.3787,0.001,0,0
80,28728,67.818,4,false,71,9,3,6,0,0,3,4537,1.3787,0.001,0,0
