frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,126959,1.619,2,false,148,2,1,1,0,0,1,25249,37.2329,0.0021,0,0
1,127017,57.555,2,false,148,2,1,1,0,0,1,25249,37.2329,0.0021,0,0
2,127076,58.195,2,false,148,2,1,1,0,0,1,25249,37.2329,0.0021,0,0
3,127217,141.573,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
4,127278,60.259,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
5,127340,62.283,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
6,127400,60.786,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
7,127460,59.762,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
8,127521,60.991,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
9,127582,60.837,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
10,127642,59.916,2,false,148,3,1,2,0,0,1,25249,37.2329,0.0021,0,0
11,127763,120.506,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
12,127823,60.267,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
13,127887,60.316,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
14,127949,63.559,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
15,128017,69.175,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
16,128078,61.417,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
17,128139,60.333,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
18,128199,60.236,2,false,148,4,1,3,0,0,1,25249,37.2329,0.0021,0,0
19,128336,137.996,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
20,128395,59.871,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
21,128454,58.519,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
22,128513,58.88,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
23,128570,57.114,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
24,128627,57.264,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
25,128688,60.357,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
26,128756,63.459,2,false,148,5,1,4,0,0,1,25249,37.2329,0.0021,0,0
27,128893,137.198,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
28,128955,65.364,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
29,129022,67.895,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
30,129086,63.629,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
31,129157,70.366,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
32,129220,62.276,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
33,129286,67.398,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
34,129345,59.946,2,false,148,6,1,5,0,0,1,25249,37.2329,0.0021,0,0
35,129446,100.194,2,false,148,7,1,6,0,0,1,25249,37.2329,0.0021,0,0
