frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,24606,1.24,2,false,19,80,74,6,0,0,74,34,1.646,0.0018,0,0
1,24613,6.913,2,false,19,80,74,6,0,0,74,34,1.646,0.0018,0,0
2,24620,6.941,2,false,19,80,74,6,0,0,75,34,1.646,0.0018,0,0
3,24627,6.852,2,false,19,81,75,6,0,0,75,34,2.4911,0.0021,0,0
4,24634,6.949,2,false,19,81,75,6,0,0,75,34,2.4911,0.0021,0,0
5,24641,6.863,2,false,19,81,75,6,0,0,76,34,2.4911,0.0021,0,0
6,24647,6.882,2,false,19,82,76,6,0,0,76,34,1.9212,0.004,0,0
7,24654,6.959,2,false,19,82,76,6,0,0,76,34,1.9212,0.004,0,0
8,24661,6.854,2,false,19,82,76,6,0,0,77,34,1.9212,0.004,0,0
9,24668,6.915,2,false,19,83,77,6,0,0,77,34,1.5472,0.0015,0,0
10,24675,6.886,2,false,19,83,77,6,0,0,77,34,1.5472,0.0015,0,0
11,24682,6.901,2,false,19,83,77,6,0,0,78,34,1.5472,0.0015,0,0
12,24689,6.927,2,false,19,84,78,6,0,0,78,34,1.6075,0.0018,0,0
13,24696,6.873,2,false,19,84,78,6,0,0,78,34,1.6075,0.0018,0,0
14,24703,6.979,2,false,19,84,78,6,0,0,79,34,1.6075,0.0018,0,0
15,24709,6.807,2,false,19,85,79,6,0,0,79,34,1.7114,0.0014,0,0
16,24716,6.954,2,false,19,85,79,6,0,0,79,34,1.7114,0.0014,0,0
17,24723,6.865,2,false,19,85,79,6,0,0,80,34,1.7114,0.0014,0,0
18,24730,6.888,2,false,19,86,80,6,0,0,80,34,1.7502,0.0015,0,0
19,24737,6.941,2,false,19,86,80,6,0,0,80,34,1.7502,0.0015,0,0
20,24744,6.863,2,false,19,86,80,6,0,0,81,34,1.7502,0.0015,0,0
21,24751,6.916,2,false,19,87,81,6,0,0,81,34,1.7736,0.0013,0,0
22,24758,6.889,2,false,19,87,81,6,0,0,81,34,1.7736,0.0013,0,0
23,24765,6.9,2,false,19,88,81,7,0,0,82,34,1.7736,0.0013,0,0
24,24772,6.916,2,false,19,88,82,6,0,0,82,22,1.9839,0.0024,0,0
25,24779,6.884,2,false,19,88,82,6,0,0,82,22,1.9839,0.0024,0,0
26,24785,6.945,2,false,19,88,82,6,0,0,83,22,1.9839,0.0024,0,0
27,24792,6.838,2,false,19,89,83,6,0,0,83,22,3.2218,0.0016,0,0
28,24799,6.951,2,false,19,89,83,6,0,0,83,22,3.2218,0.0016,0,0
29,24806,6.866,2,false,19,89,83,6,0,0,84,22,3.2218,0.0016,0,0
30,24813,6.891,2,false,19,90,84,6,0,0,84,22,1.9067,0.0014,0,0
31,24820,6.945,2,false,19,90,84,6,0,0,84,22,1.9067,0.0014,0,0
32,24827,6.886,2,false,19,90,84,6,0,0,84,22,1.9067,0.0014,0,0
33,24834,6.896,2,false,19,91,85,6,0,0,85,22,1.7468,0.0012,0,0
34,24841,6.89,2,false,19,91,85,6,0,0,85,22,1.7468,0.0012,0,0
35,24848,6.893,2,false,19,91,85,6,0,0,85,22,1.7468,0.0012,0,0
36,24858,10.569,2,false,19,92,86,6,0,0,86,22,1.9304,0.0017,0,0
37,24861,3.22,2,false,19,92,86,6,0,0,86,22,1.9304,0.0017,0,0
38,24868,6.945,2,false,19,92,86,6,0,0,86,22,1.9304,0.0017,0,0
39,24876,7.53,2,false,19,93,87,6,0,0,87,22,1.6475,0.0018,0,0
40,24882,6.225,2,false,19,93,87,6,0,0,87,22,1.6475,0.0018,0,0
41,24889,6.967,2,false,19,93,87,6,0,0,88,22,1.6475,0.0018,0,0
