frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,22231,575.332,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,22243,11.976,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,22266,22.412,2,true,13,2,-1,-1,0,0,0,1235,2.0735,0.0012,0,0
3,22268,1.922,2,false,13,2,-1,-1,0,0,0,531,2.0735,0.0012,0,0
4,22273,4.963,2,false,13,2,-1,-1,0,0,0,897,2.0735,0.0012,0,0
5,22280,6.913,2,false,13,2,-1,-1,0,0,0,514,2.0735,0.0012,0,0
6,22286,6.898,2,false,13,2,-1,-1,0,0,0,729,2.0735,0.0012,0,0
7,22293,6.911,2,false,13,2,-1,-1,0,0,0,364,2.0735,0.0012,0,0
8,22302,8.744,3,true,3,3,1,2,0,0,1,364,3.3613,0.0012,0,0
9,22307,5.045,3,false,3,3,1,2,0,0,1,364,3.3613,0.0012,0,0
10,22314,6.919,3,false,3,3,1,2,0,0,1,364,3.3613,0.0012,0,0
11,22321,6.87,3,false,3,4,1,3,0,0,2,364,3.3613,0.0012,0,0
12,22328,6.898,4,true,2,4,2,2,0,0,2,364,1.9311,0.0011,0,0
13,22335,6.928,4,false,2,4,2,2,0,0,2,364,1.9311,0.0011,0,0
14,22347,12.366,5,true,2,5,3,2,0,0,3,364,3.5134,0.0011,0,0
15,22348,1.403,5,false,2,5,3,2,0,0,3,364,3.5134,0.0011,0,0
16,22355,6.93,5,false,2,6,3,3,0,0,3,364,3.5134,0.0011,0,0
17,22362,6.902,5,false,2,6,3,3,0,0,4,364,3.5134,0.0011,0,0
18,22369,6.909,6,true,2,6,4,2,0,0,4,364,1.9864,0.0013,0,0
19,22376,6.863,6,false,2,7,4,3,0,0,4,364,1.9864,0.0013,0,0
20,22383,6.938,6,false,2,7,4,3,0,0,4,364,1.9864,0.0013,0,0
21,22390,7.147,7,true,2,8,5,3,0,0,5,364,2.4386,0.001,0,0
22,22397,6.624,7,false,2,8,5,3,0,0,5,364,2.4386,0.001,0,0
23,22404,6.931,7,false,2,9,5,4,0,0,5,364,2.4386,0.001,0,0
24,22411,6.88,7,false,2,9,5,4,0,0,6,364,2.1218,0.0015,0,0
25,22418,6.907,8,true,2,9,6,3,0,0,6,364,2.1218,0.0015,0,0
26,22424,6.878,8,false,2,10,6,4,0,0,6,364,2.1218,0.0015,0,0
27,22431,6.975,8,false,2,10,6,4,0,0,7,364,1.9085,0.0014,0,0
28,22438,6.826,9,true,2,10,7,3,0,0,7,364,1.9085,0.0014,0,0
29,22445,6.898,9,false,2,11,7,4,0,0,7,364,1.9085,0.0014,0,0
30,22452,6.946,9,false,2,11,7,4,0,0,8,364,1.8299,0.0013,0,0
31,22459,6.856,10,true,2,11,8,3,0,0,8,364,1.8299,0.0013,0,0
32,22466,6.918,10,false,2,12,8,4,0,0,8,364,1.8299,0.0013,0,0
