frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,21782,565.914,0,false,0,0,-1,-1,0,0,0,0,0,0,0,0
1,21794,12.192,1,true,10,1,-1,-1,0,0,0,0,0,0,0,0
2,21817,22.351,2,true,13,2,-1,-1,0,0,0,1239,1.9576,0.0017,0,0
3,21819,1.878,2,false,13,2,-1,-1,0,0,0,495,1.9576,0.0017,0,0
4,21824,5.015,2,false,13,2,-1,-1,0,0,0,485,1.9576,0.0017,0,0
5,21831,6.926,2,false,13,2,-1,-1,0,0,0,513,1.9576,0.0017,0,0
6,21837,6.878,2,false,13,2,-1,-1,0,0,0,547,1.9576,0.0017,0,0
7,21844,6.915,2,false,13,2,-1,-1,0,0,1,17,1.9576,0.0017,0,0
8,21853,8.539,3,true,3,3,1,2,0,0,1,17,3.483,0.0019,0,0
9,21858,5.242,3,false,3,3,1,2,0,0,1,17,3.483,0.0019,0,0
10,21865,6.925,3,false,3,3,1,2,0,0,1,17,3.483,0.0019,0,0
11,21872,6.914,4,true,2,4,2,2,0,0,2,17,1.9674,0.001,0,0
12,21879,6.895,4,false,2,4,2,2,0,0,2,17,1.9674,0.001,0,0
13,21886,6.87,4,false,2,4,2,2,0,0,2,17,1.9674,0.001,0,0
14,21894,7.911,5,true,2,5,3,2,0,0,3,17,2.9436,0.0013,0,0
15,21900,5.886,5,false,2,5,3,2,0,0,3,17,2.9436,0.0013,0,0
16,21906,6.899,5,false,2,5,3,2,0,0,3,17,2.9436,0.0013,0,0
17,21918,11.342,6,true,2,6,4,2,0,0,4,17,1.9524,0.0012,0,0
18,21920,2.447,6,false,2,6,4,2,0,0,4,17,1.9524,0.0012,0,0
19,21927,6.94,6,false,2,6,4,2,0,0,4,17,1.9524,0.0012,0,0
20,21935,7.402,7,true,2,7,5,2,0,0,5,17,2.4142,0.0012,0,0
21,21941,6.372,7,false,2,7,5,2,0,0,5,17,2.4142,0.0012,0,0
22,21948,6.918,7,false,2,8,5,3,0,0,5,17,2.4142,0.0012,0,0
23,21955,6.882,7,false,2,8,5,3,0,0,6,17,1.8844,0.0015,0,0
24,21962,6.933,8,true,2,8,6,2,0,0,6,17,1.8844,0.0015,0,0
